2023-04-20 05:06:53,810 INFO Tickers: ['PFE']
2023-04-20 05:08:38,082 INFO Negative OS: -0.836068626252827 --- ticker PFE --- day 2017-10-13 --- time 50400
2023-04-20 05:08:58,288 INFO Negative OS: -4.151255971343651 --- ticker PFE --- day 2017-12-13 --- time 48600
2023-04-20 05:10:12,659 INFO Negative OS: -0.7213594810545365 --- ticker PFE --- day 2018-07-05 --- time 52200
2023-04-20 05:10:14,453 INFO Negative OS: -10.696186286927485 --- ticker PFE --- day 2018-07-10 --- time 52200
2023-04-20 05:10:22,342 INFO Negative OS: -5.578625461683487 --- ticker PFE --- day 2018-07-27 --- time 52200
2023-04-20 05:10:23,644 INFO Negative OS: -0.6205609617516672 --- ticker PFE --- day 2018-08-01 --- time 36000
2023-04-20 05:10:38,729 INFO Negative OS: -0.71623636875777 --- ticker PFE --- day 2018-09-07 --- time 45000
2023-04-20 05:11:59,034 INFO Negative OS: -17.164967356932575 --- ticker PFE --- day 2019-04-01 --- time 52200
2023-04-20 05:13:51,486 INFO p_ofi_order_1: 0.11561382335327543 , std 0.2551325966855794 
2023-04-20 05:13:51,486 INFO p_ofi_order_2: 0.10457778845566615 , std 0.2463958921294788 
2023-04-20 05:13:51,486 INFO p_ofi_order_3: 0.1806237446363268 , std 0.30786438760133067 
2023-04-20 05:13:51,486 INFO p_ofi_order_4: 0.13353835198784558 , std 0.28126685344619234 
2023-04-20 05:13:51,486 INFO p_ofi_order_5: 0.11270457583542333 , std 0.2625017467394729 
2023-04-20 05:13:51,486 INFO p_ofi_order_6: 0.12402779306573768 , std 0.27771129286018353 
2023-04-20 05:13:51,486 INFO p_ofi_order_7: 0.22561622430289135 , std 0.3618232780758152 
2023-04-20 05:13:51,486 INFO p_ofi_order_8: 0.3520984743850282 , std 0.42392434483088826 
2023-04-20 05:13:51,486 INFO p_ofi_order_9: 0.44028349561934454 , std 0.44383671992626217 
2023-04-20 05:13:51,486 INFO p_ofi_order_10: 0.4813876110631762 , std 0.45623582063296314 
2023-04-20 05:13:51,486 INFO p_ofi_trade_1: 0.6827571578742364 , std 0.4081833554580182 
2023-04-20 05:13:51,486 INFO p_ofi_trade_2: 0.22819115963391115 , std 0.3580737778172804 
2023-04-20 05:13:51,486 INFO p_ofi_trade_3: 0.21423045486502512 , std 0.3440645940429139 
2023-04-20 05:13:51,486 INFO p_ofi_trade_4: 0.19436225171221883 , std 0.3339120966211653 
2023-04-20 05:13:51,486 INFO p_ofi_trade_5: 0.2056460238335634 , std 0.3429607683960989 
2023-04-20 05:13:51,486 INFO p_ofi_trade_6: 0.2743633916101692 , std 0.39365307914721975 
2023-04-20 05:13:51,486 INFO p_ofi_trade_7: 0.38078376333758696 , std 0.43235975777151775 
2023-04-20 05:13:51,486 INFO p_ofi_trade_8: 0.4690134717496869 , std 0.453034961618491 
2023-04-20 05:13:51,486 INFO p_ofi_trade_9: 0.5381672789628926 , std 0.4547318987463314 
2023-04-20 05:13:51,486 INFO p_ofi_trade_10: 0.5578742390587231 , std 0.45687210501155284 
