2023-04-20 05:52:32,471 INFO Tickers: ['SYK']
2023-04-20 05:52:50,759 INFO Negative OS: -0.008023883591001146 --- ticker SYK --- day 2018-01-24 --- time 37800
2023-04-20 05:52:51,413 INFO Negative OS: -0.14618888930154683 --- ticker SYK --- day 2018-02-06 --- time 36000
2023-04-20 05:52:57,686 INFO Negative OS: -1.729829154297386 --- ticker SYK --- day 2018-06-11 --- time 37800
2023-04-20 05:53:05,555 INFO Negative OS: -0.04315160749095104 --- ticker SYK --- day 2018-10-11 --- time 41400
2023-04-20 05:53:11,694 INFO Negative OS: -0.865624421254708 --- ticker SYK --- day 2018-12-10 --- time 50400
2023-04-20 05:53:14,760 INFO Negative OS: -0.31523452585309975 --- ticker SYK --- day 2018-12-28 --- time 41400
2023-04-20 05:53:16,305 INFO Negative OS: -0.19878679756285833 --- ticker SYK --- day 2019-01-07 --- time 41400
2023-04-20 05:53:34,693 INFO Negative OS: -0.33752179275783756 --- ticker SYK --- day 2019-10-01 --- time 36000
2023-04-20 05:53:39,294 INFO p_intercept: 0.5140607872207198 , std 0.29000085051908975 
2023-04-20 05:53:39,294 INFO p_ofi_order_1: 0.14244598023544178 , std 0.263412956629129 
2023-04-20 05:53:39,294 INFO p_ofi_order_2: 0.19037502573478607 , std 0.2885587041285895 
2023-04-20 05:53:39,294 INFO p_ofi_order_3: 0.36648746758947937 , std 0.3600008977917797 
2023-04-20 05:53:39,294 INFO p_ofi_order_4: 0.48325054454271577 , std 0.3734623524787969 
2023-04-20 05:53:39,294 INFO p_ofi_order_5: 0.59580564953874 , std 0.378002175222374 
2023-04-20 05:53:39,294 INFO p_ofi_order_6: 0.6882086845523643 , std 0.35508428136691267 
2023-04-20 05:53:39,294 INFO p_ofi_order_7: 0.7070724418954641 , std 0.34264852725432 
2023-04-20 05:53:39,294 INFO p_ofi_order_8: 0.7313498379729249 , std 0.3267135368401312 
2023-04-20 05:53:39,294 INFO p_ofi_order_9: 0.7448552534073749 , std 0.3320838205980874 
2023-04-20 05:53:39,294 INFO p_ofi_order_10: 0.6653617724756288 , std 0.37173142787254737 
2023-04-20 05:53:39,294 INFO p_ofi_trade_1: 0.48223343745102 , std 0.41507132772075483 
2023-04-20 05:53:39,294 INFO p_ofi_trade_2: 0.6057936196191147 , std 0.38523620170699213 
2023-04-20 05:53:39,294 INFO p_ofi_trade_3: 0.6901896415285386 , std 0.3680358194228168 
2023-04-20 05:53:39,294 INFO p_ofi_trade_4: 0.7538656417974927 , std 0.33193509689092304 
2023-04-20 05:53:39,294 INFO p_ofi_trade_5: 0.7904600684022952 , std 0.320253804881283 
2023-04-20 05:53:39,294 INFO p_ofi_trade_6: 0.7900628695296815 , std 0.3222764650508222 
2023-04-20 05:53:39,294 INFO p_ofi_trade_7: 0.7538316223540189 , std 0.3399078084371997 
2023-04-20 05:53:39,294 INFO p_ofi_trade_8: 0.7518249456727945 , std 0.3448575983087991 
2023-04-20 05:53:39,294 INFO p_ofi_trade_9: 0.6818889717545694 , std 0.37785568994863517 
2023-04-20 05:53:39,294 INFO p_ofi_trade_10: 0.5716313103615285 , std 0.4071974485861617 
