2023-04-20 05:37:44,627 INFO Tickers: ['LMT']
2023-04-20 05:37:59,681 INFO Negative OS: -0.032024681182823755 --- ticker LMT --- day 2017-09-25 --- time 36000
2023-04-20 05:38:04,843 INFO Negative OS: -2.002520224001378 --- ticker LMT --- day 2017-12-14 --- time 36000
2023-04-20 05:38:04,956 INFO Negative OS: -0.20665894835863097 --- ticker LMT --- day 2017-12-15 --- time 36000
2023-04-20 05:38:07,357 INFO Negative OS: -0.01752793891056581 --- ticker LMT --- day 2018-01-31 --- time 36000
2023-04-20 05:38:08,364 INFO Negative OS: -0.09821607287355927 --- ticker LMT --- day 2018-02-08 --- time 41400
2023-04-20 05:38:08,985 INFO Negative OS: -1.1391411671151688 --- ticker LMT --- day 2018-02-12 --- time 37800
2023-04-20 05:38:11,005 INFO Negative OS: -0.15997052875618412 --- ticker LMT --- day 2018-03-08 --- time 36000
2023-04-20 05:38:12,837 INFO Negative OS: -3.430450639216093 --- ticker LMT --- day 2018-04-06 --- time 36000
2023-04-20 05:38:13,847 INFO Negative OS: -0.5674066007771879 --- ticker LMT --- day 2018-04-24 --- time 41400
2023-04-20 05:38:16,517 INFO Negative OS: -0.13965438094607374 --- ticker LMT --- day 2018-05-15 --- time 37800
2023-04-20 05:38:28,024 INFO Negative OS: -0.0258212216521172 --- ticker LMT --- day 2018-09-13 --- time 36000
2023-04-20 05:38:30,691 INFO Negative OS: -0.15818983246172502 --- ticker LMT --- day 2018-10-09 --- time 36000
2023-04-20 05:38:36,261 INFO Negative OS: -0.4726420827582416 --- ticker LMT --- day 2018-10-30 --- time 50400
2023-04-20 05:38:36,853 INFO Negative OS: -0.37470256583594863 --- ticker LMT --- day 2018-11-01 --- time 36000
2023-04-20 05:38:37,316 INFO Negative OS: -0.45418710634571724 --- ticker LMT --- day 2018-11-02 --- time 36000
2023-04-20 05:38:37,699 INFO Negative OS: -0.3107447729895405 --- ticker LMT --- day 2018-11-05 --- time 36000
2023-04-20 05:38:38,669 INFO Negative OS: -0.7731429879153111 --- ticker LMT --- day 2018-11-08 --- time 37800
2023-04-20 05:38:39,186 INFO Negative OS: -1.010754197047946 --- ticker LMT --- day 2018-11-12 --- time 36000
2023-04-20 05:38:39,314 INFO Negative OS: -0.13262500275794942 --- ticker LMT --- day 2018-11-12 --- time 41400
2023-04-20 05:38:39,412 INFO Negative OS: -2.4108965439546073 --- ticker LMT --- day 2018-11-12 --- time 50400
2023-04-20 05:38:40,375 INFO Negative OS: -0.21186110908468958 --- ticker LMT --- day 2018-11-19 --- time 36000
2023-04-20 05:38:43,020 INFO Negative OS: -0.2407055860380536 --- ticker LMT --- day 2018-12-04 --- time 36000
2023-04-20 05:38:43,338 INFO Negative OS: -0.15442969162370135 --- ticker LMT --- day 2018-12-04 --- time 52200
2023-04-20 05:38:45,626 INFO Negative OS: -0.004519099420825068 --- ticker LMT --- day 2018-12-13 --- time 48600
2023-04-20 05:38:45,936 INFO Negative OS: -0.14926996139107018 --- ticker LMT --- day 2018-12-14 --- time 52200
2023-04-20 05:38:46,398 INFO Negative OS: -0.0993689391547865 --- ticker LMT --- day 2018-12-18 --- time 37800
2023-04-20 05:38:46,495 INFO Negative OS: -1.0242845346510623 --- ticker LMT --- day 2018-12-18 --- time 41400
2023-04-20 05:38:46,538 INFO Negative OS: -0.003936282199894725 --- ticker LMT --- day 2018-12-18 --- time 43200
2023-04-20 05:38:47,431 INFO Negative OS: -0.46526057139715515 --- ticker LMT --- day 2018-12-20 --- time 41400
2023-04-20 05:38:47,518 INFO Negative OS: -0.5884415965856671 --- ticker LMT --- day 2018-12-20 --- time 45000
2023-04-20 05:38:48,496 INFO Negative OS: -0.25212994618143236 --- ticker LMT --- day 2018-12-26 --- time 39600
2023-04-20 05:38:48,538 INFO Negative OS: -0.5590214230144004 --- ticker LMT --- day 2018-12-26 --- time 41400
2023-04-20 05:38:49,251 INFO Negative OS: -0.033109413250536734 --- ticker LMT --- day 2018-12-28 --- time 41400
2023-04-20 05:38:50,199 INFO Negative OS: -0.07536711361609072 --- ticker LMT --- day 2019-01-02 --- time 50400
2023-04-20 05:38:50,738 INFO Negative OS: -1.2935092136227953 --- ticker LMT --- day 2019-01-03 --- time 52200
2023-04-20 05:38:51,488 INFO Negative OS: -0.3948249771347323 --- ticker LMT --- day 2019-01-08 --- time 41400
2023-04-20 05:38:53,317 INFO Negative OS: -0.7224296156636933 --- ticker LMT --- day 2019-01-24 --- time 36000
2023-04-20 05:38:54,065 INFO Negative OS: -0.06938053016553791 --- ticker LMT --- day 2019-01-30 --- time 50400
2023-04-20 05:39:19,185 INFO Negative OS: -0.37351221528798906 --- ticker LMT --- day 2019-09-05 --- time 41400
2023-04-20 05:39:22,857 INFO Negative OS: -0.35691670492937577 --- ticker LMT --- day 2019-10-30 --- time 52200
2023-04-20 05:39:23,419 INFO Negative OS: -0.048345208228116165 --- ticker LMT --- day 2019-11-07 --- time 52200
2023-04-20 05:39:25,293 INFO p_ofi_order_4: 0.5241106317215587 , std 0.3845071254830749 
2023-04-20 05:39:25,293 INFO p_ofi_order_5: 0.6269673354833248 , std 0.36930869105593345 
2023-04-20 05:39:25,293 INFO p_ofi_order_6: 0.6703651487604211 , std 0.3579665629402045 
2023-04-20 05:39:25,293 INFO p_ofi_order_7: 0.7067579566386183 , std 0.34515739471646534 
2023-04-20 05:39:25,293 INFO p_ofi_order_8: 0.719341375503673 , std 0.3403265564543738 
2023-04-20 05:39:25,293 INFO p_ofi_order_9: 0.7193372989522319 , std 0.35088871985381104 
2023-04-20 05:39:25,293 INFO p_ofi_order_10: 0.6541806498654308 , std 0.37222314807641177 
2023-04-20 05:39:25,293 INFO p_ofi_trade_1: 0.4270354333092849 , std 0.402886075401151 
2023-04-20 05:39:25,293 INFO p_ofi_trade_2: 0.6320327019912478 , std 0.379374907216189 
2023-04-20 05:39:25,293 INFO p_ofi_trade_3: 0.7422692986177002 , std 0.3458672860609083 
2023-04-20 05:39:25,293 INFO p_ofi_trade_4: 0.7588505564504067 , std 0.34009723147286 
2023-04-20 05:39:25,293 INFO p_ofi_trade_5: 0.7811712223930721 , std 0.327921800873625 
2023-04-20 05:39:25,293 INFO p_ofi_trade_6: 0.7676036626482655 , std 0.3373227867581651 
2023-04-20 05:39:25,293 INFO p_ofi_trade_7: 0.7576618477753041 , std 0.3394213182419619 
2023-04-20 05:39:25,293 INFO p_ofi_trade_8: 0.7549704091151617 , std 0.3412144626332215 
2023-04-20 05:39:25,293 INFO p_ofi_trade_9: 0.7227864273607569 , std 0.3560152900397457 
2023-04-20 05:39:25,293 INFO p_ofi_trade_10: 0.6697460483476414 , std 0.3885053718925765 
