2023-04-20 04:52:57,524 INFO Tickers: ['JPM']
2023-04-20 05:00:06,691 INFO p_ofi_order_9: 0.3940571910675608 , std 0.3761040141527014 
2023-04-20 05:00:06,691 INFO p_ofi_order_10: 0.37723574255657305 , std 0.3904359892026255 
2023-04-20 05:00:06,691 INFO p_ofi_trade_1: 0.8165686125148758 , std 0.3155776945631899 
2023-04-20 05:00:06,691 INFO p_ofi_trade_2: 0.5556737074344068 , std 0.3900946106342339 
2023-04-20 05:00:06,691 INFO p_ofi_trade_3: 0.42170583526153427 , std 0.36996566288783883 
2023-04-20 05:00:06,691 INFO p_ofi_trade_4: 0.36085320873921817 , std 0.3558346315677051 
2023-04-20 05:00:06,691 INFO p_ofi_trade_5: 0.3841273938519488 , std 0.36183668073113356 
2023-04-20 05:00:06,691 INFO p_ofi_trade_6: 0.3986301077339791 , std 0.3649278047569785 
2023-04-20 05:00:06,692 INFO p_ofi_trade_7: 0.4363855722962421 , std 0.3737293455853805 
2023-04-20 05:00:06,692 INFO p_ofi_trade_8: 0.4480093426450439 , std 0.3843822409082594 
2023-04-20 05:00:06,692 INFO p_ofi_trade_9: 0.49708467299929 , std 0.3921348426607815 
2023-04-20 05:00:06,692 INFO p_ofi_trade_10: 0.5014224518730546 , std 0.4167817530240583 
