2023-04-20 04:58:34,755 INFO Tickers: ['BAC']
2023-04-20 05:00:05,677 INFO Negative OS: -2.9029159585080317 --- ticker BAC --- day 2017-08-31 --- time 52200
2023-04-20 05:04:40,067 INFO Negative OS: -0.06627253305446401 --- ticker BAC --- day 2019-07-26 --- time 46800
2023-04-20 05:05:41,442 INFO p_ofi_order_8: 0.24712688104533528 , std 0.38726733965469673 
2023-04-20 05:05:41,442 INFO p_ofi_order_9: 0.3602312861846074 , std 0.4359644971809757 
2023-04-20 05:05:41,442 INFO p_ofi_order_10: 0.3893842861572893 , std 0.44878225397492477 
2023-04-20 05:05:41,442 INFO p_ofi_trade_1: 0.783304374027331 , std 0.37080136362140415 
2023-04-20 05:05:41,442 INFO p_ofi_trade_2: 0.13087499168195924 , std 0.29136752740151267 
2023-04-20 05:05:41,442 INFO p_ofi_trade_3: 0.15189200398056923 , std 0.3042570574103316 
2023-04-20 05:05:41,442 INFO p_ofi_trade_4: 0.13112398485289836 , std 0.29345419324055755 
2023-04-20 05:05:41,442 INFO p_ofi_trade_5: 0.18032143860273103 , std 0.3381477852151851 
2023-04-20 05:05:41,442 INFO p_ofi_trade_6: 0.21725309888130745 , std 0.36773063205908973 
2023-04-20 05:05:41,442 INFO p_ofi_trade_7: 0.2964554942498153 , std 0.4106201510994639 
2023-04-20 05:05:41,442 INFO p_ofi_trade_8: 0.33933717705817945 , std 0.4312862769127989 
2023-04-20 05:05:41,442 INFO p_ofi_trade_9: 0.402278986859196 , std 0.44716073322546385 
2023-04-20 05:05:41,442 INFO p_ofi_trade_10: 0.4468584159347743 , std 0.46123654541897585 
