2023-04-20 05:13:51,494 INFO Tickers: ['WMT']
2023-04-20 05:15:53,126 INFO Negative OS: -6.971805477182774 --- ticker WMT --- day 2017-11-14 --- time 50400
2023-04-20 05:20:26,342 INFO p_ofi_order_8: 0.38018060011933474 , std 0.37630756653566183 
2023-04-20 05:20:26,342 INFO p_ofi_order_9: 0.43988347994929405 , std 0.3889197394730586 
2023-04-20 05:20:26,342 INFO p_ofi_order_10: 0.4259475633302692 , std 0.40526365486801935 
2023-04-20 05:20:26,342 INFO p_ofi_trade_1: 0.7885631543341007 , std 0.33991540323821884 
2023-04-20 05:20:26,342 INFO p_ofi_trade_2: 0.5215935504320036 , std 0.4015786944009442 
2023-04-20 05:20:26,342 INFO p_ofi_trade_3: 0.42483758286794226 , std 0.3862694822185225 
2023-04-20 05:20:26,342 INFO p_ofi_trade_4: 0.40065936215734355 , std 0.37910378720292626 
2023-04-20 05:20:26,342 INFO p_ofi_trade_5: 0.4231290154515985 , std 0.3826744115708324 
2023-04-20 05:20:26,342 INFO p_ofi_trade_6: 0.45304491321893714 , std 0.387315563198798 
2023-04-20 05:20:26,342 INFO p_ofi_trade_7: 0.44416863716681493 , std 0.39618450464269145 
2023-04-20 05:20:26,342 INFO p_ofi_trade_8: 0.5134819800150062 , std 0.39587848974574785 
2023-04-20 05:20:26,342 INFO p_ofi_trade_9: 0.5872444176856543 , std 0.3953578535873956 
2023-04-20 05:20:26,342 INFO p_ofi_trade_10: 0.558726148153103 , std 0.413863970254111 
