2023-04-20 05:12:21,257 INFO Tickers: ['PEP']
2023-04-20 05:13:47,153 INFO Negative OS: -0.0786622090588387 --- ticker PEP --- day 2017-11-07 --- time 36000
2023-04-20 05:15:00,042 INFO Negative OS: -0.031168935736012537 --- ticker PEP --- day 2018-07-03 --- time 43200
2023-04-20 05:18:18,020 INFO p_ofi_order_6: 0.42570947050932306 , std 0.3686832675385363 
2023-04-20 05:18:18,020 INFO p_ofi_order_7: 0.47652851508141736 , std 0.37467360719824655 
2023-04-20 05:18:18,020 INFO p_ofi_order_8: 0.4678211827153933 , std 0.3816057694467854 
2023-04-20 05:18:18,020 INFO p_ofi_order_9: 0.5026369884491031 , std 0.38319594726446066 
2023-04-20 05:18:18,020 INFO p_ofi_order_10: 0.48353128999682526 , std 0.4015767824338759 
2023-04-20 05:18:18,020 INFO p_ofi_trade_1: 0.753385355470659 , std 0.3619537642717138 
2023-04-20 05:18:18,020 INFO p_ofi_trade_2: 0.606324061142965 , std 0.39399846897788077 
2023-04-20 05:18:18,020 INFO p_ofi_trade_3: 0.5230868903803602 , std 0.3850662531405673 
2023-04-20 05:18:18,020 INFO p_ofi_trade_4: 0.5105277072556468 , std 0.3784987597900133 
2023-04-20 05:18:18,020 INFO p_ofi_trade_5: 0.5190734352078891 , std 0.38154868567969313 
2023-04-20 05:18:18,020 INFO p_ofi_trade_6: 0.5462718223288462 , std 0.37876474155393375 
2023-04-20 05:18:18,020 INFO p_ofi_trade_7: 0.5769326540272204 , std 0.37682403587116636 
2023-04-20 05:18:18,020 INFO p_ofi_trade_8: 0.5665117070337844 , std 0.3845364191283381 
2023-04-20 05:18:18,020 INFO p_ofi_trade_9: 0.6008914494397474 , std 0.3852437994248708 
2023-04-20 05:18:18,020 INFO p_ofi_trade_10: 0.5751309147960019 , std 0.3974362766673109 
