2023-04-20 05:51:13,130 INFO Tickers: ['SPGI']
2023-04-20 05:51:33,165 INFO Negative OS: -0.08890274361733685 --- ticker SPGI --- day 2018-02-06 --- time 37800
2023-04-20 05:51:33,664 INFO Negative OS: -0.03981751995126648 --- ticker SPGI --- day 2018-02-09 --- time 52200
2023-04-20 05:51:35,465 INFO Negative OS: -0.009040391162685513 --- ticker SPGI --- day 2018-03-21 --- time 52200
2023-04-20 05:51:46,361 INFO Negative OS: -0.07433858000004312 --- ticker SPGI --- day 2018-10-11 --- time 41400
2023-04-20 05:51:46,415 INFO Negative OS: -0.07106966707320206 --- ticker SPGI --- day 2018-10-11 --- time 50400
2023-04-20 05:51:50,221 INFO Negative OS: -0.03577264250716916 --- ticker SPGI --- day 2018-12-04 --- time 43200
2023-04-20 05:51:52,666 INFO Negative OS: -0.5219903396207872 --- ticker SPGI --- day 2018-12-18 --- time 50400
2023-04-20 05:51:52,848 INFO Negative OS: -8.446728854156653 --- ticker SPGI --- day 2018-12-19 --- time 50400
2023-04-20 05:51:53,474 INFO Negative OS: -0.7955222731484868 --- ticker SPGI --- day 2018-12-20 --- time 41400
2023-04-20 05:52:03,658 INFO Negative OS: -0.36293359287220195 --- ticker SPGI --- day 2019-03-19 --- time 45000
2023-04-20 05:52:12,375 INFO Negative OS: -0.1654913870376027 --- ticker SPGI --- day 2019-05-22 --- time 36000
2023-04-20 05:52:19,659 INFO Negative OS: -2.7705376643937316 --- ticker SPGI --- day 2019-08-01 --- time 37800
2023-04-20 05:52:32,469 INFO t_ofi_trade_6: 0.3248837545006105 , std 0.7177022919335265 
2023-04-20 05:52:32,469 INFO t_ofi_trade_7: 0.32776069752118064 , std 0.6423259743240469 
2023-04-20 05:52:32,469 INFO t_ofi_trade_8: 0.29199800816610993 , std 0.661354096152672 
2023-04-20 05:52:32,469 INFO t_ofi_trade_9: 0.42217197646307447 , std 0.7793315490791518 
2023-04-20 05:52:32,469 INFO t_ofi_trade_10: 0.7400970827178465 , std 1.127245929382821 
2023-04-20 05:52:32,469 INFO p_intercept: 0.4673766460645219 , std 0.3027715337530668 
2023-04-20 05:52:32,469 INFO p_ofi_order_1: 0.11299786160240725 , std 0.243315608450321 
2023-04-20 05:52:32,469 INFO p_ofi_order_2: 0.1702399118867762 , std 0.2933103615923377 
2023-04-20 05:52:32,469 INFO p_ofi_order_3: 0.2863371462025315 , std 0.34793887084931374 
2023-04-20 05:52:32,469 INFO p_ofi_order_4: 0.4631313736316159 , std 0.3684110723621051 
2023-04-20 05:52:32,470 INFO p_ofi_order_5: 0.5842740499681196 , std 0.36925417535603067 
2023-04-20 05:52:32,470 INFO p_ofi_order_6: 0.6616138451803638 , std 0.3538489904454014 
2023-04-20 05:52:32,470 INFO p_ofi_order_7: 0.7112511910900341 , std 0.3378658376394305 
2023-04-20 05:52:32,470 INFO p_ofi_order_8: 0.7669838094191664 , std 0.3191463814233273 
2023-04-20 05:52:32,470 INFO p_ofi_order_9: 0.7517395038434367 , std 0.3251553549810142 
2023-04-20 05:52:32,470 INFO p_ofi_order_10: 0.7025407683951371 , std 0.3614271908046576 
2023-04-20 05:52:32,470 INFO p_ofi_trade_1: 0.39923814834252713 , std 0.40593188637049193 
2023-04-20 05:52:32,470 INFO p_ofi_trade_2: 0.5506164695025838 , std 0.3942338583338423 
2023-04-20 05:52:32,470 INFO p_ofi_trade_3: 0.669816607003689 , std 0.3745643125705183 
2023-04-20 05:52:32,470 INFO p_ofi_trade_4: 0.7317746639544399 , std 0.3442226787021673 
2023-04-20 05:52:32,470 INFO p_ofi_trade_5: 0.7560311844287981 , std 0.33226786384308243 
2023-04-20 05:52:32,470 INFO p_ofi_trade_6: 0.7591474889824201 , std 0.33473516019912625 
2023-04-20 05:52:32,470 INFO p_ofi_trade_7: 0.7777161989467938 , std 0.3186628627490283 
2023-04-20 05:52:32,470 INFO p_ofi_trade_8: 0.7946803394391829 , std 0.31958431134330034 
2023-04-20 05:52:32,470 INFO p_ofi_trade_9: 0.7391323174506864 , std 0.35196440699466286 
2023-04-20 05:52:32,470 INFO p_ofi_trade_10: 0.6371244892299563 , std 0.40844041188714764 
