2023-04-20 05:04:25,586 INFO Tickers: ['INTC']
2023-04-20 05:06:11,678 INFO Error --- ticker INTC --- day 2017-08-28 --- time 48600 --- shapes (180,21) and (20,) not aligned: 21 (dim 1) != 20 (dim 0)
2023-04-20 05:10:36,629 INFO Negative OS: -0.8797780809073779 --- ticker INTC --- day 2019-04-26 --- time 48600
2023-04-20 05:11:04,419 INFO Negative OS: -0.31747674903974255 --- ticker INTC --- day 2019-06-19 --- time 46800
2023-04-20 05:12:23,073 INFO p_ofi_order_6: 0.07104110199807735 , std 0.21653743877572232 
2023-04-20 05:12:23,073 INFO p_ofi_order_7: 0.11369494534463805 , std 0.27148650204210256 
2023-04-20 05:12:23,073 INFO p_ofi_order_8: 0.12681515511439412 , std 0.2860944864275841 
2023-04-20 05:12:23,073 INFO p_ofi_order_9: 0.14484852978474771 , std 0.3051295960187134 
2023-04-20 05:12:23,073 INFO p_ofi_order_10: 0.16457979785577045 , std 0.33098246988666813 
2023-04-20 05:12:23,073 INFO p_ofi_trade_1: 0.743643993810762 , std 0.3854559614369537 
2023-04-20 05:12:23,073 INFO p_ofi_trade_2: 0.13984208967424813 , std 0.29352882528529384 
2023-04-20 05:12:23,073 INFO p_ofi_trade_3: 0.11215687147126763 , std 0.25880864072134474 
2023-04-20 05:12:23,073 INFO p_ofi_trade_4: 0.14370126336272016 , std 0.2901630700035963 
2023-04-20 05:12:23,073 INFO p_ofi_trade_5: 0.11571825736394303 , std 0.2752161216034504 
2023-04-20 05:12:23,073 INFO p_ofi_trade_6: 0.11818526827053362 , std 0.2780744874327808 
2023-04-20 05:12:23,073 INFO p_ofi_trade_7: 0.18192742183892208 , std 0.33841927362250707 
2023-04-20 05:12:23,073 INFO p_ofi_trade_8: 0.20550077102407877 , std 0.35864900032881736 
2023-04-20 05:12:23,073 INFO p_ofi_trade_9: 0.2122214060765287 , std 0.3648704812355507 
2023-04-20 05:12:23,073 INFO p_ofi_trade_10: 0.24220877083650927 , std 0.39279405777554305 
