2023-04-20 05:25:06,325 INFO Tickers: ['PYPL']
2023-04-20 05:32:28,222 INFO Negative OS: -0.9208197421111795 --- ticker PYPL --- day 2019-11-20 --- time 43200
2023-04-20 05:32:37,503 INFO p_ofi_order_8: 0.3287808243644369 , std 0.3650388638821461 
2023-04-20 05:32:37,503 INFO p_ofi_order_9: 0.35704955137950145 , std 0.3716838021693334 
2023-04-20 05:32:37,503 INFO p_ofi_order_10: 0.2816190241028798 , std 0.3563269759202925 
2023-04-20 05:32:37,503 INFO p_ofi_trade_1: 0.7130518564490435 , std 0.38099446248137153 
2023-04-20 05:32:37,503 INFO p_ofi_trade_2: 0.4798276713445159 , std 0.4091811552984814 
2023-04-20 05:32:37,503 INFO p_ofi_trade_3: 0.3923336033931285 , std 0.3830236447330111 
2023-04-20 05:32:37,503 INFO p_ofi_trade_4: 0.36567929269741584 , std 0.37638683030299963 
2023-04-20 05:32:37,503 INFO p_ofi_trade_5: 0.3818057884225266 , std 0.3807637740154165 
2023-04-20 05:32:37,503 INFO p_ofi_trade_6: 0.37505848819752224 , std 0.37777157447761356 
2023-04-20 05:32:37,503 INFO p_ofi_trade_7: 0.4252406044360976 , std 0.3887453512595235 
2023-04-20 05:32:37,503 INFO p_ofi_trade_8: 0.4141636265685802 , std 0.3863674490751472 
2023-04-20 05:32:37,503 INFO p_ofi_trade_9: 0.43890023529171773 , std 0.39277337103482524 
2023-04-20 05:32:37,503 INFO p_ofi_trade_10: 0.3750104993413492 , std 0.39258658281220093 
