2023-04-20 05:47:20,836 INFO Tickers: ['ADP']
2023-04-20 05:47:41,696 INFO Negative OS: -0.5548109736093245 --- ticker ADP --- day 2017-03-06 --- time 50400
2023-04-20 05:47:46,354 INFO Negative OS: -0.03796322786374273 --- ticker ADP --- day 2017-03-17 --- time 48600
2023-04-20 05:48:30,167 INFO Negative OS: -2.7254787768157787 --- ticker ADP --- day 2017-07-27 --- time 45000
2023-04-20 05:49:13,784 INFO Negative OS: -0.6328541792889439 --- ticker ADP --- day 2018-03-21 --- time 36000
2023-04-20 05:51:59,120 INFO p_ofi_order_4: 0.4392027375235525 , std 0.372630368623043 
2023-04-20 05:51:59,120 INFO p_ofi_order_5: 0.5124298983707047 , std 0.3764027307160173 
2023-04-20 05:51:59,120 INFO p_ofi_order_6: 0.5831875342474351 , std 0.37464955215129386 
2023-04-20 05:51:59,120 INFO p_ofi_order_7: 0.6176523075133584 , std 0.3656091050734034 
2023-04-20 05:51:59,120 INFO p_ofi_order_8: 0.6617954498549187 , std 0.35685614667272586 
2023-04-20 05:51:59,120 INFO p_ofi_order_9: 0.7124018062203374 , std 0.34162566408448614 
2023-04-20 05:51:59,120 INFO p_ofi_order_10: 0.6820817890495722 , std 0.35679882786463846 
2023-04-20 05:51:59,120 INFO p_ofi_trade_1: 0.5962800943081913 , std 0.40639312446238396 
2023-04-20 05:51:59,120 INFO p_ofi_trade_2: 0.6016966163819885 , std 0.38830422894091704 
2023-04-20 05:51:59,120 INFO p_ofi_trade_3: 0.620286467385856 , std 0.38084649505948415 
2023-04-20 05:51:59,120 INFO p_ofi_trade_4: 0.6655489095937445 , std 0.36723942622924644 
2023-04-20 05:51:59,120 INFO p_ofi_trade_5: 0.6670201807794636 , std 0.3674920728914034 
2023-04-20 05:51:59,120 INFO p_ofi_trade_6: 0.6918144784990046 , std 0.3545055582949961 
2023-04-20 05:51:59,120 INFO p_ofi_trade_7: 0.6933240617168328 , std 0.35315529561771825 
2023-04-20 05:51:59,120 INFO p_ofi_trade_8: 0.6864065908002025 , std 0.3578126909131667 
2023-04-20 05:51:59,120 INFO p_ofi_trade_9: 0.6902328715764982 , std 0.36045027671566215 
2023-04-20 05:51:59,120 INFO p_ofi_trade_10: 0.6441856781447411 , std 0.37768215502159613 
