2023-04-20 05:50:45,151 INFO Tickers: ['INTU']
2023-04-20 05:51:50,379 INFO Negative OS: -1.0373298563505586 --- ticker INTU --- day 2018-06-15 --- time 52200
2023-04-20 05:52:28,641 INFO Negative OS: -0.07126301838239213 --- ticker INTU --- day 2018-12-20 --- time 36000
2023-04-20 05:52:32,770 INFO Negative OS: -1.3812148987463502 --- ticker INTU --- day 2019-01-07 --- time 36000
2023-04-20 05:52:39,064 INFO Negative OS: -1.3378270789365074 --- ticker INTU --- day 2019-02-04 --- time 39600
2023-04-20 05:52:58,647 INFO Negative OS: -0.09633103502440643 --- ticker INTU --- day 2019-05-08 --- time 37800
2023-04-20 05:53:08,672 INFO Negative OS: -1.4743480580873496 --- ticker INTU --- day 2019-06-26 --- time 36000
2023-04-20 05:53:20,632 INFO Negative OS: -0.21206506732213648 --- ticker INTU --- day 2019-08-27 --- time 50400
2023-04-20 05:53:26,890 INFO Negative OS: -0.16187644309632332 --- ticker INTU --- day 2019-10-08 --- time 52200
2023-04-20 05:53:35,031 INFO Negative OS: -0.29677246213180797 --- ticker INTU --- day 2019-12-11 --- time 48600
2023-04-20 05:53:35,641 INFO p_ofi_order_6: 0.623438836591767 , std 0.3645307032226781 
2023-04-20 05:53:35,641 INFO p_ofi_order_7: 0.6612203756477036 , std 0.3587942076335645 
2023-04-20 05:53:35,641 INFO p_ofi_order_8: 0.6830304957438773 , std 0.3514196913559348 
2023-04-20 05:53:35,641 INFO p_ofi_order_9: 0.7167372383055798 , std 0.33870595330107306 
2023-04-20 05:53:35,641 INFO p_ofi_order_10: 0.6778013741662108 , std 0.3649346419807677 
2023-04-20 05:53:35,642 INFO p_ofi_trade_1: 0.4705233501322399 , std 0.40794087108957494 
2023-04-20 05:53:35,642 INFO p_ofi_trade_2: 0.5686405336180197 , std 0.3882242325465601 
2023-04-20 05:53:35,642 INFO p_ofi_trade_3: 0.6191845657533884 , std 0.3833149698525681 
2023-04-20 05:53:35,642 INFO p_ofi_trade_4: 0.6969270720022344 , std 0.36231682231096335 
2023-04-20 05:53:35,642 INFO p_ofi_trade_5: 0.7207956856021027 , std 0.3548522410063043 
2023-04-20 05:53:35,642 INFO p_ofi_trade_6: 0.7450185362332346 , std 0.34100796886129875 
2023-04-20 05:53:35,642 INFO p_ofi_trade_7: 0.7342269188935688 , std 0.3460648454422831 
2023-04-20 05:53:35,642 INFO p_ofi_trade_8: 0.7142633921712762 , std 0.3563672242470125 
2023-04-20 05:53:35,642 INFO p_ofi_trade_9: 0.6982556073494454 , std 0.35942740943230544 
2023-04-20 05:53:35,642 INFO p_ofi_trade_10: 0.6139658594997617 , std 0.3920696674680797 
