2023-04-20 04:52:57,403 INFO Tickers: ['AMZN']
2023-04-20 04:53:47,736 INFO Negative OS: -0.18468111559372669 --- ticker AMZN --- day 2017-07-05 --- time 36000
2023-04-20 04:54:11,148 INFO Negative OS: -0.03418818826540093 --- ticker AMZN --- day 2017-09-22 --- time 36000
2023-04-20 04:54:34,429 INFO Negative OS: -0.08796907590665515 --- ticker AMZN --- day 2017-12-14 --- time 46800
2023-04-20 04:54:46,792 INFO Negative OS: -0.1742453240053523 --- ticker AMZN --- day 2018-01-29 --- time 41400
2023-04-20 04:54:50,679 INFO Negative OS: -0.0511649781101704 --- ticker AMZN --- day 2018-02-08 --- time 36000
2023-04-20 04:55:31,666 INFO Negative OS: -0.4089556135621415 --- ticker AMZN --- day 2018-06-14 --- time 45000
2023-04-20 04:55:44,298 INFO Negative OS: -0.12232978430816788 --- ticker AMZN --- day 2018-07-25 --- time 41400
2023-04-20 04:57:31,207 INFO Negative OS: -0.4846015061849225 --- ticker AMZN --- day 2019-06-06 --- time 41400
2023-04-20 04:57:38,543 INFO Negative OS: -0.4145574286596667 --- ticker AMZN --- day 2019-06-28 --- time 39600
2023-04-20 04:58:34,712 INFO t_ofi_trade_9: 0.6199328398456355 , std 0.7585883346639866 
2023-04-20 04:58:34,712 INFO t_ofi_trade_10: 1.083221338027537 , std 1.0079765356995758 
2023-04-20 04:58:34,712 INFO p_intercept: 0.47199022582138783 , std 0.2972091456879153 
2023-04-20 04:58:34,712 INFO p_ofi_order_1: 0.3983518429223409 , std 0.3754987364634679 
2023-04-20 04:58:34,712 INFO p_ofi_order_2: 0.4040491596611998 , std 0.3602164103723714 
2023-04-20 04:58:34,712 INFO p_ofi_order_3: 0.43302180944209534 , std 0.3594423368248137 
2023-04-20 04:58:34,712 INFO p_ofi_order_4: 0.5013337583975198 , std 0.3593654051185097 
2023-04-20 04:58:34,712 INFO p_ofi_order_5: 0.5465559750980864 , std 0.35892273211972936 
2023-04-20 04:58:34,712 INFO p_ofi_order_6: 0.5684059529738981 , std 0.3572170156843121 
2023-04-20 04:58:34,713 INFO p_ofi_order_7: 0.5939329561223073 , std 0.3559409832971614 
2023-04-20 04:58:34,713 INFO p_ofi_order_8: 0.6127043380988803 , std 0.35249572214312513 
2023-04-20 04:58:34,713 INFO p_ofi_order_9: 0.6095534262764659 , std 0.35568285544370243 
2023-04-20 04:58:34,713 INFO p_ofi_order_10: 0.4015325345713215 , std 0.37390704258019536 
2023-04-20 04:58:34,713 INFO p_ofi_trade_1: 0.5607015753787158 , std 0.3898529139092272 
2023-04-20 04:58:34,713 INFO p_ofi_trade_2: 0.6388573312536743 , std 0.3641137701672673 
2023-04-20 04:58:34,713 INFO p_ofi_trade_3: 0.6861604283498288 , std 0.351332105534266 
2023-04-20 04:58:34,713 INFO p_ofi_trade_4: 0.7159528612796878 , std 0.34103259574521144 
2023-04-20 04:58:34,713 INFO p_ofi_trade_5: 0.6998889187297977 , std 0.3453132555737542 
2023-04-20 04:58:34,713 INFO p_ofi_trade_6: 0.68859342842534 , std 0.3474714255943874 
2023-04-20 04:58:34,713 INFO p_ofi_trade_7: 0.6887892342467783 , std 0.3437159093836246 
2023-04-20 04:58:34,713 INFO p_ofi_trade_8: 0.6677219761724063 , std 0.3465552451621138 
2023-04-20 04:58:34,713 INFO p_ofi_trade_9: 0.6249062279184887 , std 0.35918547045657717 
2023-04-20 04:58:34,713 INFO p_ofi_trade_10: 0.4495866974743236 , std 0.37852107837109567 
