2023-04-20 05:46:20,148 INFO Tickers: ['GS']
2023-04-20 05:50:45,146 INFO t_ofi_trade_3: 0.5800211446544695 , std 0.7488634878166232 
2023-04-20 05:50:45,146 INFO t_ofi_trade_4: 0.47946102403880353 , std 0.7048531027940669 
2023-04-20 05:50:45,146 INFO t_ofi_trade_5: 0.4279345712970455 , std 0.6555938703159386 
2023-04-20 05:50:45,146 INFO t_ofi_trade_6: 0.44145173562957407 , std 0.6529399476810588 
2023-04-20 05:50:45,146 INFO t_ofi_trade_7: 0.4182505085068621 , std 0.640764968089054 
2023-04-20 05:50:45,146 INFO t_ofi_trade_8: 0.44426157956881024 , std 0.648011598280283 
2023-04-20 05:50:45,146 INFO t_ofi_trade_9: 0.4627796221716213 , std 0.6723268700117025 
2023-04-20 05:50:45,146 INFO t_ofi_trade_10: 0.556292938084515 , std 0.7488450234216131 
2023-04-20 05:50:45,146 INFO p_intercept: 0.5042364583944242 , std 0.29165617773053537 
2023-04-20 05:50:45,146 INFO p_ofi_order_1: 0.2209464648347029 , std 0.3107222099901447 
2023-04-20 05:50:45,146 INFO p_ofi_order_2: 0.17123580018066936 , std 0.2652341720547699 
2023-04-20 05:50:45,146 INFO p_ofi_order_3: 0.3087263913805209 , std 0.33339520902679565 
2023-04-20 05:50:45,146 INFO p_ofi_order_4: 0.4567376267327104 , std 0.36175768782972784 
2023-04-20 05:50:45,146 INFO p_ofi_order_5: 0.5488310667814903 , std 0.3623682419291919 
2023-04-20 05:50:45,146 INFO p_ofi_order_6: 0.6033408625674926 , std 0.3523529136218303 
2023-04-20 05:50:45,146 INFO p_ofi_order_7: 0.6329981807718158 , std 0.3456467278780601 
2023-04-20 05:50:45,146 INFO p_ofi_order_8: 0.6688298491368327 , std 0.33635628165091364 
2023-04-20 05:50:45,146 INFO p_ofi_order_9: 0.676125608031311 , std 0.3361370769221706 
2023-04-20 05:50:45,146 INFO p_ofi_order_10: 0.5915469903211793 , std 0.36775266230690296 
2023-04-20 05:50:45,146 INFO p_ofi_trade_1: 0.719568448495199 , std 0.3631194276573401 
2023-04-20 05:50:45,146 INFO p_ofi_trade_2: 0.6418095119860266 , std 0.3726163252829127 
2023-04-20 05:50:45,146 INFO p_ofi_trade_3: 0.6541823154082353 , std 0.36521938810415194 
2023-04-20 05:50:45,146 INFO p_ofi_trade_4: 0.6979685221435108 , std 0.34904623391159395 
2023-04-20 05:50:45,146 INFO p_ofi_trade_5: 0.7188829082128303 , std 0.3361875648781567 
2023-04-20 05:50:45,146 INFO p_ofi_trade_6: 0.7159661507748508 , std 0.33565835006775707 
2023-04-20 05:50:45,146 INFO p_ofi_trade_7: 0.7209545286393343 , std 0.3340106683991881 
2023-04-20 05:50:45,146 INFO p_ofi_trade_8: 0.7100343123777596 , std 0.3350911629864082 
2023-04-20 05:50:45,146 INFO p_ofi_trade_9: 0.6974216946604584 , std 0.33945913906922504 
2023-04-20 05:50:45,146 INFO p_ofi_trade_10: 0.6617295031458971 , std 0.3566569516393288 
