2023-04-20 05:24:31,781 INFO Tickers: ['COST']
2023-04-20 05:25:47,007 INFO Negative OS: -0.11108086496009983 --- ticker COST --- day 2017-12-01 --- time 52200
2023-04-20 05:26:19,512 INFO Negative OS: -0.2951133626654898 --- ticker COST --- day 2018-04-11 --- time 41400
2023-04-20 05:26:23,645 INFO Negative OS: -0.3164268021970069 --- ticker COST --- day 2018-04-27 --- time 43200
2023-04-20 05:26:30,128 INFO Negative OS: -0.13468931295415443 --- ticker COST --- day 2018-05-22 --- time 48600
2023-04-20 05:27:04,604 INFO Negative OS: -1.9801975827096405 --- ticker COST --- day 2018-09-26 --- time 41400
2023-04-20 05:27:07,127 INFO Negative OS: -0.12496801185709527 --- ticker COST --- day 2018-10-03 --- time 41400
2023-04-20 05:27:57,734 INFO Negative OS: -2.3515523243239826 --- ticker COST --- day 2019-02-28 --- time 45000
2023-04-20 05:27:58,171 INFO Negative OS: -0.040529092068411376 --- ticker COST --- day 2019-03-01 --- time 45000
2023-04-20 05:29:12,647 INFO Negative OS: -0.18089025067766817 --- ticker COST --- day 2019-11-19 --- time 41400
2023-04-20 05:29:13,208 INFO Negative OS: -0.059714335063566715 --- ticker COST --- day 2019-11-20 --- time 43200
2023-04-20 05:29:19,732 INFO p_ofi_order_5: 0.5531229929091149 , std 0.3704115925771052 
2023-04-20 05:29:19,732 INFO p_ofi_order_6: 0.6091601398361369 , std 0.3615831264976057 
2023-04-20 05:29:19,732 INFO p_ofi_order_7: 0.6331513770816214 , std 0.35787133553503353 
2023-04-20 05:29:19,732 INFO p_ofi_order_8: 0.6769488842387247 , std 0.3430600359835679 
2023-04-20 05:29:19,732 INFO p_ofi_order_9: 0.7010414726404952 , std 0.3353638768791686 
2023-04-20 05:29:19,732 INFO p_ofi_order_10: 0.6468930138020796 , std 0.36371966272195505 
2023-04-20 05:29:19,732 INFO p_ofi_trade_1: 0.5907029660524455 , std 0.40205616217520523 
2023-04-20 05:29:19,732 INFO p_ofi_trade_2: 0.5640160294661949 , std 0.3870597126232656 
2023-04-20 05:29:19,732 INFO p_ofi_trade_3: 0.5921481238512292 , std 0.38127921633879236 
2023-04-20 05:29:19,732 INFO p_ofi_trade_4: 0.6455177073437064 , std 0.3699146711514569 
2023-04-20 05:29:19,732 INFO p_ofi_trade_5: 0.6701905810507973 , std 0.3608302240698522 
2023-04-20 05:29:19,732 INFO p_ofi_trade_6: 0.6867275151024334 , std 0.35727228367424596 
2023-04-20 05:29:19,732 INFO p_ofi_trade_7: 0.6807596326310934 , std 0.3566264184121923 
2023-04-20 05:29:19,732 INFO p_ofi_trade_8: 0.6767169218511538 , std 0.35912817106468603 
2023-04-20 05:29:19,732 INFO p_ofi_trade_9: 0.6567090989737923 , std 0.36301363463515446 
2023-04-20 05:29:19,732 INFO p_ofi_trade_10: 0.5954559398130438 , std 0.38200806540117016 
