2023-04-20 05:12:23,079 INFO Tickers: ['BA']
2023-04-20 05:12:49,320 INFO Negative OS: -1.365764413983304 --- ticker BA --- day 2017-05-10 --- time 50400
2023-04-20 05:13:29,864 INFO Negative OS: -0.6460021049381237 --- ticker BA --- day 2018-02-14 --- time 45000
2023-04-20 05:13:31,667 INFO Negative OS: -0.5113289139148394 --- ticker BA --- day 2018-02-26 --- time 37800
2023-04-20 05:14:09,428 INFO Negative OS: -0.1092902041075019 --- ticker BA --- day 2018-07-17 --- time 39600
2023-04-20 05:14:37,274 INFO Negative OS: -0.10410888147329223 --- ticker BA --- day 2018-10-11 --- time 41400
2023-04-20 05:14:45,680 INFO Negative OS: -0.9729503988059145 --- ticker BA --- day 2018-11-06 --- time 37800
2023-04-20 05:16:46,204 INFO p_ofi_order_2: 0.2138499564879313 , std 0.2946880061279935 
2023-04-20 05:16:46,204 INFO p_ofi_order_3: 0.36770029373029 , std 0.3513184347279053 
2023-04-20 05:16:46,204 INFO p_ofi_order_4: 0.4881286695798415 , std 0.3651814756873688 
2023-04-20 05:16:46,204 INFO p_ofi_order_5: 0.5677163969253222 , std 0.3608218215019435 
2023-04-20 05:16:46,204 INFO p_ofi_order_6: 0.6180754859587523 , std 0.34988993387480766 
2023-04-20 05:16:46,204 INFO p_ofi_order_7: 0.6495568051415209 , std 0.344488621453531 
2023-04-20 05:16:46,204 INFO p_ofi_order_8: 0.6731849188970231 , std 0.33404935046080086 
2023-04-20 05:16:46,204 INFO p_ofi_order_9: 0.6863120862401353 , std 0.3331872517706026 
2023-04-20 05:16:46,204 INFO p_ofi_order_10: 0.6012930009327316 , std 0.3645711760189664 
2023-04-20 05:16:46,204 INFO p_ofi_trade_1: 0.6262774600407057 , std 0.3944224390950099 
2023-04-20 05:16:46,204 INFO p_ofi_trade_2: 0.5955299464056729 , std 0.37951188465900654 
2023-04-20 05:16:46,204 INFO p_ofi_trade_3: 0.6670616473841369 , std 0.36069033917143306 
2023-04-20 05:16:46,204 INFO p_ofi_trade_4: 0.7126319949397026 , std 0.34368954377061534 
2023-04-20 05:16:46,204 INFO p_ofi_trade_5: 0.7429315103939502 , std 0.32765394425947625 
2023-04-20 05:16:46,204 INFO p_ofi_trade_6: 0.7464973908414374 , std 0.3291451185658922 
2023-04-20 05:16:46,204 INFO p_ofi_trade_7: 0.7512470046600722 , std 0.3227060656049299 
2023-04-20 05:16:46,204 INFO p_ofi_trade_8: 0.7358365379240497 , std 0.3287485281930608 
2023-04-20 05:16:46,204 INFO p_ofi_trade_9: 0.7341857441386509 , std 0.33064432422533807 
2023-04-20 05:16:46,204 INFO p_ofi_trade_10: 0.6714918924238445 , std 0.35836005839385815 
