2023-04-20 05:14:16,727 INFO Tickers: ['ADBE']
2023-04-20 05:15:50,650 INFO Negative OS: -0.07435012298532473 --- ticker ADBE --- day 2018-01-02 --- time 39600
2023-04-20 05:16:36,527 INFO Negative OS: -0.0271811042368868 --- ticker ADBE --- day 2018-06-06 --- time 41400
2023-04-20 05:16:56,131 INFO Negative OS: -1.732379220283791 --- ticker ADBE --- day 2018-08-02 --- time 36000
2023-04-20 05:19:31,750 INFO Negative OS: -0.01618406715485876 --- ticker ADBE --- day 2019-10-30 --- time 36000
2023-04-20 05:19:44,295 INFO Negative OS: -0.09154653430462734 --- ticker ADBE --- day 2019-12-09 --- time 39600
2023-04-20 05:19:46,474 INFO p_ofi_order_3: 0.33588139267477124 , std 0.3468340542236548 
2023-04-20 05:19:46,474 INFO p_ofi_order_4: 0.46787674653488986 , std 0.36961296682685724 
2023-04-20 05:19:46,474 INFO p_ofi_order_5: 0.5341367722331334 , std 0.3727548160033215 
2023-04-20 05:19:46,474 INFO p_ofi_order_6: 0.5938402288001449 , std 0.36270706682672216 
2023-04-20 05:19:46,474 INFO p_ofi_order_7: 0.6140762506624177 , std 0.36093428483587076 
2023-04-20 05:19:46,474 INFO p_ofi_order_8: 0.6478424088314139 , std 0.35264853998111645 
2023-04-20 05:19:46,474 INFO p_ofi_order_9: 0.6629016083734004 , std 0.3492428574711658 
2023-04-20 05:19:46,474 INFO p_ofi_order_10: 0.5623623889540424 , std 0.3779122497685152 
2023-04-20 05:19:46,474 INFO p_ofi_trade_1: 0.610026433807386 , std 0.39524329254605434 
2023-04-20 05:19:46,474 INFO p_ofi_trade_2: 0.6090013959790845 , std 0.38015741256685065 
2023-04-20 05:19:46,474 INFO p_ofi_trade_3: 0.6214899173008637 , std 0.3736727664122956 
2023-04-20 05:19:46,474 INFO p_ofi_trade_4: 0.6614361977475125 , std 0.3621735997314692 
2023-04-20 05:19:46,474 INFO p_ofi_trade_5: 0.6851075937133675 , std 0.35682791588444124 
2023-04-20 05:19:46,474 INFO p_ofi_trade_6: 0.7023581126558651 , std 0.34905847356034736 
2023-04-20 05:19:46,474 INFO p_ofi_trade_7: 0.7095806159454081 , std 0.34802041186819993 
2023-04-20 05:19:46,474 INFO p_ofi_trade_8: 0.7033259029867526 , std 0.34443246771577585 
2023-04-20 05:19:46,474 INFO p_ofi_trade_9: 0.6776653288817953 , std 0.3563874629756065 
2023-04-20 05:19:46,474 INFO p_ofi_trade_10: 0.5892258609912754 , std 0.3838482368978278 
