2023-04-20 05:53:35,645 INFO Tickers: ['BSX']
2023-04-20 05:54:24,485 INFO Negative OS: -0.509612848335621 --- ticker BSX --- day 2017-07-27 --- time 39600
2023-04-20 05:58:56,576 INFO p_ofi_order_9: 0.35481120705801517 , std 0.41358114415603703 
2023-04-20 05:58:56,576 INFO p_ofi_order_10: 0.3809230414273992 , std 0.4294292036840283 
2023-04-20 05:58:56,576 INFO p_ofi_trade_1: 0.699903192626308 , std 0.40215709020544627 
2023-04-20 05:58:56,576 INFO p_ofi_trade_2: 0.3090494008347819 , std 0.38920231673844513 
2023-04-20 05:58:56,576 INFO p_ofi_trade_3: 0.23440093460349795 , std 0.3461554348029917 
2023-04-20 05:58:56,576 INFO p_ofi_trade_4: 0.20783312001957374 , std 0.33414906155697605 
2023-04-20 05:58:56,576 INFO p_ofi_trade_5: 0.21683127222575563 , std 0.33942645721111314 
2023-04-20 05:58:56,576 INFO p_ofi_trade_6: 0.26558746786778803 , std 0.370480803076942 
2023-04-20 05:58:56,576 INFO p_ofi_trade_7: 0.3641163002896166 , std 0.41220687209406687 
2023-04-20 05:58:56,576 INFO p_ofi_trade_8: 0.45434941432944204 , std 0.4290584560245544 
2023-04-20 05:58:56,576 INFO p_ofi_trade_9: 0.5021862688151002 , std 0.4341833466856472 
2023-04-20 05:58:56,576 INFO p_ofi_trade_10: 0.5228523424273208 , std 0.4427482097885017 
