2023-04-25 17:49:42,849 INFO Experiment: neigh_price_impact
2023-04-25 17:49:42,852 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-25 17:52:18,651 INFO Negative OS: -0.24521173721868728 --- ticker GOOG, GOOGL, INTC, ADBE, MSFT --- day 2017-01-31 --- time 36000
2023-04-25 17:52:20,029 INFO Negative OS: -0.0992307434764148 --- ticker AMZN, ORCL, FB, TJX, UTX --- day 2017-01-31 --- time 41400
2023-04-25 17:52:21,799 INFO Negative OS: -0.011074922855300207 --- ticker GOOGL, AAPL, PEP, MCD, PG --- day 2017-01-31 --- time 48600
2023-04-25 17:52:28,575 INFO Negative OS: -0.060100161589403234 --- ticker GOOGL, PEP, COST, AAPL, CSCO --- day 2017-02-01 --- time 43200
2023-04-25 17:52:37,602 INFO Negative OS: -1.1886272153181645 --- ticker NVDA, QCOM, INTC, MMM, TXN --- day 2017-02-02 --- time 46800
2023-04-25 17:52:38,880 INFO Negative OS: -0.2568320642542574 --- ticker GOOGL, CSCO, GE, CMCSA, T --- day 2017-02-02 --- time 52200
2023-04-25 17:52:38,943 INFO Negative OS: -0.2872324101444601 --- ticker AVGO, INTC, TXN, ORCL, AAPL --- day 2017-02-02 --- time 52200
2023-04-25 17:52:52,630 INFO Negative OS: -0.14423244816665837 --- ticker AMZN, MO, HON, PG, TXN --- day 2017-02-06 --- time 43200
2023-04-25 17:52:54,777 INFO Negative OS: -0.18141309703347308 --- ticker AMZN, HON, AAPL, HD, DIS --- day 2017-02-06 --- time 52200
2023-04-25 17:52:58,800 INFO Negative OS: -0.006329738046687794 --- ticker GOOG, GOOGL, ADP, MA, CSCO --- day 2017-02-07 --- time 36000
