2023-04-20 04:48:39,158 INFO Tickers: ['GILD']
2023-04-20 04:48:42,049 INFO Negative OS: -0.03223912608778723 --- ticker GILD --- day 2017-02-22 --- time 46800
2023-04-20 04:49:34,977 INFO Negative OS: -4.521490193679768 --- ticker GILD --- day 2019-09-11 --- time 37800
2023-04-20 04:49:40,519 INFO in_r2: 0.9640213655793834 , std 0.027789325914270163 
2023-04-20 04:49:40,519 INFO os_r2: 0.9512530782338944 , std 0.07567002279153266 
2023-04-20 04:49:40,519 INFO intercept: -1.5630412027964155e-07 , std 4.487293997354712e-06 
2023-04-20 04:49:40,519 INFO ofi_1: 3.287821130503245e-05 , std 4.631234392053882e-05 
2023-04-20 04:49:40,519 INFO ofi_2: 6.720194176921209e-05 , std 5.28154845742686e-05 
2023-04-20 04:49:40,519 INFO ofi_3: 7.338642677380647e-05 , std 5.185278867888304e-05 
2023-04-20 04:49:40,519 INFO ofi_4: 6.707446574319615e-05 , std 5.162947718822259e-05 
2023-04-20 04:49:40,519 INFO ofi_5: 5.6838273763130214e-05 , std 5.1316771331513195e-05 
2023-04-20 04:49:40,519 INFO ofi_6: 7.75767807825448e-05 , std 6.130210972288528e-05 
2023-04-20 04:49:40,519 INFO ofi_7: 8.330895944416813e-05 , std 6.862026894224272e-05 
2023-04-20 04:49:40,519 INFO ofi_8: 7.986703328802843e-05 , std 7.53553432182872e-05 
2023-04-20 04:49:40,519 INFO ofi_9: 7.779137418592048e-05 , std 7.564485374606077e-05 
2023-04-20 04:49:40,519 INFO ofi_10: 9.451243365726554e-05 , std 7.492759957606964e-05 
2023-04-20 04:49:40,519 INFO t_intercept: -0.004604771858957576 , std 1.061090794367751 
2023-04-20 04:49:40,519 INFO t_ofi_1: 1.3616456821051734 , std 1.786038155330114 
2023-04-20 04:49:40,519 INFO t_ofi_2: 2.196917678006881 , std 1.5941333211339146 
2023-04-20 04:49:40,519 INFO t_ofi_3: 2.350941971021627 , std 1.5904782122245014 
2023-04-20 04:49:40,519 INFO t_ofi_4: 2.2360680536602233 , std 1.655021919957231 
2023-04-20 04:49:40,519 INFO t_ofi_5: 1.9274625805278918 , std 1.630961187800183 
2023-04-20 04:49:40,519 INFO t_ofi_6: 2.348431964021023 , std 1.796937432801756 
2023-04-20 04:49:40,519 INFO t_ofi_7: 2.2284120015443 , std 1.7029187950351563 
2023-04-20 04:49:40,519 INFO t_ofi_8: 2.0646654491250267 , std 1.7922623596229053 
2023-04-20 04:49:40,519 INFO t_ofi_9: 2.0106651549153223 , std 1.8228357095474037 
2023-04-20 04:49:40,519 INFO t_ofi_10: 2.675386696346479 , std 2.016116592540322 
2023-04-20 04:49:40,519 INFO p_intercept: 0.48565137062081287 , std 0.2927136668959003 
2023-04-20 04:49:40,519 INFO p_ofi_1: 0.2794679425767452 , std 0.3027065361078107 
2023-04-20 04:49:40,519 INFO p_ofi_2: 0.1694732272013648 , std 0.25743831090300706 
2023-04-20 04:49:40,520 INFO p_ofi_3: 0.14534487839439747 , std 0.23957533848921067 
2023-04-20 04:49:40,520 INFO p_ofi_4: 0.16496930396876092 , std 0.2506927611574115 
2023-04-20 04:49:40,520 INFO p_ofi_5: 0.2048347695908975 , std 0.27081642020118446 
2023-04-20 04:49:40,520 INFO p_ofi_6: 0.16048267075455766 , std 0.2512149324605939 
2023-04-20 04:49:40,520 INFO p_ofi_7: 0.17039824042309143 , std 0.2558889003576399 
2023-04-20 04:49:40,520 INFO p_ofi_8: 0.19085396265638338 , std 0.26829403127816037 
2023-04-20 04:49:40,520 INFO p_ofi_9: 0.20216954657743172 , std 0.27320116097170405 
2023-04-20 04:49:40,520 INFO p_ofi_10: 0.13936054585917657 , std 0.24238357906000962 
