2023-04-20 04:40:31,985 INFO Tickers: ['AAPL']
2023-04-20 04:41:00,901 INFO Negative OS: -1.8732638315385364 --- ticker AAPL --- day 2018-06-01 --- time 46800
2023-04-20 04:41:19,047 INFO in_r2: 0.9486617455531368 , std 0.027707678664747853 
2023-04-20 04:41:19,047 INFO os_r2: 0.9329735074711809 , std 0.05565883358095277 
2023-04-20 04:41:19,047 INFO intercept: 6.05652086437176e-07 , std 4.170762005702376e-06 
2023-04-20 04:41:19,047 INFO ofi_1: 1.1296135698727791e-05 , std 2.1289886462562557e-05 
2023-04-20 04:41:19,047 INFO ofi_2: 2.2410447231524733e-05 , std 2.946423583138866e-05 
2023-04-20 04:41:19,047 INFO ofi_3: 2.4740228971936603e-05 , std 3.296033637530059e-05 
2023-04-20 04:41:19,047 INFO ofi_4: 3.0452707220971184e-05 , std 3.422878287754074e-05 
2023-04-20 04:41:19,047 INFO ofi_5: 2.8182569461461034e-05 , std 3.2808954405437455e-05 
2023-04-20 04:41:19,047 INFO ofi_6: 3.4221087183534084e-05 , std 3.4156378486288395e-05 
2023-04-20 04:41:19,047 INFO ofi_7: 2.9057680485912908e-05 , std 3.296143732897897e-05 
2023-04-20 04:41:19,047 INFO ofi_8: 3.128170680688128e-05 , std 3.2932122583496795e-05 
2023-04-20 04:41:19,047 INFO ofi_9: 2.7990144351566085e-05 , std 3.239854832873629e-05 
2023-04-20 04:41:19,047 INFO ofi_10: 4.323232978317349e-05 , std 2.9387815187036433e-05 
2023-04-20 04:41:19,047 INFO t_intercept: 0.18410753125724494 , std 1.0892542986830787 
2023-04-20 04:41:19,047 INFO t_ofi_1: 0.8246272453255272 , std 1.480373183372612 
2023-04-20 04:41:19,047 INFO t_ofi_2: 1.158126272582312 , std 1.4591363214450082 
2023-04-20 04:41:19,047 INFO t_ofi_3: 1.161661701473005 , std 1.4701300136671789 
2023-04-20 04:41:19,047 INFO t_ofi_4: 1.3609369709926848 , std 1.4607779098103415 
2023-04-20 04:41:19,047 INFO t_ofi_5: 1.3119999642328872 , std 1.4396312922414005 
2023-04-20 04:41:19,047 INFO t_ofi_6: 1.587910699480903 , std 1.5169672099998228 
2023-04-20 04:41:19,047 INFO t_ofi_7: 1.4200193383106927 , std 1.5153183331025986 
2023-04-20 04:41:19,047 INFO t_ofi_8: 1.498667892011885 , std 1.4719558289410049 
2023-04-20 04:41:19,047 INFO t_ofi_9: 1.417233227010922 , std 1.5147174009525008 
2023-04-20 04:41:19,047 INFO t_ofi_10: 2.6328176447703595 , std 1.7767831352199162 
2023-04-20 04:41:19,047 INFO p_intercept: 0.46809640689972726 , std 0.29419567876712766 
2023-04-20 04:41:19,047 INFO p_ofi_1: 0.37095875219580926 , std 0.3139400547895819 
2023-04-20 04:41:19,047 INFO p_ofi_2: 0.31943348417087064 , std 0.3052336723837886 
2023-04-20 04:41:19,047 INFO p_ofi_3: 0.31885835377458804 , std 0.307771176360829 
2023-04-20 04:41:19,047 INFO p_ofi_4: 0.2876742791397972 , std 0.2988658449342847 
2023-04-20 04:41:19,047 INFO p_ofi_5: 0.29706840701634835 , std 0.29908025816949413 
2023-04-20 04:41:19,047 INFO p_ofi_6: 0.2580918028338634 , std 0.2949309085626566 
2023-04-20 04:41:19,047 INFO p_ofi_7: 0.2811997205040237 , std 0.29778338405323496 
2023-04-20 04:41:19,047 INFO p_ofi_8: 0.27058730225302 , std 0.29556098486331356 
2023-04-20 04:41:19,047 INFO p_ofi_9: 0.28423235719821627 , std 0.3004649608853956 
2023-04-20 04:41:19,047 INFO p_ofi_10: 0.12329768234253413 , std 0.2173008279908635 
