2023-04-20 04:48:21,520 INFO Tickers: ['LOW']
2023-04-20 04:48:41,422 INFO Negative OS: -0.3896293597253895 --- ticker LOW --- day 2017-12-22 --- time 48600
2023-04-20 04:49:21,487 INFO in_r2: 0.9058522998432437 , std 0.06044160053210246 
2023-04-20 04:49:21,487 INFO os_r2: 0.8856685563844432 , std 0.08344759215212182 
2023-04-20 04:49:21,487 INFO intercept: -3.225587487994685e-08 , std 7.212045891714514e-06 
2023-04-20 04:49:21,487 INFO ofi_1: 8.476000855618496e-05 , std 7.822065322510704e-05 
2023-04-20 04:49:21,487 INFO ofi_2: 9.745647933450855e-05 , std 6.741428903964438e-05 
2023-04-20 04:49:21,487 INFO ofi_3: 7.02673499299055e-05 , std 5.8374584344434955e-05 
2023-04-20 04:49:21,487 INFO ofi_4: 5.280189180781993e-05 , std 5.728628682355906e-05 
2023-04-20 04:49:21,487 INFO ofi_5: 4.40675229896711e-05 , std 5.722722050104999e-05 
2023-04-20 04:49:21,487 INFO ofi_6: 4.4668620286816024e-05 , std 6.147034271544369e-05 
2023-04-20 04:49:21,487 INFO ofi_7: 5.390783271794573e-05 , std 6.821499165095309e-05 
2023-04-20 04:49:21,487 INFO ofi_8: 4.713192412855315e-05 , std 7.266351776829436e-05 
2023-04-20 04:49:21,487 INFO ofi_9: 4.503060345752979e-05 , std 7.956762864952825e-05 
2023-04-20 04:49:21,487 INFO ofi_10: 5.9375500899361864e-05 , std 7.911616664836218e-05 
2023-04-20 04:49:21,487 INFO t_intercept: 0.00918789532304163 , std 0.9811133655150482 
2023-04-20 04:49:21,487 INFO t_ofi_1: 2.4604280021429905 , std 1.8684270181708555 
2023-04-20 04:49:21,487 INFO t_ofi_2: 2.552904467991128 , std 1.4523116036524149 
2023-04-20 04:49:21,488 INFO t_ofi_3: 1.932420734880042 , std 1.3415996905924414 
2023-04-20 04:49:21,488 INFO t_ofi_4: 1.5494065392516867 , std 1.376492229528593 
2023-04-20 04:49:21,488 INFO t_ofi_5: 1.3326497500761536 , std 1.3707855101065414 
2023-04-20 04:49:21,488 INFO t_ofi_6: 1.2716592239601667 , std 1.4027036483550488 
2023-04-20 04:49:21,488 INFO t_ofi_7: 1.3435072640794725 , std 1.4287723153553789 
2023-04-20 04:49:21,488 INFO t_ofi_8: 1.0737287129458613 , std 1.3835372108721997 
2023-04-20 04:49:21,488 INFO t_ofi_9: 0.8858190321687696 , std 1.347294184689335 
2023-04-20 04:49:21,488 INFO t_ofi_10: 1.2410942230726472 , std 1.5016907775823563 
2023-04-20 04:49:21,488 INFO p_intercept: 0.5100230218775367 , std 0.28566469793084404 
2023-04-20 04:49:21,488 INFO p_ofi_1: 0.1532266808469429 , std 0.2549324226468858 
2023-04-20 04:49:21,488 INFO p_ofi_2: 0.11534781944741561 , std 0.21299438560529063 
2023-04-20 04:49:21,488 INFO p_ofi_3: 0.18546165738143242 , std 0.25697807948760343 
2023-04-20 04:49:21,488 INFO p_ofi_4: 0.2489824475727729 , std 0.28585609531661393 
2023-04-20 04:49:21,488 INFO p_ofi_5: 0.28912745700854686 , std 0.3008377338076723 
2023-04-20 04:49:21,488 INFO p_ofi_6: 0.30253069179732794 , std 0.30475955899438406 
2023-04-20 04:49:21,488 INFO p_ofi_7: 0.2843340553106465 , std 0.29689751888194493 
2023-04-20 04:49:21,488 INFO p_ofi_8: 0.32993291466389946 , std 0.3065841133722097 
2023-04-20 04:49:21,488 INFO p_ofi_9: 0.35788236672688184 , std 0.3084157326423337 
2023-04-20 04:49:21,488 INFO p_ofi_10: 0.3037467800830618 , std 0.3080483173546885 
