2023-04-20 04:45:31,456 INFO Tickers: ['COST']
2023-04-20 04:46:13,358 INFO Negative OS: -0.05093706815858723 --- ticker COST --- day 2019-03-01 --- time 45000
2023-04-20 04:46:15,093 INFO Negative OS: -0.0555782410938368 --- ticker COST --- day 2019-04-02 --- time 39600
2023-04-20 04:46:26,703 INFO Negative OS: -0.08725152459677532 --- ticker COST --- day 2019-11-01 --- time 50400
2023-04-20 04:46:28,993 INFO in_r2: 0.8374726163588082 , std 0.06673481461604407 
2023-04-20 04:46:28,993 INFO os_r2: 0.7937452107529035 , std 0.09900609450618533 
2023-04-20 04:46:28,993 INFO intercept: -9.698529615013435e-08 , std 9.030686299949572e-06 
2023-04-20 04:46:28,993 INFO ofi_1: 5.8861248179413e-05 , std 4.479143448118296e-05 
2023-04-20 04:46:28,993 INFO ofi_2: 7.567261075059326e-05 , std 5.3560212599333444e-05 
2023-04-20 04:46:28,993 INFO ofi_3: 5.7444557710033904e-05 , std 5.1649347233354286e-05 
2023-04-20 04:46:28,993 INFO ofi_4: 3.9409678362662316e-05 , std 4.996081547127635e-05 
2023-04-20 04:46:28,994 INFO ofi_5: 2.8255124608323134e-05 , std 4.925680961403154e-05 
2023-04-20 04:46:28,994 INFO ofi_6: 2.3368799471439138e-05 , std 4.9141194871859917e-05 
2023-04-20 04:46:28,994 INFO ofi_7: 2.360013095779878e-05 , std 5.216866647525015e-05 
2023-04-20 04:46:28,994 INFO ofi_8: 1.9069586137583375e-05 , std 5.421739009034721e-05 
2023-04-20 04:46:28,994 INFO ofi_9: 1.731775638567127e-05 , std 5.3583636528694064e-05 
2023-04-20 04:46:28,994 INFO ofi_10: 1.8188212196081435e-05 , std 4.8218302196073705e-05 
2023-04-20 04:46:28,994 INFO t_intercept: -0.044627849933671394 , std 1.1969269370826296 
2023-04-20 04:46:28,994 INFO t_ofi_1: 2.56820986856548 , std 1.7517271030138486 
2023-04-20 04:46:28,994 INFO t_ofi_2: 2.447972485155322 , std 1.4731151849111457 
2023-04-20 04:46:28,994 INFO t_ofi_3: 1.72045050579134 , std 1.3829937043211924 
2023-04-20 04:46:28,994 INFO t_ofi_4: 1.1879948663698732 , std 1.3223518423448546 
2023-04-20 04:46:28,994 INFO t_ofi_5: 0.8693342275110431 , std 1.2825921807727363 
2023-04-20 04:46:28,994 INFO t_ofi_6: 0.6867961244062158 , std 1.2695045610831832 
2023-04-20 04:46:28,994 INFO t_ofi_7: 0.6884595390833188 , std 1.2907739210173306 
2023-04-20 04:46:28,994 INFO t_ofi_8: 0.5427226902312097 , std 1.2600062885804946 
2023-04-20 04:46:28,994 INFO t_ofi_9: 0.4924920349438159 , std 1.2503036356041766 
2023-04-20 04:46:28,994 INFO t_ofi_10: 0.640344525412378 , std 1.3762967772178847 
2023-04-20 04:46:28,994 INFO p_intercept: 0.45017354645781815 , std 0.3017844668656749 
2023-04-20 04:46:28,994 INFO p_ofi_1: 0.13125297465523483 , std 0.2340264304777866 
2023-04-20 04:46:28,994 INFO p_ofi_2: 0.12730734382120654 , std 0.2258810593721054 
2023-04-20 04:46:28,994 INFO p_ofi_3: 0.22529809018454666 , std 0.28056975669714124 
2023-04-20 04:46:28,994 INFO p_ofi_4: 0.30892967506487157 , std 0.30134531236928236 
2023-04-20 04:46:28,994 INFO p_ofi_5: 0.36634870124962376 , std 0.3088481496891838 
2023-04-20 04:46:28,994 INFO p_ofi_6: 0.3908739108542967 , std 0.30822949817944967 
2023-04-20 04:46:28,994 INFO p_ofi_7: 0.3869957036497682 , std 0.3087593720942141 
2023-04-20 04:46:28,994 INFO p_ofi_8: 0.4083248448273814 , std 0.3093081012957951 
2023-04-20 04:46:28,994 INFO p_ofi_9: 0.4151312483024206 , std 0.3080188896617247 
2023-04-20 04:46:28,994 INFO p_ofi_10: 0.3863032433228743 , std 0.3090839878070314 
