2023-04-20 04:43:33,720 INFO Tickers: ['BA']
2023-04-20 04:43:40,447 INFO Negative OS: -0.49109163311508075 --- ticker BA --- day 2017-05-10 --- time 50400
2023-04-20 04:43:52,984 INFO Negative OS: -2.5170690960732354 --- ticker BA --- day 2018-01-18 --- time 45000
2023-04-20 04:43:52,988 INFO Negative OS: -0.0004497106261600603 --- ticker BA --- day 2018-01-18 --- time 46800
2023-04-20 04:43:53,819 INFO Negative OS: -0.06978492410861348 --- ticker BA --- day 2018-02-02 --- time 43200
2023-04-20 04:43:54,474 INFO Negative OS: -0.2298968996345847 --- ticker BA --- day 2018-02-14 --- time 45000
2023-04-20 04:43:54,838 INFO Negative OS: -0.29979526572106696 --- ticker BA --- day 2018-02-22 --- time 36000
2023-04-20 04:44:02,700 INFO Negative OS: -0.6650282474856943 --- ticker BA --- day 2018-07-17 --- time 39600
2023-04-20 04:44:07,652 INFO Negative OS: -0.27434516749263405 --- ticker BA --- day 2018-10-11 --- time 41400
2023-04-20 04:44:09,123 INFO Negative OS: -0.8623103937337306 --- ticker BA --- day 2018-11-06 --- time 37800
2023-04-20 04:44:13,362 INFO Negative OS: -0.12647763744605878 --- ticker BA --- day 2019-01-25 --- time 41400
2023-04-20 04:44:20,126 INFO Negative OS: -0.05215455169033678 --- ticker BA --- day 2019-05-24 --- time 43200
2023-04-20 04:44:31,253 INFO in_r2: 0.844973733346947 , std 0.06821242601634815 
2023-04-20 04:44:31,253 INFO os_r2: 0.7964289815766845 , std 0.1226012573222562 
2023-04-20 04:44:31,253 INFO intercept: -3.0962555660760413e-07 , std 1.2552541654774162e-05 
2023-04-20 04:44:31,253 INFO ofi_1: 8.746532071015786e-05 , std 7.27948155514287e-05 
2023-04-20 04:44:31,253 INFO ofi_2: 8.325370507800165e-05 , std 7.024772538203115e-05 
2023-04-20 04:44:31,253 INFO ofi_3: 5.799264522756951e-05 , std 6.572163490114875e-05 
2023-04-20 04:44:31,253 INFO ofi_4: 4.214588857301245e-05 , std 6.69371721143981e-05 
2023-04-20 04:44:31,253 INFO ofi_5: 3.1990837880795565e-05 , std 6.566067150026641e-05 
2023-04-20 04:44:31,253 INFO ofi_6: 2.878392603677321e-05 , std 6.877750078161528e-05 
2023-04-20 04:44:31,253 INFO ofi_7: 2.5290477326965073e-05 , std 6.795113143835045e-05 
2023-04-20 04:44:31,253 INFO ofi_8: 2.4312055096672962e-05 , std 6.77826195232136e-05 
2023-04-20 04:44:31,253 INFO ofi_9: 1.993094002241378e-05 , std 6.843722067444219e-05 
2023-04-20 04:44:31,253 INFO ofi_10: 2.735032652778195e-05 , std 5.752728958957561e-05 
2023-04-20 04:44:31,253 INFO t_intercept: -0.026756597119349825 , std 1.1084447097072685 
2023-04-20 04:44:31,253 INFO t_ofi_1: 2.7060376333715563 , std 1.585964610644609 
2023-04-20 04:44:31,253 INFO t_ofi_2: 2.1405309633952156 , std 1.3767586145598474 
2023-04-20 04:44:31,253 INFO t_ofi_3: 1.410517730820403 , std 1.322627374339365 
2023-04-20 04:44:31,253 INFO t_ofi_4: 0.9865213920210559 , std 1.271892720335145 
2023-04-20 04:44:31,253 INFO t_ofi_5: 0.732930806178729 , std 1.2469887608825712 
2023-04-20 04:44:31,253 INFO t_ofi_6: 0.6182557842405274 , std 1.2120076719695447 
2023-04-20 04:44:31,253 INFO t_ofi_7: 0.5419235647395917 , std 1.2104545542307674 
2023-04-20 04:44:31,253 INFO t_ofi_8: 0.5111265468722189 , std 1.2122470272846362 
2023-04-20 04:44:31,253 INFO t_ofi_9: 0.4141617558833001 , std 1.2183697718683812 
2023-04-20 04:44:31,253 INFO t_ofi_10: 0.7220517146469606 , std 1.3091819591455747 
2023-04-20 04:44:31,253 INFO p_intercept: 0.49088353016659225 , std 0.29850664872685 
2023-04-20 04:44:31,254 INFO p_ofi_1: 0.11142467702126943 , std 0.21459751592635315 
2023-04-20 04:44:31,254 INFO p_ofi_2: 0.16139861753774798 , std 0.24898878635511648 
2023-04-20 04:44:31,254 INFO p_ofi_3: 0.2757757042122915 , std 0.2938078434857861 
2023-04-20 04:44:31,254 INFO p_ofi_4: 0.34450209094277917 , std 0.3034773327776209 
2023-04-20 04:44:31,254 INFO p_ofi_5: 0.3818213872895671 , std 0.3051444588020187 
2023-04-20 04:44:31,254 INFO p_ofi_6: 0.40630656701767776 , std 0.3045710840332854 
2023-04-20 04:44:31,254 INFO p_ofi_7: 0.41365274754633646 , std 0.30275189194878077 
2023-04-20 04:44:31,254 INFO p_ofi_8: 0.4171316305114386 , std 0.3043143714098841 
2023-04-20 04:44:31,254 INFO p_ofi_9: 0.4292931765169905 , std 0.3062812426306839 
2023-04-20 04:44:31,254 INFO p_ofi_10: 0.38438298129981385 , std 0.3090688140049596 
