2023-04-20 04:40:32,041 INFO Tickers: ['FB']
2023-04-20 04:40:35,780 INFO Negative OS: -1.252683625232084 --- ticker FB --- day 2017-03-09 --- time 43200
2023-04-20 04:41:33,567 INFO in_r2: 0.9502929110799211 , std 0.028009271807787096 
2023-04-20 04:41:33,567 INFO os_r2: 0.9370097871842288 , std 0.047407192359578396 
2023-04-20 04:41:33,567 INFO intercept: 2.773937122176835e-07 , std 5.429927129822091e-06 
2023-04-20 04:41:33,567 INFO ofi_1: 1.4378490346583912e-05 , std 2.374288611381288e-05 
2023-04-20 04:41:33,567 INFO ofi_2: 2.3375573769631164e-05 , std 2.9859039239959375e-05 
2023-04-20 04:41:33,567 INFO ofi_3: 2.8688260927188327e-05 , std 3.53765025349377e-05 
2023-04-20 04:41:33,567 INFO ofi_4: 3.0395144517948955e-05 , std 3.886829672076382e-05 
2023-04-20 04:41:33,567 INFO ofi_5: 3.085104388616693e-05 , std 3.9542649308674524e-05 
2023-04-20 04:41:33,567 INFO ofi_6: 3.115510797817098e-05 , std 3.9456445788566126e-05 
2023-04-20 04:41:33,567 INFO ofi_7: 2.9115431955325697e-05 , std 3.777279952885579e-05 
2023-04-20 04:41:33,567 INFO ofi_8: 2.9133950211523655e-05 , std 3.608549431380064e-05 
2023-04-20 04:41:33,567 INFO ofi_9: 2.6165213198070097e-05 , std 3.695500545050471e-05 
2023-04-20 04:41:33,567 INFO ofi_10: 4.473786682266534e-05 , std 3.342134502112536e-05 
2023-04-20 04:41:33,568 INFO t_intercept: 0.04561006842635829 , std 1.0457019325966024 
2023-04-20 04:41:33,568 INFO t_ofi_1: 0.9084608971487236 , std 1.4399502792415102 
2023-04-20 04:41:33,568 INFO t_ofi_2: 1.095164119054672 , std 1.328075896308529 
2023-04-20 04:41:33,568 INFO t_ofi_3: 1.1732626999409779 , std 1.333776841340156 
2023-04-20 04:41:33,568 INFO t_ofi_4: 1.2068997264365058 , std 1.3836821675264623 
2023-04-20 04:41:33,568 INFO t_ofi_5: 1.2001906760088905 , std 1.3407587586675946 
2023-04-20 04:41:33,568 INFO t_ofi_6: 1.2628132904373448 , std 1.3630055210121679 
2023-04-20 04:41:33,568 INFO t_ofi_7: 1.2294908180616058 , std 1.3604556430732844 
2023-04-20 04:41:33,568 INFO t_ofi_8: 1.2605677037863128 , std 1.3364386227462162 
2023-04-20 04:41:33,568 INFO t_ofi_9: 1.1808993767147893 , std 1.3547744713177194 
2023-04-20 04:41:33,568 INFO t_ofi_10: 2.44418232647529 , std 1.6179593142837727 
2023-04-20 04:41:33,568 INFO p_intercept: 0.4969428578315655 , std 0.29379102108437055 
2023-04-20 04:41:33,568 INFO p_ofi_1: 0.348966754119657 , std 0.30628007829984866 
2023-04-20 04:41:33,568 INFO p_ofi_2: 0.3293906295086465 , std 0.3035513460757321 
2023-04-20 04:41:33,568 INFO p_ofi_3: 0.31549564585229917 , std 0.3022462373233396 
2023-04-20 04:41:33,568 INFO p_ofi_4: 0.3093008912277244 , std 0.30419207809395865 
2023-04-20 04:41:33,568 INFO p_ofi_5: 0.31422570214343704 , std 0.3033167212522941 
2023-04-20 04:41:33,568 INFO p_ofi_6: 0.2990990763291607 , std 0.3012157920014037 
2023-04-20 04:41:33,568 INFO p_ofi_7: 0.30805934328122675 , std 0.3034332194588162 
2023-04-20 04:41:33,568 INFO p_ofi_8: 0.3036878232700484 , std 0.3035177747235803 
2023-04-20 04:41:33,568 INFO p_ofi_9: 0.3140808109118792 , std 0.30296054604802497 
2023-04-20 04:41:33,568 INFO p_ofi_10: 0.14248639965177476 , std 0.2376282839755079 
