2023-04-20 04:51:24,382 INFO Tickers: ['TGT']
2023-04-20 04:52:01,508 INFO Negative OS: -0.23807608245162526 --- ticker TGT --- day 2018-10-18 --- time 36000
2023-04-20 04:52:25,377 INFO in_r2: 0.9299927799906167 , std 0.06024604059795568 
2023-04-20 04:52:25,377 INFO os_r2: 0.9138651628097416 , std 0.07946108362224096 
2023-04-20 04:52:25,377 INFO intercept: -1.300114641026294e-07 , std 5.496586010852722e-06 
2023-04-20 04:52:25,377 INFO ofi_1: 7.384227649954473e-05 , std 6.520776504809438e-05 
2023-04-20 04:52:25,377 INFO ofi_2: 9.959744919813916e-05 , std 6.392460239136285e-05 
2023-04-20 04:52:25,377 INFO ofi_3: 7.738004219084977e-05 , std 5.667733084735594e-05 
2023-04-20 04:52:25,377 INFO ofi_4: 6.439765681154955e-05 , std 5.5935869022401964e-05 
2023-04-20 04:52:25,377 INFO ofi_5: 6.053781326631718e-05 , std 6.13071163108719e-05 
2023-04-20 04:52:25,377 INFO ofi_6: 7.42488486432735e-05 , std 6.852038444043233e-05 
2023-04-20 04:52:25,377 INFO ofi_7: 7.153192151403849e-05 , std 7.107470093802785e-05 
2023-04-20 04:52:25,377 INFO ofi_8: 7.009080186469751e-05 , std 7.582229154448917e-05 
2023-04-20 04:52:25,377 INFO ofi_9: 6.519316250572589e-05 , std 8.20373811121252e-05 
2023-04-20 04:52:25,377 INFO ofi_10: 7.876548585190692e-05 , std 8.53207717308284e-05 
2023-04-20 04:52:25,377 INFO t_intercept: -0.004123371283064313 , std 0.9605703964540715 
2023-04-20 04:52:25,377 INFO t_ofi_1: 2.5346845532704654 , std 1.8516520855304586 
2023-04-20 04:52:25,377 INFO t_ofi_2: 2.9339230309935678 , std 1.7223849649768788 
2023-04-20 04:52:25,377 INFO t_ofi_3: 2.5081192914797077 , std 1.7488647125119954 
2023-04-20 04:52:25,377 INFO t_ofi_4: 2.233344187181315 , std 1.7530288125859197 
2023-04-20 04:52:25,377 INFO t_ofi_5: 2.0675484834400057 , std 1.9732634326504765 
2023-04-20 04:52:25,377 INFO t_ofi_6: 2.258650859502525 , std 1.9785566292520314 
2023-04-20 04:52:25,377 INFO t_ofi_7: 1.950637529686603 , std 1.855444066600167 
2023-04-20 04:52:25,377 INFO t_ofi_8: 1.6793644836325368 , std 1.789938696884395 
2023-04-20 04:52:25,377 INFO t_ofi_9: 1.4703758243198441 , std 1.7545730312958316 
2023-04-20 04:52:25,377 INFO t_ofi_10: 1.90552001501763 , std 2.000428108418151 
2023-04-20 04:52:25,377 INFO p_intercept: 0.5209809073357664 , std 0.28696238547651537 
2023-04-20 04:52:25,377 INFO p_ofi_1: 0.14664440954365007 , std 0.24782112864181605 
2023-04-20 04:52:25,377 INFO p_ofi_2: 0.09790137448802286 , std 0.20197678398493135 
2023-04-20 04:52:25,377 INFO p_ofi_3: 0.14246966329719027 , std 0.23570679943885126 
2023-04-20 04:52:25,377 INFO p_ofi_4: 0.18082525691986426 , std 0.2635040287366855 
2023-04-20 04:52:25,377 INFO p_ofi_5: 0.22244064719421028 , std 0.2886661118922681 
2023-04-20 04:52:25,377 INFO p_ofi_6: 0.19600725456572118 , std 0.2765431516315131 
2023-04-20 04:52:25,377 INFO p_ofi_7: 0.21590819067000072 , std 0.2817478402836063 
2023-04-20 04:52:25,377 INFO p_ofi_8: 0.2581496015102334 , std 0.2979385558010584 
2023-04-20 04:52:25,377 INFO p_ofi_9: 0.2847520846369681 , std 0.3067293567366143 
2023-04-20 04:52:25,377 INFO p_ofi_10: 0.23138432650556437 , std 0.2921464976724576 
