2023-04-20 04:47:34,878 INFO Tickers: ['CVS']
2023-04-20 04:47:55,927 INFO Negative OS: -0.02220725594798245 --- ticker CVS --- day 2017-11-30 --- time 46800
2023-04-20 04:47:56,778 INFO Negative OS: -0.09010458787807107 --- ticker CVS --- day 2017-12-13 --- time 52200
2023-04-20 04:48:00,179 INFO Negative OS: -0.9050022835002882 --- ticker CVS --- day 2018-02-08 --- time 46800
2023-04-20 04:48:01,729 INFO Negative OS: -0.4500654528668817 --- ticker CVS --- day 2018-03-06 --- time 41400
2023-04-20 04:48:36,227 INFO Negative OS: -0.05145441121629468 --- ticker CVS --- day 2019-10-24 --- time 45000
2023-04-20 04:48:39,153 INFO in_r2: 0.9402754382421978 , std 0.07069036157939029 
2023-04-20 04:48:39,153 INFO os_r2: 0.9218073155550369 , std 0.10680429749111803 
2023-04-20 04:48:39,153 INFO intercept: -3.2938952230709166e-07 , std 6.905664820232353e-06 
2023-04-20 04:48:39,153 INFO ofi_1: 5.9289205634845524e-05 , std 8.805687286158708e-05 
2023-04-20 04:48:39,153 INFO ofi_2: 9.038591503182006e-05 , std 7.437991007959748e-05 
2023-04-20 04:48:39,153 INFO ofi_3: 8.595647956803337e-05 , std 6.89538243191452e-05 
2023-04-20 04:48:39,153 INFO ofi_4: 7.808418603172931e-05 , std 6.724794818868648e-05 
2023-04-20 04:48:39,153 INFO ofi_5: 7.007749710354287e-05 , std 6.73350223997496e-05 
2023-04-20 04:48:39,153 INFO ofi_6: 7.769399140568667e-05 , std 7.305257823381764e-05 
2023-04-20 04:48:39,153 INFO ofi_7: 7.896790592670813e-05 , std 7.714541116774962e-05 
2023-04-20 04:48:39,153 INFO ofi_8: 7.366004181088532e-05 , std 8.33104332927958e-05 
2023-04-20 04:48:39,153 INFO ofi_9: 7.33372883137159e-05 , std 8.466969464553962e-05 
2023-04-20 04:48:39,153 INFO ofi_10: 8.402636006446603e-05 , std 8.452448690100575e-05 
2023-04-20 04:48:39,153 INFO t_intercept: -0.03502618245438884 , std 1.0583720314752325 
2023-04-20 04:48:39,153 INFO t_ofi_1: 2.018446695961246 , std 2.045468760863394 
2023-04-20 04:48:39,153 INFO t_ofi_2: 2.715223438880028 , std 1.7355018343817556 
2023-04-20 04:48:39,153 INFO t_ofi_3: 2.616914984195792 , std 1.9363885206834184 
2023-04-20 04:48:39,153 INFO t_ofi_4: 2.4896195447143374 , std 2.12278406242003 
2023-04-20 04:48:39,153 INFO t_ofi_5: 2.3069177915920007 , std 2.2045322753577645 
2023-04-20 04:48:39,153 INFO t_ofi_6: 2.483677247150584 , std 2.398809361364708 
2023-04-20 04:48:39,153 INFO t_ofi_7: 2.3342798119662658 , std 2.2365350926731122 
2023-04-20 04:48:39,153 INFO t_ofi_8: 2.1122621609256083 , std 2.2717720231163816 
2023-04-20 04:48:39,153 INFO t_ofi_9: 2.017918656976017 , std 2.2493498786928763 
2023-04-20 04:48:39,153 INFO t_ofi_10: 2.486297247598614 , std 2.584121058347151 
2023-04-20 04:48:39,153 INFO p_intercept: 0.48789489766951577 , std 0.2921736169246574 
2023-04-20 04:48:39,153 INFO p_ofi_1: 0.21304917961038483 , std 0.28541776105895816 
2023-04-20 04:48:39,153 INFO p_ofi_2: 0.12101313619219817 , std 0.22227521461946906 
2023-04-20 04:48:39,153 INFO p_ofi_3: 0.13927876230593117 , std 0.23679488057916312 
2023-04-20 04:48:39,153 INFO p_ofi_4: 0.1704961163998044 , std 0.2605661308671268 
2023-04-20 04:48:39,153 INFO p_ofi_5: 0.19778138426498493 , std 0.2753748850744819 
2023-04-20 04:48:39,153 INFO p_ofi_6: 0.1884485416552626 , std 0.2744507744465741 
2023-04-20 04:48:39,153 INFO p_ofi_7: 0.19526295762095366 , std 0.27596966926390193 
2023-04-20 04:48:39,153 INFO p_ofi_8: 0.22093160529943326 , std 0.28650958120449566 
2023-04-20 04:48:39,153 INFO p_ofi_9: 0.2349604585099154 , std 0.29406774516644807 
2023-04-20 04:48:39,153 INFO p_ofi_10: 0.19601543836836222 , std 0.28103912795229996 
