2023-04-20 04:50:19,199 INFO Tickers: ['PNC']
2023-04-20 04:50:39,763 INFO Negative OS: -0.42402368798965995 --- ticker PNC --- day 2018-01-29 --- time 41400
2023-04-20 04:51:17,613 INFO in_r2: 0.8603623775009667 , std 0.07037737894025559 
2023-04-20 04:51:17,613 INFO os_r2: 0.8288863154588599 , std 0.09855718493917147 
2023-04-20 04:51:17,613 INFO intercept: 1.6587038558390065e-06 , std 8.758208749245688e-06 
2023-04-20 04:51:17,613 INFO ofi_1: 0.00011353497472975755 , std 8.478033974691591e-05 
2023-04-20 04:51:17,613 INFO ofi_2: 0.0001106925742206283 , std 7.542547890185006e-05 
2023-04-20 04:51:17,613 INFO ofi_3: 7.215651512255932e-05 , std 6.662007408879414e-05 
2023-04-20 04:51:17,613 INFO ofi_4: 5.017454991646256e-05 , std 6.891832388676613e-05 
2023-04-20 04:51:17,613 INFO ofi_5: 3.875998617672862e-05 , std 7.523539369088157e-05 
2023-04-20 04:51:17,613 INFO ofi_6: 3.737198950951977e-05 , std 8.571986426372178e-05 
2023-04-20 04:51:17,613 INFO ofi_7: 3.30865477129563e-05 , std 9.03012077333266e-05 
2023-04-20 04:51:17,613 INFO ofi_8: 2.877825842539407e-05 , std 9.271997073335994e-05 
2023-04-20 04:51:17,613 INFO ofi_9: 2.0592332004612274e-05 , std 9.191558769209234e-05 
2023-04-20 04:51:17,613 INFO ofi_10: 1.5189972215615554e-05 , std 7.82238397727522e-05 
2023-04-20 04:51:17,614 INFO t_intercept: 0.183104232117343 , std 1.0314761498140532 
2023-04-20 04:51:17,614 INFO t_ofi_1: 2.9992241671039173 , std 1.7710995878617943 
2023-04-20 04:51:17,614 INFO t_ofi_2: 2.55851137944766 , std 1.4457277240874713 
2023-04-20 04:51:17,614 INFO t_ofi_3: 1.6337251316418306 , std 1.3010297408744205 
2023-04-20 04:51:17,614 INFO t_ofi_4: 1.075092565198825 , std 1.2518023214025464 
2023-04-20 04:51:17,614 INFO t_ofi_5: 0.771052252455147 , std 1.2345407986576724 
2023-04-20 04:51:17,614 INFO t_ofi_6: 0.672393335744099 , std 1.2428133493432403 
2023-04-20 04:51:17,614 INFO t_ofi_7: 0.5592162095832122 , std 1.2374078638936206 
2023-04-20 04:51:17,614 INFO t_ofi_8: 0.5005007084849736 , std 1.2249575728247153 
2023-04-20 04:51:17,614 INFO t_ofi_9: 0.35065150419299806 , std 1.235232629893368 
2023-04-20 04:51:17,614 INFO t_ofi_10: 0.34855527958837257 , std 1.34781959768298 
2023-04-20 04:51:17,614 INFO p_intercept: 0.49568873695043 , std 0.2925644741548207 
2023-04-20 04:51:17,614 INFO p_ofi_1: 0.10162931120386387 , std 0.2086623026048325 
2023-04-20 04:51:17,614 INFO p_ofi_2: 0.11281508373455826 , std 0.2109514370808246 
2023-04-20 04:51:17,614 INFO p_ofi_3: 0.23468631644749902 , std 0.2785836976884868 
2023-04-20 04:51:17,614 INFO p_ofi_4: 0.3275525349383465 , std 0.30054256421789666 
2023-04-20 04:51:17,614 INFO p_ofi_5: 0.3863270277072048 , std 0.31008427847868525 
2023-04-20 04:51:17,614 INFO p_ofi_6: 0.39891148012445465 , std 0.30920256582341726 
2023-04-20 04:51:17,614 INFO p_ofi_7: 0.40757095074651345 , std 0.30761415550926724 
2023-04-20 04:51:17,614 INFO p_ofi_8: 0.41347123521164214 , std 0.30361893049059596 
2023-04-20 04:51:17,614 INFO p_ofi_9: 0.4245568806039171 , std 0.3054177197314994 
2023-04-20 04:51:17,614 INFO p_ofi_10: 0.4009963173593635 , std 0.30817659441853035 
