2023-04-21 12:07:36,757 INFO Tickers: ['TXN']
2023-04-21 12:07:56,410 INFO Negative OS: -0.7438009384479716 --- ticker TXN --- day 2017-12-20 --- time 41400
2023-04-21 12:07:58,076 INFO Negative OS: -0.6938193469615364 --- ticker TXN --- day 2018-01-23 --- time 50400
2023-04-21 12:07:58,481 INFO Negative OS: -1.1238090013174156 --- ticker TXN --- day 2018-01-30 --- time 48600
2023-04-21 12:07:58,851 INFO Negative OS: -0.057088463914326315 --- ticker TXN --- day 2018-02-06 --- time 36000
2023-04-21 12:07:59,110 INFO Negative OS: -0.3890088200776083 --- ticker TXN --- day 2018-02-09 --- time 41400
2023-04-21 12:08:00,966 INFO Negative OS: -0.15587092737721386 --- ticker TXN --- day 2018-03-15 --- time 37800
2023-04-21 12:08:01,702 INFO Negative OS: -0.6005011048098419 --- ticker TXN --- day 2018-03-28 --- time 37800
2023-04-21 12:08:01,708 INFO Negative OS: -0.1614709714012561 --- ticker TXN --- day 2018-03-28 --- time 39600
2023-04-21 12:08:01,713 INFO Negative OS: -0.33433286925043837 --- ticker TXN --- day 2018-03-28 --- time 41400
2023-04-21 12:08:23,177 INFO Negative OS: -0.477378507040112 --- ticker TXN --- day 2019-04-16 --- time 45000
2023-04-21 12:08:33,018 INFO Negative OS: -0.4063853788486891 --- ticker TXN --- day 2019-10-08 --- time 52200
2023-04-21 12:08:36,329 INFO Negative OS: -3.3971030850654493 --- ticker TXN --- day 2019-12-05 --- time 52200
2023-04-21 12:08:36,849 INFO in_r2: 0.9305849305239906 , std 0.05064202521725344 
2023-04-21 12:08:36,849 INFO os_r2: 0.9116837119417353 , std 0.10290597200379584 
2023-04-21 12:08:36,849 INFO intercept: -1.0451729915002834e-08 , std 1.693210624514085e-05 
2023-04-21 12:08:36,849 INFO pca_1: -1.0378056318522228e-06 , std 9.10340356843189e-05 
2023-04-21 12:08:36,849 INFO pca_2: -6.28841416909689e-06 , std 0.00016811686481194423 
2023-04-21 12:08:36,849 INFO pca_3: -2.406582091967154e-07 , std 0.00011259587059542349 
2023-04-21 12:08:36,849 INFO pca_4: 4.360667901751277e-07 , std 8.874974834717393e-05 
2023-04-21 12:08:36,849 INFO pca_5: -2.4687048829134534e-06 , std 7.238214762632037e-05 
2023-04-21 12:08:36,849 INFO pca_6: -5.069881493154465e-07 , std 6.038265164838122e-05 
2023-04-21 12:08:36,849 INFO pca_7: -1.2724929482609428e-06 , std 5.080438863280724e-05 
2023-04-21 12:08:36,849 INFO pca_8: -7.217037830581822e-07 , std 4.691236053423906e-05 
2023-04-21 12:08:36,849 INFO pca_9: -9.663635535724456e-07 , std 4.3302529447644926e-05 
2023-04-21 12:08:36,849 INFO pca_10: -5.679867711170515e-07 , std 4.218778893723725e-05 
2023-04-21 12:08:36,849 INFO t_intercept: 0.08527788337034684 , std 4.3877853318759845 
2023-04-21 12:08:36,849 INFO t_pca_1: -0.6089634646868249 , std 38.43849319309102 
2023-04-21 12:08:36,849 INFO t_pca_2: -1.3387939759799443 , std 38.89227845871274 
2023-04-21 12:08:36,849 INFO t_pca_3: 0.054415532528400014 , std 18.49657478576258 
2023-04-21 12:08:36,849 INFO t_pca_4: 0.0750118152170316 , std 11.43848259855292 
2023-04-21 12:08:36,849 INFO t_pca_5: -0.27305467890103846 , std 7.974536142227137 
2023-04-21 12:08:36,849 INFO t_pca_6: -0.05512565667392375 , std 5.833321759449395 
2023-04-21 12:08:36,849 INFO t_pca_7: -0.09088739759842954 , std 4.4107441380925305 
2023-04-21 12:08:36,849 INFO t_pca_8: -0.05089908024841523 , std 3.468913670552077 
2023-04-21 12:08:36,849 INFO t_pca_9: -0.04152769353122812 , std 2.777575122941205 
2023-04-21 12:08:36,849 INFO t_pca_10: -0.041510173113194375 , std 2.387937702397971 
2023-04-21 12:08:36,849 INFO p_intercept: 0.1672140550884469 , std 0.2676508921832728 
2023-04-21 12:08:36,849 INFO p_pca_1: 0.0021677344742624272 , std 0.03307134119013674 
2023-04-21 12:08:36,849 INFO p_pca_2: 0.012366224468144225 , std 0.0810739320483517 
2023-04-21 12:08:36,849 INFO p_pca_3: 0.04229773292817499 , std 0.15238970320828926 
2023-04-21 12:08:36,849 INFO p_pca_4: 0.07290941610640918 , std 0.19359758762179238 
2023-04-21 12:08:36,849 INFO p_pca_5: 0.11440467526646651 , std 0.23506209958504748 
2023-04-21 12:08:36,849 INFO p_pca_6: 0.17414541287067214 , std 0.2743680402571735 
2023-04-21 12:08:36,849 INFO p_pca_7: 0.2220560137807999 , std 0.2937539859485767 
2023-04-21 12:08:36,849 INFO p_pca_8: 0.26845119782404747 , std 0.3042182313493977 
2023-04-21 12:08:36,849 INFO p_pca_9: 0.3059667340819278 , std 0.3105740784088109 
2023-04-21 12:08:36,849 INFO p_pca_10: 0.3371103162517448 , std 0.3120146648925513 
2023-04-21 12:08:36,849 INFO pca_explained_1: 0.5919053644422106 , std 0.09488557677088219 
2023-04-21 12:08:36,849 INFO pca_explained_2: 0.7348510059154965 , std 0.07889844251596866 
2023-04-21 12:08:36,850 INFO pca_explained_3: 0.8076302463571929 , std 0.06602757538532315 
2023-04-21 12:08:36,850 INFO pca_explained_4: 0.85354774560893 , std 0.05452451111986805 
2023-04-21 12:08:36,850 INFO pca_explained_5: 0.8852252033636608 , std 0.04457150620190079 
2023-04-21 12:08:36,850 INFO pca_explained_6: 0.9085396383255151 , std 0.03643253713218018 
2023-04-21 12:08:36,850 INFO pca_explained_7: 0.9264253695453672 , std 0.029936772869678722 
2023-04-21 12:08:36,850 INFO pca_explained_8: 0.9405097889677484 , std 0.024802002129297042 
2023-04-21 12:08:36,850 INFO pca_explained_9: 0.951781462607296 , std 0.020766985016949097 
2023-04-21 12:08:36,850 INFO pca_explained_10: 0.9608761672871244 , std 0.01757302295641714 
