2023-04-20 05:23:17,136 INFO Tickers: ['V']
2023-04-20 05:23:43,890 INFO Negative OS: -1.657743675436321 --- ticker V --- day 2018-01-05 --- time 41400
2023-04-20 05:23:45,049 INFO Negative OS: -6.049944462761934 --- ticker V --- day 2018-01-11 --- time 46800
2023-04-20 05:23:46,451 INFO Negative OS: -0.39772194315170584 --- ticker V --- day 2018-01-19 --- time 52200
2023-04-20 05:23:49,621 INFO Negative OS: -0.0557173046256807 --- ticker V --- day 2018-02-06 --- time 37800
2023-04-20 05:23:49,651 INFO Negative OS: -0.010524454173685083 --- ticker V --- day 2018-02-06 --- time 41400
2023-04-20 05:23:49,675 INFO Negative OS: -0.4859769970915613 --- ticker V --- day 2018-02-06 --- time 43200
2023-04-20 05:23:50,420 INFO Negative OS: -0.4585259917213045 --- ticker V --- day 2018-02-09 --- time 36000
2023-04-20 05:24:08,603 INFO Negative OS: -5.7215416091026166 --- ticker V --- day 2018-06-15 --- time 50400
2023-04-20 05:24:26,317 INFO Negative OS: -12.391633204383497 --- ticker V --- day 2018-11-06 --- time 43200
2023-04-20 05:24:31,500 INFO Negative OS: -0.07177083976639653 --- ticker V --- day 2018-12-19 --- time 48600
2023-04-20 05:24:58,455 INFO Negative OS: -1.336169578328012 --- ticker V --- day 2019-07-31 --- time 43200
2023-04-20 05:25:09,049 INFO Negative OS: -1.7975298664479085 --- ticker V --- day 2019-10-23 --- time 48600
2023-04-20 05:25:15,544 INFO in_r2: 0.9156429725407198 , std 0.05756173468954824 
2023-04-20 05:25:15,544 INFO os_r2: 0.891818052529314 , std 0.21497336415143573 
2023-04-20 05:25:15,544 INFO intercept: 6.593541083421311e-08 , std 1.3195091394526792e-05 
2023-04-20 05:25:15,544 INFO pca_1: -4.681575752280765e-06 , std 6.95857303055231e-05 
2023-04-20 05:25:15,544 INFO pca_2: 2.557788280730736e-07 , std 0.00013716474976274346 
2023-04-20 05:25:15,544 INFO pca_3: 1.0368318736523861e-06 , std 8.610512568180228e-05 
2023-04-20 05:25:15,544 INFO pca_4: -5.811573146277532e-07 , std 7.26203175122426e-05 
2023-04-20 05:25:15,544 INFO pca_5: 5.500792630885972e-07 , std 6.125815359861099e-05 
2023-04-20 05:25:15,544 INFO pca_6: -1.4714351484424377e-07 , std 5.313929664509222e-05 
2023-04-20 05:25:15,544 INFO pca_7: -1.5660226450770283e-08 , std 4.877149398067374e-05 
2023-04-20 05:25:15,544 INFO pca_8: -5.773516020515688e-07 , std 4.369411224965653e-05 
2023-04-20 05:25:15,544 INFO pca_9: -2.4505958883896e-07 , std 4.163180731572969e-05 
2023-04-20 05:25:15,544 INFO pca_10: -7.370339136002427e-07 , std 4.402270157571138e-05 
2023-04-20 05:25:15,544 INFO t_intercept: 0.11995700681364649 , std 3.859299558359575 
2023-04-20 05:25:15,544 INFO t_pca_1: -2.1178876569316465 , std 31.31049403400515 
2023-04-20 05:25:15,544 INFO t_pca_2: -0.06327579821926005 , std 36.779930824943236 
2023-04-20 05:25:15,544 INFO t_pca_3: 0.3223486983606211 , std 16.045676772050463 
2023-04-20 05:25:15,544 INFO t_pca_4: -0.009804650637710764 , std 10.725035221123434 
2023-04-20 05:25:15,545 INFO t_pca_5: 0.0823558746452243 , std 7.688287987504377 
2023-04-20 05:25:15,545 INFO t_pca_6: 0.0012842320711332442 , std 5.801640680613115 
2023-04-20 05:25:15,545 INFO t_pca_7: -0.027091970534077563 , std 4.6492042193787055 
2023-04-20 05:25:15,545 INFO t_pca_8: -0.04128788257666248 , std 3.6987690504094437 
2023-04-20 05:25:15,545 INFO t_pca_9: -0.0020414540110706538 , std 3.097339322013109 
2023-04-20 05:25:15,545 INFO t_pca_10: -0.04819697093791425 , std 2.746846875167328 
2023-04-20 05:25:15,545 INFO p_intercept: 0.18759092311110767 , std 0.2819218223474799 
2023-04-20 05:25:15,545 INFO p_pca_1: 0.004716245915885728 , std 0.04975971300885639 
2023-04-20 05:25:15,545 INFO p_pca_2: 0.01416869310732307 , std 0.0910626334985937 
2023-04-20 05:25:15,545 INFO p_pca_3: 0.05324277275634331 , std 0.16978399331245828 
2023-04-20 05:25:15,545 INFO p_pca_4: 0.07988531035799593 , std 0.20306004846253076 
2023-04-20 05:25:15,545 INFO p_pca_5: 0.10058024219106003 , std 0.2204016627651468 
2023-04-20 05:25:15,545 INFO p_pca_6: 0.14553814874394047 , std 0.254261549477875 
2023-04-20 05:25:15,545 INFO p_pca_7: 0.1921256267730543 , std 0.2829434634397318 
2023-04-20 05:25:15,545 INFO p_pca_8: 0.23795357811886397 , std 0.29696372675176497 
2023-04-20 05:25:15,545 INFO p_pca_9: 0.280840084858473 , std 0.3081058761916064 
2023-04-20 05:25:15,545 INFO p_pca_10: 0.31512675600119183 , std 0.31172345858198686 
