2023-04-21 12:04:28,073 INFO Tickers: ['KO']
2023-04-21 12:04:33,207 INFO Negative OS: -2.6091756017945498 --- ticker KO --- day 2017-04-03 --- time 50400
2023-04-21 12:04:33,523 INFO Negative OS: -6.887960726638888 --- ticker KO --- day 2017-04-07 --- time 46800
2023-04-21 12:04:42,691 INFO Negative OS: -0.3432356390404008 --- ticker KO --- day 2017-09-20 --- time 48600
2023-04-21 12:04:47,291 INFO Negative OS: -2.0813423069538572 --- ticker KO --- day 2017-12-13 --- time 46800
2023-04-21 12:04:53,992 INFO Negative OS: -0.014554934106505435 --- ticker KO --- day 2018-04-13 --- time 46800
2023-04-21 12:05:00,681 INFO Negative OS: -0.020242914979757165 --- ticker KO --- day 2018-08-09 --- time 50400
2023-04-21 12:05:28,403 INFO in_r2: 0.968100137945875 , std 0.03146557565962787 
2023-04-21 12:05:28,403 INFO os_r2: 0.9328529130474392 , std 0.131531291127868 
2023-04-21 12:05:28,404 INFO intercept: 9.65042307454753e-09 , std 9.703560419129428e-06 
2023-04-21 12:05:28,404 INFO pca_1: -1.186800541854684e-05 , std 0.00016205803185285534 
2023-04-21 12:05:28,404 INFO pca_2: 2.0079524840775858e-06 , std 0.0001326126065595319 
2023-04-21 12:05:28,404 INFO pca_3: 2.8349830840710974e-06 , std 0.0001444740410936629 
2023-04-21 12:05:28,404 INFO pca_4: 6.9538179850037775e-06 , std 0.00015439974198033915 
2023-04-21 12:05:28,404 INFO pca_5: 3.0666750884553705e-06 , std 0.0001484186923955932 
2023-04-21 12:05:28,404 INFO pca_6: 2.755007172384271e-06 , std 0.0001466728195063482 
2023-04-21 12:05:28,404 INFO pca_7: 1.555775941133192e-06 , std 0.0001418273909997623 
2023-04-21 12:05:28,404 INFO pca_8: 2.5477688242962523e-06 , std 0.00013165947561791377 
2023-04-21 12:05:28,404 INFO pca_9: 1.7266352408802117e-06 , std 0.00013038433049562115 
2023-04-21 12:05:28,404 INFO pca_10: 1.540280743138194e-06 , std 0.00013741363140102816 
2023-04-21 12:05:28,404 INFO t_intercept: 0.006311676667059079 , std 9.902603372142318 
2023-04-21 12:05:28,404 INFO t_pca_1: -8.275335975067927 , std 122.78744543261742 
2023-04-21 12:05:28,404 INFO t_pca_2: 0.029485137372835295 , std 45.83746079803864 
2023-04-21 12:05:28,404 INFO t_pca_3: 0.7546654655895285 , std 33.18758586462826 
2023-04-21 12:05:28,404 INFO t_pca_4: 1.1465736412042504 , std 28.42026158583856 
2023-04-21 12:05:28,404 INFO t_pca_5: 0.4238384207458944 , std 18.31607421034347 
2023-04-21 12:05:28,404 INFO t_pca_6: 0.15839648319023336 , std 14.175771007748146 
2023-04-21 12:05:28,404 INFO t_pca_7: 0.1162211369246391 , std 11.198961087978072 
2023-04-21 12:05:28,404 INFO t_pca_8: 0.1622554714502711 , std 8.683178112751632 
2023-04-21 12:05:28,404 INFO t_pca_9: 0.11863002395870846 , std 7.15247060194719 
2023-04-21 12:05:28,404 INFO t_pca_10: 0.08574941627963305 , std 6.308922133220286 
2023-04-21 12:05:28,404 INFO p_intercept: 0.11943215811002399 , std 0.2593106938908331 
2023-04-21 12:05:28,404 INFO p_pca_1: 0.005310613588813732 , std 0.054558084447169246 
2023-04-21 12:05:28,404 INFO p_pca_2: 0.024497954099800736 , std 0.11866467160285517 
2023-04-21 12:05:28,404 INFO p_pca_3: 0.03668697484783009 , std 0.14339449736028853 
2023-04-21 12:05:28,404 INFO p_pca_4: 0.03911736416060364 , std 0.14676008624880676 
2023-04-21 12:05:28,404 INFO p_pca_5: 0.0490485965585411 , std 0.16354809151047234 
2023-04-21 12:05:28,404 INFO p_pca_6: 0.053453409175965715 , std 0.16832447904458275 
2023-04-21 12:05:28,404 INFO p_pca_7: 0.06263406887501609 , std 0.1797056330372831 
2023-04-21 12:05:28,404 INFO p_pca_8: 0.07566574481581191 , std 0.1920622466546095 
2023-04-21 12:05:28,404 INFO p_pca_9: 0.10081337304260364 , std 0.22169629875880034 
2023-04-21 12:05:28,404 INFO p_pca_10: 0.11622404513431409 , std 0.23623476814246264 
2023-04-21 12:05:28,404 INFO pca_explained_1: 0.5791391085328889 , std 0.1396036070648087 
2023-04-21 12:05:28,404 INFO pca_explained_2: 0.7692703649261777 , std 0.09068047913621909 
2023-04-21 12:05:28,404 INFO pca_explained_3: 0.8498102750546135 , std 0.06493530810288083 
2023-04-21 12:05:28,404 INFO pca_explained_4: 0.8953736931603208 , std 0.05013406873939299 
2023-04-21 12:05:28,404 INFO pca_explained_5: 0.9245184042599257 , std 0.03906439491382185 
2023-04-21 12:05:28,404 INFO pca_explained_6: 0.944345424323903 , std 0.030914612011491427 
2023-04-21 12:05:28,404 INFO pca_explained_7: 0.9583627141922936 , std 0.02487168858989722 
2023-04-21 12:05:28,404 INFO pca_explained_8: 0.968452546671349 , std 0.020297823837071377 
2023-04-21 12:05:28,404 INFO pca_explained_9: 0.9757983449431196 , std 0.016806157642750553 
2023-04-21 12:05:28,404 INFO pca_explained_10: 0.9811739291519723 , std 0.014010062412931195 
