2023-04-20 05:33:10,205 INFO Tickers: ['TJX']
2023-04-20 05:33:32,969 INFO Negative OS: -0.5548718372087098 --- ticker TJX --- day 2018-02-08 --- time 48600
2023-04-20 05:34:06,924 INFO Negative OS: -6.58735247412358 --- ticker TJX --- day 2019-08-20 --- time 46800
2023-04-20 05:34:09,145 INFO Negative OS: -2.3664089418215437 --- ticker TJX --- day 2019-09-26 --- time 36000
2023-04-20 05:34:11,277 INFO Negative OS: -12.639553658849868 --- ticker TJX --- day 2019-10-30 --- time 48600
2023-04-20 05:34:13,965 INFO in_r2: 0.9415035803345242 , std 0.05771588521666963 
2023-04-20 05:34:13,965 INFO os_r2: 0.9239026732832303 , std 0.2186292259599511 
2023-04-20 05:34:13,965 INFO intercept: -1.3468848124276967e-07 , std 1.6447464015266532e-05 
2023-04-20 05:34:13,965 INFO pca_1: 8.232399973474305e-06 , std 0.00016143662889177288 
2023-04-20 05:34:13,965 INFO pca_2: -1.5181306548014302e-05 , std 0.0002110899258324321 
2023-04-20 05:34:13,965 INFO pca_3: -7.497253326628006e-06 , std 0.00017227774775566284 
2023-04-20 05:34:13,965 INFO pca_4: -1.7074573823803546e-06 , std 0.00017336250065211974 
2023-04-20 05:34:13,965 INFO pca_5: -2.6617260262009887e-06 , std 0.0001420968269690822 
2023-04-20 05:34:13,965 INFO pca_6: -3.1449474957221745e-06 , std 9.708311106136012e-05 
2023-04-20 05:34:13,965 INFO pca_7: -7.230514207193226e-07 , std 8.030200223723308e-05 
2023-04-20 05:34:13,965 INFO pca_8: -1.3919868356812412e-06 , std 7.53001754393472e-05 
2023-04-20 05:34:13,965 INFO pca_9: -3.004322141573697e-07 , std 7.079033948170854e-05 
2023-04-20 05:34:13,965 INFO pca_10: -3.700505345903088e-07 , std 6.969097205685228e-05 
2023-04-20 05:34:13,965 INFO t_intercept: 0.03517529910868192 , std 7.405713891848377 
2023-04-20 05:34:13,965 INFO t_pca_1: 1.1115842624025263 , std 87.58786294198228 
2023-04-20 05:34:13,965 INFO t_pca_2: -2.130522574102183 , std 45.339753647660714 
2023-04-20 05:34:13,965 INFO t_pca_3: -1.1232038485187066 , std 29.861536807980965 
2023-04-20 05:34:13,965 INFO t_pca_4: 0.20329083733739173 , std 25.419055014797593 
2023-04-20 05:34:13,965 INFO t_pca_5: -0.11701145391266671 , std 16.166103889165484 
2023-04-20 05:34:13,965 INFO t_pca_6: -0.24893578687454565 , std 7.789672894291126 
2023-04-20 05:34:13,965 INFO t_pca_7: -0.05509506079687405 , std 5.461189575580359 
2023-04-20 05:34:13,965 INFO t_pca_8: -0.057622422359349314 , std 4.46726706609634 
2023-04-20 05:34:13,965 INFO t_pca_9: -0.019928757119639574 , std 3.6389869734688203 
2023-04-20 05:34:13,965 INFO t_pca_10: -0.020907742843881753 , std 3.1650501964478632 
2023-04-20 05:34:13,965 INFO p_intercept: 0.14450432742534525 , std 0.2588340683549542 
2023-04-20 05:34:13,966 INFO p_pca_1: 0.0018083680247835835 , std 0.03393108650259468 
2023-04-20 05:34:13,966 INFO p_pca_2: 0.011168781845627506 , std 0.08196470375543105 
2023-04-20 05:34:13,966 INFO p_pca_3: 0.036784089403985996 , std 0.142801676262455 
2023-04-20 05:34:13,966 INFO p_pca_4: 0.0534557218769064 , std 0.1694777408917274 
2023-04-20 05:34:13,966 INFO p_pca_5: 0.07908039446578191 , std 0.20325777213594404 
2023-04-20 05:34:13,966 INFO p_pca_6: 0.126734698810341 , std 0.24277520148793683 
2023-04-20 05:34:13,966 INFO p_pca_7: 0.17333227840269905 , std 0.26992672534845624 
2023-04-20 05:34:13,966 INFO p_pca_8: 0.20914088815057738 , std 0.28807058962153753 
2023-04-20 05:34:13,966 INFO p_pca_9: 0.24297542325382046 , std 0.2992607691218177 
2023-04-20 05:34:13,966 INFO p_pca_10: 0.2611824347641928 , std 0.3033505542519882 
