2023-04-21 12:05:47,465 INFO Tickers: ['PM']
2023-04-21 12:05:58,662 INFO Negative OS: -0.12852855824960763 --- ticker PM --- day 2017-07-28 --- time 37800
2023-04-21 12:06:05,537 INFO Negative OS: -1.4611630807343818 --- ticker PM --- day 2017-11-30 --- time 46800
2023-04-21 12:06:08,272 INFO Negative OS: -2.623069161069182 --- ticker PM --- day 2018-01-23 --- time 50400
2023-04-21 12:06:09,216 INFO Negative OS: -4.44584110508997 --- ticker PM --- day 2018-02-08 --- time 36000
2023-04-21 12:06:09,248 INFO Negative OS: -1.1286956519968308 --- ticker PM --- day 2018-02-08 --- time 46800
2023-04-21 12:06:09,253 INFO Negative OS: -0.010412613877390786 --- ticker PM --- day 2018-02-08 --- time 48600
2023-04-21 12:06:09,545 INFO Negative OS: -0.00952234443257427 --- ticker PM --- day 2018-02-14 --- time 36000
2023-04-21 12:06:09,589 INFO Negative OS: -1.0146718423493555 --- ticker PM --- day 2018-02-14 --- time 50400
2023-04-21 12:06:13,808 INFO Negative OS: -0.06162431387285627 --- ticker PM --- day 2018-05-01 --- time 46800
2023-04-21 12:06:19,068 INFO Negative OS: -0.27924422416823313 --- ticker PM --- day 2018-08-03 --- time 36000
2023-04-21 12:06:24,450 INFO Negative OS: -1.6323686176966024 --- ticker PM --- day 2018-11-06 --- time 41400
2023-04-21 12:06:26,833 INFO Negative OS: -1.2664986448469087 --- ticker PM --- day 2018-12-19 --- time 48600
2023-04-21 12:06:40,792 INFO Negative OS: -88.45797351633772 --- ticker PM --- day 2019-08-28 --- time 41400
2023-04-21 12:06:46,800 INFO in_r2: 0.8961654664874078 , std 0.06006070410174679 
2023-04-21 12:06:46,800 INFO os_r2: 0.856657069115623 , std 1.1039139451344275 
2023-04-21 12:06:46,800 INFO intercept: -1.673108132978638e-08 , std 1.6567754555779582e-05 
2023-04-21 12:06:46,800 INFO pca_1: 1.8619905663580239e-06 , std 0.00010627346062927697 
2023-04-21 12:06:46,800 INFO pca_2: 3.889994468578428e-06 , std 0.00020241064096108977 
2023-04-21 12:06:46,800 INFO pca_3: -2.20727480069876e-06 , std 0.0001242363018225126 
2023-04-21 12:06:46,800 INFO pca_4: -2.4938407190781034e-06 , std 9.622710488751629e-05 
2023-04-21 12:06:46,800 INFO pca_5: -1.217088521008159e-06 , std 7.918507518006823e-05 
2023-04-21 12:06:46,800 INFO pca_6: -1.1388778350216082e-06 , std 6.837292363423113e-05 
2023-04-21 12:06:46,800 INFO pca_7: -2.9951989471354623e-07 , std 6.328058498904237e-05 
2023-04-21 12:06:46,800 INFO pca_8: 7.966578883165277e-07 , std 5.365926937462812e-05 
2023-04-21 12:06:46,800 INFO pca_9: 4.1511670892220124e-07 , std 5.511590874755344e-05 
2023-04-21 12:06:46,800 INFO pca_10: -8.352408460056546e-08 , std 5.4151380375240695e-05 
2023-04-21 12:06:46,800 INFO t_intercept: 0.022337478881110828 , std 3.409371900655363 
2023-04-21 12:06:46,800 INFO t_pca_1: -0.07109335897653006 , std 30.16186862809463 
2023-04-21 12:06:46,800 INFO t_pca_2: 0.8287733810663422 , std 30.617238135483532 
2023-04-21 12:06:46,800 INFO t_pca_3: -0.19186214611048255 , std 14.404270199706747 
2023-04-21 12:06:46,800 INFO t_pca_4: -0.18928062208448243 , std 9.025717915934099 
2023-04-21 12:06:46,800 INFO t_pca_5: -0.06874910415290571 , std 6.130453194944847 
2023-04-21 12:06:46,800 INFO t_pca_6: -0.02502587766743013 , std 4.4163467365206905 
2023-04-21 12:06:46,800 INFO t_pca_7: -0.004002106345523918 , std 3.531554269656183 
2023-04-21 12:06:46,800 INFO t_pca_8: 0.040338898868357266 , std 2.677019372325795 
2023-04-21 12:06:46,800 INFO t_pca_9: 0.028302586091506318 , std 2.3321851274922167 
2023-04-21 12:06:46,800 INFO t_pca_10: 0.007560561040138723 , std 2.025446579045481 
2023-04-21 12:06:46,800 INFO p_intercept: 0.2151093411785252 , std 0.28941120685134936 
2023-04-21 12:06:46,800 INFO p_pca_1: 0.004974714475476159 , std 0.05292134103506389 
2023-04-21 12:06:46,800 INFO p_pca_2: 0.009163572555946967 , std 0.07400906696394373 
2023-04-21 12:06:46,800 INFO p_pca_3: 0.059510785272121496 , std 0.17684312241335023 
2023-04-21 12:06:46,800 INFO p_pca_4: 0.09800244954483452 , std 0.21727124359074063 
2023-04-21 12:06:46,800 INFO p_pca_5: 0.1432948222658529 , std 0.2521277224070036 
2023-04-21 12:06:46,800 INFO p_pca_6: 0.2002162047615008 , std 0.2861677333062528 
2023-04-21 12:06:46,800 INFO p_pca_7: 0.24296729783620002 , std 0.296928062140733 
2023-04-21 12:06:46,800 INFO p_pca_8: 0.2920793410775132 , std 0.3064394307918129 
2023-04-21 12:06:46,800 INFO p_pca_9: 0.31247141999040623 , std 0.31073109479914685 
2023-04-21 12:06:46,800 INFO p_pca_10: 0.3328603622283614 , std 0.3127285515397125 
2023-04-21 12:06:46,800 INFO pca_explained_1: 0.5604782770356939 , std 0.10172783072616642 
2023-04-21 12:06:46,800 INFO pca_explained_2: 0.7059049472428144 , std 0.08080799639662158 
2023-04-21 12:06:46,800 INFO pca_explained_3: 0.7828523847294108 , std 0.06626125920654448 
2023-04-21 12:06:46,800 INFO pca_explained_4: 0.8327339426844795 , std 0.05503962953419013 
2023-04-21 12:06:46,801 INFO pca_explained_5: 0.867129944910057 , std 0.0455415215046336 
2023-04-21 12:06:46,801 INFO pca_explained_6: 0.8926987270075993 , std 0.037850807438411675 
2023-04-21 12:06:46,801 INFO pca_explained_7: 0.9125022618545777 , std 0.03169949261967475 
2023-04-21 12:06:46,801 INFO pca_explained_8: 0.9283052151963659 , std 0.02672905390435668 
2023-04-21 12:06:46,801 INFO pca_explained_9: 0.9411207959044415 , std 0.02271353018829523 
2023-04-21 12:06:46,801 INFO pca_explained_10: 0.9516245905069411 , std 0.019424361095803113 
