2023-04-21 12:03:45,531 INFO Tickers: ['CVX']
2023-04-21 12:04:06,132 INFO Negative OS: -1.072651135546459 --- ticker CVX --- day 2018-01-02 --- time 39600
2023-04-21 12:04:46,327 INFO Negative OS: -3.018941812005216 --- ticker CVX --- day 2019-12-13 --- time 45000
2023-04-21 12:04:46,382 INFO in_r2: 0.9162851665257757 , std 0.044586927822929785 
2023-04-21 12:04:46,382 INFO os_r2: 0.9002497454414946 , std 0.07818982896840586 
2023-04-21 12:04:46,382 INFO intercept: -3.9210334788937415e-07 , std 1.4192463613330257e-05 
2023-04-21 12:04:46,382 INFO pca_1: -3.3744222392174454e-06 , std 7.420690635364922e-05 
2023-04-21 12:04:46,382 INFO pca_2: -1.4127430285249907e-06 , std 0.00016077450182838272 
2023-04-21 12:04:46,382 INFO pca_3: 2.037137925114135e-06 , std 9.009108980607545e-05 
2023-04-21 12:04:46,382 INFO pca_4: -1.724590786627206e-07 , std 6.905816612399225e-05 
2023-04-21 12:04:46,382 INFO pca_5: -1.0001144913896933e-06 , std 5.694880284020254e-05 
2023-04-21 12:04:46,382 INFO pca_6: 3.3267844719289954e-07 , std 4.75135137496686e-05 
2023-04-21 12:04:46,382 INFO pca_7: -2.1261741825397156e-07 , std 4.2318800911376354e-05 
2023-04-21 12:04:46,382 INFO pca_8: -3.0135721687036813e-07 , std 3.935748836163995e-05 
2023-04-21 12:04:46,382 INFO pca_9: -4.775626742599661e-07 , std 3.707025558057551e-05 
2023-04-21 12:04:46,382 INFO pca_10: 6.698671229060593e-08 , std 3.6812576833453445e-05 
2023-04-21 12:04:46,382 INFO t_intercept: -0.08422086287593812 , std 3.7340503170688337 
2023-04-21 12:04:46,382 INFO t_pca_1: -1.5091798081478847 , std 30.944040007417488 
2023-04-21 12:04:46,382 INFO t_pca_2: -0.22653271214494888 , std 35.844886401342855 
2023-04-21 12:04:46,382 INFO t_pca_3: 0.2738839871177914 , std 14.082890575371946 
2023-04-21 12:04:46,382 INFO t_pca_4: 0.03354261109109529 , std 8.734534061337563 
2023-04-21 12:04:46,382 INFO t_pca_5: -0.0962468934475126 , std 6.136722210635039 
2023-04-21 12:04:46,382 INFO t_pca_6: 0.026274286999812584 , std 4.392988843822481 
2023-04-21 12:04:46,382 INFO t_pca_7: 0.001570473314791201 , std 3.3653033915788075 
2023-04-21 12:04:46,382 INFO t_pca_8: -0.020834724728202282 , std 2.7848017992041414 
2023-04-21 12:04:46,382 INFO t_pca_9: -0.0015272842597403042 , std 2.248578139487099 
2023-04-21 12:04:46,382 INFO t_pca_10: -0.0002520471997484837 , std 1.963664460028577 
2023-04-21 12:04:46,382 INFO p_intercept: 0.18206059760598733 , std 0.27786999521288447 
2023-04-21 12:04:46,382 INFO p_pca_1: 0.0023686680244344198 , std 0.039267570464595024 
2023-04-21 12:04:46,382 INFO p_pca_2: 0.009413495393099611 , std 0.0744135375154484 
2023-04-21 12:04:46,382 INFO p_pca_3: 0.05923089215407098 , std 0.17561405618669426 
2023-04-21 12:04:46,382 INFO p_pca_4: 0.09299198567689268 , std 0.21434811590134503 
2023-04-21 12:04:46,382 INFO p_pca_5: 0.1505160580818647 , std 0.25751975440298147 
2023-04-21 12:04:46,382 INFO p_pca_6: 0.20805735639292214 , std 0.2873850927371912 
2023-04-21 12:04:46,382 INFO p_pca_7: 0.26176599597535116 , std 0.3046567401081041 
2023-04-21 12:04:46,382 INFO p_pca_8: 0.30062095107063863 , std 0.31184557845877603 
2023-04-21 12:04:46,382 INFO p_pca_9: 0.3385923679144701 , std 0.316421263375727 
2023-04-21 12:04:46,382 INFO p_pca_10: 0.361685727412883 , std 0.3132057522894596 
2023-04-21 12:04:46,382 INFO pca_explained_1: 0.5968211280031379 , std 0.09598301561238298 
2023-04-21 12:04:46,383 INFO pca_explained_2: 0.7409962463777522 , std 0.08144958336902235 
2023-04-21 12:04:46,383 INFO pca_explained_3: 0.8118745092984989 , std 0.06737151940109086 
2023-04-21 12:04:46,383 INFO pca_explained_4: 0.8571512359955951 , std 0.05544093873761791 
2023-04-21 12:04:46,383 INFO pca_explained_5: 0.8878526067366926 , std 0.04516171782334771 
2023-04-21 12:04:46,383 INFO pca_explained_6: 0.9106428653647423 , std 0.036818172685724335 
2023-04-21 12:04:46,383 INFO pca_explained_7: 0.9282534588520717 , std 0.030149249229970858 
2023-04-21 12:04:46,383 INFO pca_explained_8: 0.942265999110772 , std 0.02480940801879991 
2023-04-21 12:04:46,383 INFO pca_explained_9: 0.9535080630306295 , std 0.020599268053510596 
2023-04-21 12:04:46,383 INFO pca_explained_10: 0.9625551713871865 , std 0.017286995682273952 
