2023-04-26 11:52:08,761 INFO Experiment: neigh_price_impact
2023-04-26 11:52:08,764 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-26 11:54:08,650 INFO Negative OS: -0.4744954983629406 --- ticker GOOG, GOOGL, ADP, INTU, CSCO --- day 2017-01-19 --- time 36000
2023-04-26 11:54:12,101 INFO Negative OS: -0.010539449122909605 --- ticker GOOGL, CSCO, ADP, ORCL, WMT --- day 2017-01-19 --- time 45000
2023-04-26 11:54:18,386 INFO Negative OS: -0.0489374828703204 --- ticker GOOG, GOOGL, HD, ADP, LOW --- day 2017-01-20 --- time 36000
2023-04-26 11:54:30,996 INFO Negative OS: -0.14955161302135567 --- ticker AMZN, AAPL, MRK, FB, COST --- day 2017-01-23 --- time 43200
2023-04-26 11:54:31,218 INFO Negative OS: -0.0837547261486058 --- ticker IBM, ACN, PYPL, CSCO, LLY --- day 2017-01-23 --- time 43200
2023-04-26 11:54:34,656 INFO Negative OS: -4.301627567593641 --- ticker PYPL, AMZN, INTU, PFE, MO --- day 2017-01-23 --- time 52200
2023-04-26 11:54:38,696 INFO Negative OS: -0.387365009867614 --- ticker AMZN, SBUX, ORCL, ACN, ADP --- day 2017-01-24 --- time 37800
2023-04-26 11:54:38,718 INFO Negative OS: -0.1794968867887261 --- ticker GOOG, SBUX, ORCL, ADP, ACN --- day 2017-01-24 --- time 37800
2023-04-26 11:54:47,874 INFO Negative OS: -0.6005101130621437 --- ticker GOOGL, GOOG, LOW, HD, DIS --- day 2017-01-25 --- time 36000
2023-04-26 11:54:48,607 INFO Negative OS: -0.026019434672083896 --- ticker AMZN, LOW, DHR, ORCL, DIS --- day 2017-01-25 --- time 37800
2023-04-26 11:54:48,633 INFO Negative OS: -0.2605622298832151 --- ticker GOOGL, PEP, KO, CSCO, AAPL --- day 2017-01-25 --- time 37800
2023-04-26 11:54:49,369 INFO Negative OS: -0.010387330604912703 --- ticker GOOG, GOOGL, AAPL, ORCL, MDLZ --- day 2017-01-25 --- time 39600
2023-04-26 11:54:49,375 INFO Negative OS: -0.3111784063696108 --- ticker GOOGL, GOOG, AAPL, ORCL, PEP --- day 2017-01-25 --- time 39600
2023-04-26 11:54:52,881 INFO Negative OS: -0.007654747487477076 --- ticker AMZN, MO, PG, KO, XOM --- day 2017-01-25 --- time 48600
2023-04-26 11:54:52,903 INFO Negative OS: -0.6943089887995137 --- ticker GOOG, PYPL, WMT, CMCSA, MSFT --- day 2017-01-25 --- time 48600
2023-04-26 11:54:53,828 INFO Negative OS: -0.2122426354143605 --- ticker AVGO, TGT, INTC, TXN, GILD --- day 2017-01-25 --- time 50400
2023-04-26 11:54:58,698 INFO Negative OS: -0.033997783895249434 --- ticker AMZN, CSCO, AAPL, FIS, BDX --- day 2017-01-26 --- time 37800
2023-04-26 11:55:00,933 INFO Negative OS: -0.3553335690105446 --- ticker GOOGL, FB, DIS, SBUX, GOOG --- day 2017-01-26 --- time 43200
2023-04-26 11:55:01,592 INFO Negative OS: -0.450015989564464 --- ticker GOOGL, KO, PEP, WMT, CSCO --- day 2017-01-26 --- time 45000
2023-04-26 11:55:02,264 INFO Negative OS: -0.37688767958496494 --- ticker GOOGL, GOOG, ADP, V, XOM --- day 2017-01-26 --- time 46800
2023-04-26 11:55:04,295 INFO Negative OS: -0.1254838201576156 --- ticker GOOG, FISV, KO, ADP, PYPL --- day 2017-01-26 --- time 52200
2023-04-26 11:55:04,301 INFO Negative OS: -0.2056242604820664 --- ticker GOOGL, HON, MDLZ, GE, ADP --- day 2017-01-26 --- time 52200
2023-04-26 11:55:10,696 INFO Negative OS: -0.1945683152815032 --- ticker AMZN, V, AAPL, PNC, TXN --- day 2017-01-27 --- time 43200
