2023-04-20 05:14:33,607 INFO Tickers: ['JNJ']
2023-04-20 05:15:03,327 INFO Negative OS: -0.0994758752165188 --- ticker JNJ --- day 2017-02-27 --- time 52200
2023-04-20 05:17:36,014 INFO Negative OS: -0.2969942450804166 --- ticker JNJ --- day 2018-01-11 --- time 52200
2023-04-20 05:17:43,827 INFO Negative OS: -0.5784285601701502 --- ticker JNJ --- day 2018-01-29 --- time 50400
2023-04-20 05:18:35,822 INFO Negative OS: -2.5462071713197982 --- ticker JNJ --- day 2018-04-02 --- time 36000
2023-04-20 05:21:23,576 INFO Negative OS: -0.1642704076507162 --- ticker JNJ --- day 2018-12-19 --- time 48600
2023-04-20 05:23:18,476 INFO Negative OS: -0.04173269443949512 --- ticker JNJ --- day 2019-05-24 --- time 43200
2023-04-20 05:25:24,924 INFO t_ofi_cancel_2: 1.6454177177098637 , std 1.209790588863281 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_3: 1.192493025015069 , std 0.9513128072050429 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_4: 1.0562672780561149 , std 0.925747974814983 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_5: 0.8650986849550705 , std 0.8542743920847813 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_6: 0.7489240837490846 , std 0.8190218830012109 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_7: 0.5453346407043664 , std 0.732010155698443 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_8: 0.48749633956598887 , std 0.7124066048249711 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_9: 0.4429506854737575 , std 0.707940831437688 
2023-04-20 05:25:24,924 INFO t_ofi_cancel_10: 0.533352090117297 , std 0.7978827104942308 
2023-04-20 05:25:24,924 INFO t_ofi_trade_1: 0.3604470682024468 , std 0.754166874023261 
2023-04-20 05:25:24,924 INFO t_ofi_trade_2: 0.664146049043885 , std 0.8459786059429221 
2023-04-20 05:25:24,924 INFO t_ofi_trade_3: 0.7126442020425481 , std 0.8262218228197098 
2023-04-20 05:25:24,924 INFO t_ofi_trade_4: 0.7996335126724405 , std 0.8445723418978459 
