2023-04-20 06:23:18,178 INFO Tickers: ['TXN']
2023-04-20 06:26:54,181 INFO Negative OS: -2.2176203853360708 --- ticker TXN --- day 2018-01-23 --- time 36000
2023-04-20 06:27:06,164 INFO Negative OS: -0.11427091460921202 --- ticker TXN --- day 2018-01-30 --- time 48600
2023-04-20 06:27:28,853 INFO Negative OS: -0.1495952997457084 --- ticker TXN --- day 2018-02-21 --- time 48600
2023-04-20 06:32:37,914 INFO Negative OS: -2.9611550790771854 --- ticker TXN --- day 2019-04-16 --- time 45000
2023-04-20 06:33:23,439 INFO Negative OS: -0.006742912135011325 --- ticker TXN --- day 2019-06-03 --- time 52200
2023-04-20 06:33:50,529 INFO Negative OS: -0.17915690244575044 --- ticker TXN --- day 2019-07-15 --- time 50400
2023-04-20 06:35:30,144 INFO Negative OS: -1.7124621977579615 --- ticker TXN --- day 2019-12-05 --- time 52200
2023-04-20 06:35:36,056 INFO t_ofi_cancel_8: 0.8150945915425747 , std 0.8860432131451368 
2023-04-20 06:35:36,056 INFO t_ofi_cancel_9: 0.7738922891163849 , std 0.8740623056503426 
2023-04-20 06:35:36,056 INFO t_ofi_cancel_10: 1.0195273159319393 , std 1.066813164001008 
2023-04-20 06:35:36,056 INFO t_ofi_trade_1: 0.5263506862845171 , std 0.8964773056937339 
2023-04-20 06:35:36,056 INFO t_ofi_trade_2: 0.7299211130542497 , std 0.9172787021095911 
2023-04-20 06:35:36,056 INFO t_ofi_trade_3: 0.8371272578967136 , std 0.9089006956870807 
2023-04-20 06:35:36,056 INFO t_ofi_trade_4: 0.8608080316589998 , std 0.9399511847528835 
2023-04-20 06:35:36,056 INFO t_ofi_trade_5: 0.8153030564974577 , std 0.9096877115742583 
2023-04-20 06:35:36,056 INFO t_ofi_trade_6: 0.7909238329409539 , std 0.888413691468477 
2023-04-20 06:35:36,056 INFO t_ofi_trade_7: 0.7990571112916227 , std 0.908078856851174 
2023-04-20 06:35:36,056 INFO t_ofi_trade_8: 0.8242834797625134 , std 0.8831714163179267 
2023-04-20 06:35:36,056 INFO t_ofi_trade_9: 0.7658141226222666 , std 0.8572792122226192 
2023-04-20 06:35:36,056 INFO t_ofi_trade_10: 0.9390188079854744 , std 0.9854709885513454 
2023-04-20 06:35:36,056 INFO p_intercept: 0.5193176112562371 , std 0.2837845583474307 
2023-04-20 06:35:36,056 INFO p_ofi_add_1: 0.3692589762191522 , std 0.3680815737001648 
2023-04-20 06:35:36,056 INFO p_ofi_add_2: 0.3046517191992038 , std 0.33314563618632714 
2023-04-20 06:35:36,056 INFO p_ofi_add_3: 0.32532013111367736 , std 0.3367028523990829 
2023-04-20 06:35:36,056 INFO p_ofi_add_4: 0.3669521587031983 , std 0.34287801186885153 
2023-04-20 06:35:36,056 INFO p_ofi_add_5: 0.41087290589110503 , std 0.3490546818936145 
2023-04-20 06:35:36,056 INFO p_ofi_add_6: 0.42525944075132915 , std 0.3475651457036414 
2023-04-20 06:35:36,056 INFO p_ofi_add_7: 0.4537034490165867 , std 0.3537215741817325 
2023-04-20 06:35:36,056 INFO p_ofi_add_8: 0.4724501663237956 , std 0.35324181883650063 
2023-04-20 06:35:36,056 INFO p_ofi_add_9: 0.5095297390263058 , std 0.35479248579349965 
2023-04-20 06:35:36,056 INFO p_ofi_add_10: 0.4328801327035148 , std 0.3688790498316813 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_1: 0.44367326861373835 , std 0.3955102832890064 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_2: 0.3064986127827561 , std 0.35043617800226984 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_3: 0.3555090148009842 , std 0.3516644942872706 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_4: 0.406768829296855 , std 0.35917356083778623 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_5: 0.45223270159115386 , std 0.3592939028463462 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_6: 0.48985011923224936 , std 0.3657496028125673 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_7: 0.543007887895939 , std 0.3642188571287437 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_8: 0.544231821201339 , std 0.3678118980618772 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_9: 0.5591416840374788 , std 0.3640092546639712 
2023-04-20 06:35:36,056 INFO p_ofi_cancel_10: 0.48577372546656433 , std 0.38599010704959125 
2023-04-20 06:35:36,056 INFO p_ofi_trade_1: 0.7014367504579956 , std 0.37845562480064454 
2023-04-20 06:35:36,056 INFO p_ofi_trade_2: 0.6011333645112816 , std 0.3860199161147642 
2023-04-20 06:35:36,056 INFO p_ofi_trade_3: 0.5384238502073364 , std 0.37898152418765946 
2023-04-20 06:35:36,056 INFO p_ofi_trade_4: 0.525046620670714 , std 0.3754168384220355 
2023-04-20 06:35:36,056 INFO p_ofi_trade_5: 0.5455831801755372 , std 0.3734646781180638 
2023-04-20 06:35:36,056 INFO p_ofi_trade_6: 0.5509134342570977 , std 0.3709172594322274 
2023-04-20 06:35:36,056 INFO p_ofi_trade_7: 0.5553560696595433 , std 0.3728166502213018 
2023-04-20 06:35:36,056 INFO p_ofi_trade_8: 0.5431325018979316 , std 0.37376229364121105 
2023-04-20 06:35:36,056 INFO p_ofi_trade_9: 0.5667987851657016 , std 0.36936817680517425 
2023-04-20 06:35:36,056 INFO p_ofi_trade_10: 0.5110653625976971 , std 0.3855501284224252 
