2023-04-20 06:59:47,846 INFO Tickers: ['SO']
2023-04-20 07:07:55,871 INFO in_r2: 0.9913359629607273 , std 0.010600562689191361 
2023-04-20 07:07:55,872 INFO os_r2: 0.9795150620584693 , std 0.03348471038000712 
2023-04-20 07:07:55,872 INFO intercept: 4.8714343812676803e-08 , std 1.953076414330267e-06 
2023-04-20 07:07:55,872 INFO ofi_add_1: 3.3005284459794485e-05 , std 2.8900670789842767e-05 
2023-04-20 07:07:55,872 INFO ofi_add_2: 8.11100348211664e-05 , std 4.29206789629384e-05 
2023-04-20 07:07:55,872 INFO ofi_add_3: 0.00010102677090290151 , std 4.778681440883016e-05 
2023-04-20 07:07:55,872 INFO ofi_add_4: 0.00012205864670139348 , std 5.5508109222343393e-05 
2023-04-20 07:07:55,872 INFO ofi_add_5: 0.00011988116761904508 , std 5.855515079058847e-05 
2023-04-20 07:07:55,872 INFO ofi_add_6: 0.00012106834447822599 , std 6.0029430485168445e-05 
2023-04-20 07:07:55,872 INFO ofi_add_7: 0.00010975307726747461 , std 6.15777948853391e-05 
2023-04-20 07:07:55,872 INFO ofi_add_8: 8.572961380175316e-05 , std 6.328760159244545e-05 
2023-04-20 07:07:55,872 INFO ofi_add_9: 7.248372231029354e-05 , std 6.077341816423235e-05 
2023-04-20 07:07:55,872 INFO ofi_add_10: 5.657132007772446e-05 , std 5.8368840323685955e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_1: 1.8469010406393994e-05 , std 2.6661140254257197e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_2: 5.861842875177792e-05 , std 4.4295151365544524e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_3: 9.813456923189324e-05 , std 5.169946509892136e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_4: 0.00012524722230757053 , std 6.258146145736146e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_5: 0.00012812024271039308 , std 6.981409024456203e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_6: 0.0001296368826373907 , std 7.003759800836579e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_7: 0.00010361504889683683 , std 6.875186497091055e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_8: 8.57301418297467e-05 , std 7.430353055074645e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_9: 6.816068030543702e-05 , std 6.976136020625695e-05 
2023-04-20 07:07:55,872 INFO ofi_cancel_10: 4.5245076825429554e-05 , std 6.105870246233478e-05 
2023-04-20 07:07:55,872 INFO ofi_trade_1: 1.705901393431573e-05 , std 4.571425938313168e-05 
2023-04-20 07:07:55,872 INFO ofi_trade_2: 8.992356770596985e-05 , std 6.429302638122681e-05 
2023-04-20 07:07:55,872 INFO ofi_trade_3: 0.00011362848536604692 , std 7.029093495798033e-05 
2023-04-20 07:07:55,872 INFO ofi_trade_4: 0.00012533079929155045 , std 7.459960743838194e-05 
2023-04-20 07:07:55,872 INFO ofi_trade_5: 0.0001221504877215875 , std 7.633752797137178e-05 
