2023-04-20 05:39:05,966 INFO Tickers: ['WFC']
2023-04-20 05:49:09,150 INFO t_ofi_trade_7: 2.1307137312337012 , std 1.980598816108708 
2023-04-20 05:49:09,150 INFO t_ofi_trade_8: 1.6965207531943665 , std 1.9002498652738353 
2023-04-20 05:49:09,150 INFO t_ofi_trade_9: 1.428383362582462 , std 1.8587253258107161 
2023-04-20 05:49:09,150 INFO t_ofi_trade_10: 1.310482175558742 , std 2.081091826180315 
2023-04-20 05:49:09,150 INFO p_intercept: 0.46196009129504584 , std 0.29872595598134233 
2023-04-20 05:49:09,150 INFO p_ofi_add_1: 0.15862264840415324 , std 0.25095379159486664 
2023-04-20 05:49:09,150 INFO p_ofi_add_2: 0.0453282506124927 , std 0.14923599770031937 
2023-04-20 05:49:09,150 INFO p_ofi_add_3: 0.057586795712906855 , std 0.17256983473319648 
2023-04-20 05:49:09,150 INFO p_ofi_add_4: 0.10897863128487238 , std 0.23717507068930896 
2023-04-20 05:49:09,150 INFO p_ofi_add_5: 0.06905373266372154 , std 0.1962580279211728 
2023-04-20 05:49:09,150 INFO p_ofi_add_6: 0.07730456003299227 , std 0.2036916394090204 
2023-04-20 05:49:09,150 INFO p_ofi_add_7: 0.1844648053860528 , std 0.3096280201534373 
2023-04-20 05:49:09,150 INFO p_ofi_add_8: 0.28365596998672893 , std 0.3702327350186817 
2023-04-20 05:49:09,151 INFO p_ofi_add_9: 0.41139670367868375 , std 0.41397431687450126 
2023-04-20 05:49:09,151 INFO p_ofi_add_10: 0.46371300929344467 , std 0.41731820372059797 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_1: 0.4255899853365806 , std 0.4029992421025905 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_2: 0.12283596511257906 , std 0.26383941192958144 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_3: 0.07970449055263391 , std 0.20449514263355392 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_4: 0.12373556273535742 , std 0.24989579451943006 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_5: 0.1180605756355053 , std 0.25397183472615237 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_6: 0.13456856380444865 , std 0.2756375059880296 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_7: 0.27304433919407295 , std 0.3740891057438655 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_8: 0.3724177961109728 , std 0.40939862151709866 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_9: 0.47464234518258835 , std 0.4290541024419526 
2023-04-20 05:49:09,151 INFO p_ofi_cancel_10: 0.6451932643858787 , std 0.42558654540080004 
2023-04-20 05:49:09,151 INFO p_ofi_trade_1: 0.8723551935033014 , std 0.28433225995506145 
2023-04-20 05:49:09,151 INFO p_ofi_trade_2: 0.12721132765412893 , std 0.26992295721579634 
2023-04-20 05:49:09,151 INFO p_ofi_trade_3: 0.10269756484787768 , std 0.23755727040308006 
2023-04-20 05:49:09,151 INFO p_ofi_trade_4: 0.17225042910400037 , std 0.3044147318642706 
2023-04-20 05:49:09,151 INFO p_ofi_trade_5: 0.10784843130842867 , std 0.2484141789563577 
2023-04-20 05:49:09,151 INFO p_ofi_trade_6: 0.1576688203911909 , std 0.29811687574485435 
2023-04-20 05:49:09,151 INFO p_ofi_trade_7: 0.30873607337929093 , std 0.3906465035249206 
2023-04-20 05:49:09,151 INFO p_ofi_trade_8: 0.4117295982320657 , std 0.4202847571655386 
2023-04-20 05:49:09,151 INFO p_ofi_trade_9: 0.5009854287904628 , std 0.4320753193736121 
2023-04-20 05:49:09,151 INFO p_ofi_trade_10: 0.5822282673913834 , std 0.4340753201078531 
