2023-04-20 06:46:34,468 INFO Tickers: ['GS']
2023-04-20 06:46:39,201 INFO Negative OS: -0.12151002347601159 --- ticker GS --- day 2017-01-13 --- time 41400
2023-04-20 06:46:39,940 INFO Negative OS: -0.002148930976723973 --- ticker GS --- day 2017-01-17 --- time 50400
2023-04-20 06:47:41,583 INFO Negative OS: -3.038919193218388 --- ticker GS --- day 2017-12-12 --- time 48600
2023-04-20 06:47:46,610 INFO Negative OS: -6.583773178067011 --- ticker GS --- day 2018-01-19 --- time 50400
2023-04-20 06:47:55,135 INFO Negative OS: -0.7761294790600335 --- ticker GS --- day 2018-02-05 --- time 45000
2023-04-20 06:48:20,444 INFO Negative OS: -1.2204684558092214 --- ticker GS --- day 2018-03-23 --- time 50400
2023-04-20 06:48:30,156 INFO Negative OS: -0.05031620253821445 --- ticker GS --- day 2018-04-02 --- time 45000
2023-04-20 06:48:31,854 INFO Negative OS: -1.0059596580946653 --- ticker GS --- day 2018-04-02 --- time 50400
2023-04-20 06:50:36,458 INFO Negative OS: -2.525481011513273 --- ticker GS --- day 2018-11-06 --- time 52200
2023-04-20 06:51:46,844 INFO Negative OS: -0.7433765348227357 --- ticker GS --- day 2019-02-04 --- time 52200
2023-04-20 06:52:55,102 INFO Negative OS: -0.1490859055363125 --- ticker GS --- day 2019-05-22 --- time 43200
2023-04-20 06:53:14,395 INFO Negative OS: -0.20646897109941031 --- ticker GS --- day 2019-07-01 --- time 50400
2023-04-20 06:54:47,818 INFO t_ofi_add_5: 0.7170708026688514 , std 0.7257570682507999 
2023-04-20 06:54:47,818 INFO t_ofi_add_6: 0.5848734800557358 , std 0.6470742463340006 
2023-04-20 06:54:47,818 INFO t_ofi_add_7: 0.5224995268918544 , std 0.6299075616967772 
2023-04-20 06:54:47,818 INFO t_ofi_add_8: 0.47535871655721157 , std 0.5876264581626494 
2023-04-20 06:54:47,818 INFO t_ofi_add_9: 0.4603168064511476 , std 0.5832812087436434 
2023-04-20 06:54:47,818 INFO t_ofi_add_10: 0.647715953946723 , std 0.75805530836118 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_1: 1.590351993779279 , std 1.1998464918959404 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_2: 1.8169981068223806 , std 1.090540848766717 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_3: 1.2931862876119897 , std 0.9412716590688419 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_4: 0.8739045399703428 , std 0.8151689450286426 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_5: 0.6676215890557056 , std 0.7180157133493215 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_6: 0.5229924249911545 , std 0.6344231043279472 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_7: 0.4479465325256567 , std 0.6244870239725706 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_8: 0.36978712058818247 , std 0.5653826941150739 
2023-04-20 06:54:47,818 INFO t_ofi_cancel_9: 0.3544868013249587 , std 0.5566224118606407 
