2023-04-20 06:56:11,622 INFO Tickers: ['D']
2023-04-20 06:57:24,544 INFO Negative OS: -1.127793522682448 --- ticker D --- day 2017-05-25 --- time 46800
2023-04-20 06:58:42,661 INFO Negative OS: -1.4170825196145596 --- ticker D --- day 2018-02-21 --- time 37800
2023-04-20 06:59:11,490 INFO Negative OS: -0.010144694468079418 --- ticker D --- day 2018-04-18 --- time 52200
2023-04-20 07:00:31,371 INFO Negative OS: -0.11178116142159555 --- ticker D --- day 2018-10-04 --- time 36000
2023-04-20 07:01:22,613 INFO Negative OS: -0.6943510516635802 --- ticker D --- day 2018-12-19 --- time 48600
2023-04-20 07:03:34,521 INFO Negative OS: -6.373706506956342 --- ticker D --- day 2019-09-03 --- time 50400
2023-04-20 07:04:15,666 INFO t_ofi_cancel_2: 1.9064902254019014 , std 1.289877951607795 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_3: 1.5790085713127264 , std 1.1531268379730366 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_4: 1.4338789725900505 , std 1.1480331102509866 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_5: 1.2745362705397847 , std 1.080795967100559 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_6: 1.0629324380088883 , std 1.0005796954966355 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_7: 0.8452271690775899 , std 0.9257444984009402 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_8: 0.7009426056586995 , std 0.8621555927139513 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_9: 0.6170022156389632 , std 0.8459713773978771 
2023-04-20 07:04:15,666 INFO t_ofi_cancel_10: 0.6621126286685061 , std 0.9229626102350729 
2023-04-20 07:04:15,666 INFO t_ofi_trade_1: 0.2660832440237022 , std 0.6889417436476237 
2023-04-20 07:04:15,666 INFO t_ofi_trade_2: 0.8331413656881576 , std 0.9848511311889439 
2023-04-20 07:04:15,666 INFO t_ofi_trade_3: 0.8541094442930791 , std 0.9565674343378943 
2023-04-20 07:04:15,666 INFO t_ofi_trade_4: 0.8876356430750234 , std 0.9492239275027613 
2023-04-20 07:04:15,666 INFO t_ofi_trade_5: 0.8585376161034441 , std 0.9158767836662809 
2023-04-20 07:04:15,666 INFO t_ofi_trade_6: 0.7295138169181317 , std 0.8561000982112493 
2023-04-20 07:04:15,666 INFO t_ofi_trade_7: 0.6221918254699786 , std 0.8123478617651897 
2023-04-20 07:04:15,666 INFO t_ofi_trade_8: 0.5766784629564978 , std 0.7873812225848453 
2023-04-20 07:04:15,666 INFO t_ofi_trade_9: 0.5196978059852899 , std 0.7727002799464604 
2023-04-20 07:04:15,666 INFO t_ofi_trade_10: 0.5526975169809838 , std 0.8278084751584216 
2023-04-20 07:04:15,666 INFO p_intercept: 0.534925461666332 , std 0.27567047991644267 
2023-04-20 07:04:15,666 INFO p_ofi_add_1: 0.3673114439859628 , std 0.3627521470348366 
2023-04-20 07:04:15,666 INFO p_ofi_add_2: 0.20647945645938034 , std 0.29153985320052966 
2023-04-20 07:04:15,666 INFO p_ofi_add_3: 0.2511818985428808 , std 0.30562764645073115 
2023-04-20 07:04:15,667 INFO p_ofi_add_4: 0.28788114505264467 , std 0.3278084107860335 
2023-04-20 07:04:15,667 INFO p_ofi_add_5: 0.3429474725266469 , std 0.34661182180930467 
2023-04-20 07:04:15,667 INFO p_ofi_add_6: 0.3924498471787708 , std 0.3541510825689368 
2023-04-20 07:04:15,667 INFO p_ofi_add_7: 0.4540616075123226 , std 0.35992187699935485 
2023-04-20 07:04:15,667 INFO p_ofi_add_8: 0.5494728019956132 , std 0.36389381884104627 
2023-04-20 07:04:15,667 INFO p_ofi_add_9: 0.5965382629536242 , std 0.3627091622497029 
2023-04-20 07:04:15,667 INFO p_ofi_add_10: 0.584933115610871 , std 0.37105592156879835 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_1: 0.5001618819957652 , std 0.3927459379486818 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_2: 0.23483730706962155 , std 0.3163010170910202 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_3: 0.29556359683186173 , std 0.3360484088590384 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_4: 0.3385735893983413 , std 0.35123198326516014 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_5: 0.38405047247575214 , std 0.36261912719398226 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_6: 0.45097624120773794 , std 0.3707018309759558 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_7: 0.5371668428004406 , std 0.3747882237933705 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_8: 0.5951679045110522 , std 0.3663837521105441 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_9: 0.6358502485883035 , std 0.36133094003391153 
2023-04-20 07:04:15,667 INFO p_ofi_cancel_10: 0.6291024781049195 , std 0.3718163444598476 
2023-04-20 07:04:15,667 INFO p_ofi_trade_1: 0.8245399853617237 , std 0.3156712511032576 
2023-04-20 07:04:15,667 INFO p_ofi_trade_2: 0.567121675144856 , std 0.3985197143698898 
2023-04-20 07:04:15,667 INFO p_ofi_trade_3: 0.5426725523694046 , std 0.3846877727368902 
2023-04-20 07:04:15,667 INFO p_ofi_trade_4: 0.5249566464403829 , std 0.38219773858922995 
2023-04-20 07:04:15,667 INFO p_ofi_trade_5: 0.5348938225918058 , std 0.37962465071330354 
2023-04-20 07:04:15,667 INFO p_ofi_trade_6: 0.5864602687667612 , std 0.3750617603209033 
2023-04-20 07:04:15,667 INFO p_ofi_trade_7: 0.6430859409888616 , std 0.3684085031265204 
2023-04-20 07:04:15,667 INFO p_ofi_trade_8: 0.6657640155399479 , std 0.3654576678850105 
2023-04-20 07:04:15,667 INFO p_ofi_trade_9: 0.6905520637227608 , std 0.3582031357523497 
2023-04-20 07:04:15,667 INFO p_ofi_trade_10: 0.6878269795093738 , std 0.36678197914131716 
