2023-04-20 06:27:23,203 INFO Tickers: ['QCOM']
2023-04-20 06:28:20,256 INFO Negative OS: -1.7330415586100063 --- ticker QCOM --- day 2017-04-25 --- time 50400
2023-04-20 06:30:01,734 INFO Negative OS: -1.4519698275779809 --- ticker QCOM --- day 2017-11-22 --- time 52200
2023-04-20 06:30:30,238 INFO Negative OS: -2.5659366233179246 --- ticker QCOM --- day 2018-02-01 --- time 37800
2023-04-20 06:30:45,194 INFO Negative OS: -22.828679796513185 --- ticker QCOM --- day 2018-02-20 --- time 52200
2023-04-20 06:32:19,781 INFO Negative OS: -2.461420226287939 --- ticker QCOM --- day 2018-08-02 --- time 45000
2023-04-20 06:32:33,883 INFO Negative OS: -1.0482731968338421 --- ticker QCOM --- day 2018-08-27 --- time 46800
2023-04-20 06:34:14,471 INFO Negative OS: -2.3204011880491326 --- ticker QCOM --- day 2019-02-05 --- time 50400
2023-04-20 06:34:52,259 INFO Negative OS: -1.1431201542711946 --- ticker QCOM --- day 2019-04-16 --- time 52200
2023-04-20 06:37:13,349 INFO Negative OS: -0.3558503666631585 --- ticker QCOM --- day 2019-11-07 --- time 52200
2023-04-20 06:37:29,464 INFO Negative OS: -0.7002780758403269 --- ticker QCOM --- day 2019-12-06 --- time 43200
2023-04-20 06:37:34,933 INFO t_ofi_add_7: 2.528977668580246 , std 2.1986300801368097 
2023-04-20 06:37:34,933 INFO t_ofi_add_8: 2.224299724874232 , std 2.0938561083137173 
2023-04-20 06:37:34,933 INFO t_ofi_add_9: 2.1027256162102343 , std 2.0729695770226293 
2023-04-20 06:37:34,933 INFO t_ofi_add_10: 2.3332479798561927 , std 2.3283179117989548 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_1: 0.8711589676391727 , std 1.160895121147068 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_2: 1.930876334626481 , std 1.6330181506376762 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_3: 2.333744023294639 , std 1.74388541304923 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_4: 2.4820227793415226 , std 1.7596231908256246 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_5: 2.4034324599068126 , std 1.8326918458359451 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_6: 2.359617805582569 , std 1.8590524455254993 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_7: 1.8643703208097875 , std 1.7211388572011082 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_8: 1.75147032157778 , std 1.6888224725465038 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_9: 1.6358763260746472 , std 1.659627985596255 
2023-04-20 06:37:34,933 INFO t_ofi_cancel_10: 1.7851497287482745 , std 1.9270262448550546 
2023-04-20 06:37:34,933 INFO t_ofi_trade_1: 0.41115150061578754 , std 0.9452862638100324 
2023-04-20 06:37:34,933 INFO t_ofi_trade_2: 2.0451921871441905 , std 1.8923691291356375 
2023-04-20 06:37:34,933 INFO t_ofi_trade_3: 2.4196134728266103 , std 2.0932451748237155 
2023-04-20 06:37:34,933 INFO t_ofi_trade_4: 2.446772391853062 , std 2.0679537213914108 
2023-04-20 06:37:34,933 INFO t_ofi_trade_5: 2.491288021883501 , std 2.1889049446347273 
2023-04-20 06:37:34,933 INFO t_ofi_trade_6: 2.3986454188486674 , std 2.1966385652626585 
2023-04-20 06:37:34,933 INFO t_ofi_trade_7: 2.0261002955191523 , std 2.0633382934076105 
2023-04-20 06:37:34,933 INFO t_ofi_trade_8: 1.8971021543980806 , std 2.0463485082609862 
2023-04-20 06:37:34,933 INFO t_ofi_trade_9: 1.791726876360585 , std 1.9689584639952444 
2023-04-20 06:37:34,933 INFO t_ofi_trade_10: 2.137385612831064 , std 2.3251071810423225 
2023-04-20 06:37:34,933 INFO p_intercept: 0.47057108768741046 , std 0.29532704014251393 
2023-04-20 06:37:34,933 INFO p_ofi_add_1: 0.29341460941890796 , std 0.3313258349041223 
2023-04-20 06:37:34,933 INFO p_ofi_add_2: 0.17859122152577173 , std 0.2800437920686299 
2023-04-20 06:37:34,933 INFO p_ofi_add_3: 0.16132482017876748 , std 0.27515411486608377 
2023-04-20 06:37:34,934 INFO p_ofi_add_4: 0.15093475572285184 , std 0.26814082586372207 
2023-04-20 06:37:34,934 INFO p_ofi_add_5: 0.15661712421088575 , std 0.27124096261931224 
2023-04-20 06:37:34,934 INFO p_ofi_add_6: 0.16503231198343468 , std 0.2815368684298791 
2023-04-20 06:37:34,934 INFO p_ofi_add_7: 0.2153754161773998 , std 0.31712031697663684 
2023-04-20 06:37:34,934 INFO p_ofi_add_8: 0.2671087070652443 , std 0.34890675734933746 
2023-04-20 06:37:34,934 INFO p_ofi_add_9: 0.29639655517472613 , std 0.36292551271194395 
2023-04-20 06:37:34,934 INFO p_ofi_add_10: 0.29531862151529875 , std 0.37514772631592247 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_1: 0.5472366024600187 , std 0.39095086170305277 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_2: 0.2903508557697711 , std 0.36176838373066783 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_3: 0.21281555460500426 , std 0.3167480260839225 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_4: 0.18452325324072638 , std 0.2968787384676829 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_5: 0.21153633265929725 , std 0.31831381984314294 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_6: 0.2224855425982788 , std 0.3266523082473087 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_7: 0.32035884120411096 , std 0.37858550427329596 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_8: 0.34955100282978074 , std 0.38790126461632696 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_9: 0.3812486988210996 , std 0.4002378156861624 
2023-04-20 06:37:34,934 INFO p_ofi_cancel_10: 0.40063811092385343 , std 0.42239305207206956 
2023-04-20 06:37:34,934 INFO p_ofi_trade_1: 0.7460358182208612 , std 0.36252609530517005 
2023-04-20 06:37:34,934 INFO p_ofi_trade_2: 0.30213252772665194 , std 0.3700731484296328 
2023-04-20 06:37:34,934 INFO p_ofi_trade_3: 0.2367636644549173 , std 0.33906318027477167 
2023-04-20 06:37:34,934 INFO p_ofi_trade_4: 0.2241766128240102 , std 0.3306813308483902 
2023-04-20 06:37:34,934 INFO p_ofi_trade_5: 0.22815716849470932 , std 0.33383883898762545 
2023-04-20 06:37:34,934 INFO p_ofi_trade_6: 0.2439811590473678 , std 0.3425042968611617 
2023-04-20 06:37:34,934 INFO p_ofi_trade_7: 0.31199857949259324 , std 0.3769190109280579 
2023-04-20 06:37:34,934 INFO p_ofi_trade_8: 0.34206266889596726 , std 0.3888271420711134 
2023-04-20 06:37:34,934 INFO p_ofi_trade_9: 0.3714656459405257 , std 0.3994472453759059 
2023-04-20 06:37:34,934 INFO p_ofi_trade_10: 0.35345316367161406 , std 0.4116443137930115 
