2023-04-20 06:46:05,758 INFO Tickers: ['ANTM']
2023-04-20 06:46:08,275 INFO Negative OS: -0.5584224426132096 --- ticker ANTM --- day 2017-02-01 --- time 50400
2023-04-20 06:46:21,276 INFO Negative OS: -0.38953907833486956 --- ticker ANTM --- day 2017-09-12 --- time 36000
2023-04-20 06:46:45,569 INFO Negative OS: -1.3489922177999838 --- ticker ANTM --- day 2018-02-12 --- time 37800
2023-04-20 06:47:01,255 INFO Negative OS: -0.057065331296519695 --- ticker ANTM --- day 2018-10-11 --- time 36000
2023-04-20 06:47:02,530 INFO Negative OS: -2.249435209656927 --- ticker ANTM --- day 2018-10-11 --- time 43200
2023-04-20 06:47:06,608 INFO Negative OS: -0.4331885997555194 --- ticker ANTM --- day 2018-10-17 --- time 37800
2023-04-20 06:47:08,541 INFO Negative OS: -0.1731689500082656 --- ticker ANTM --- day 2018-10-18 --- time 46800
2023-04-20 06:47:10,890 INFO Negative OS: -0.014600511307454767 --- ticker ANTM --- day 2018-10-23 --- time 37800
2023-04-20 06:47:16,446 INFO Negative OS: -3.1723015025426085 --- ticker ANTM --- day 2018-10-24 --- time 52200
2023-04-20 06:47:18,632 INFO Negative OS: -0.5838404165665463 --- ticker ANTM --- day 2018-10-26 --- time 41400
2023-04-20 06:47:22,592 INFO Negative OS: -0.012343470127864853 --- ticker ANTM --- day 2018-10-29 --- time 46800
2023-04-20 06:47:22,954 INFO Negative OS: -0.14088010310543542 --- ticker ANTM --- day 2018-10-29 --- time 48600
2023-04-20 06:47:23,318 INFO Negative OS: -0.33094375414636334 --- ticker ANTM --- day 2018-10-29 --- time 50400
2023-04-20 06:47:25,218 INFO Negative OS: -0.0053164911417182825 --- ticker ANTM --- day 2018-10-30 --- time 52200
2023-04-20 06:47:32,108 INFO Negative OS: -0.14563813122128466 --- ticker ANTM --- day 2018-11-16 --- time 46800
2023-04-20 06:47:34,324 INFO Negative OS: -0.4158482271480861 --- ticker ANTM --- day 2018-11-27 --- time 48600
2023-04-20 06:47:34,515 INFO Negative OS: -0.45936661249401967 --- ticker ANTM --- day 2018-11-27 --- time 52200
2023-04-20 06:47:45,432 INFO Negative OS: -1.1353240482268423 --- ticker ANTM --- day 2018-12-06 --- time 39600
2023-04-20 06:47:49,881 INFO Negative OS: -0.15484418793142996 --- ticker ANTM --- day 2018-12-06 --- time 52200
2023-04-20 06:47:50,504 INFO Negative OS: -1.0004104722939462 --- ticker ANTM --- day 2018-12-07 --- time 41400
2023-04-20 06:47:51,172 INFO Negative OS: -0.5070896473419422 --- ticker ANTM --- day 2018-12-07 --- time 50400
2023-04-20 06:47:57,513 INFO Negative OS: -0.15767439605500733 --- ticker ANTM --- day 2018-12-18 --- time 52200
2023-04-20 06:47:59,774 INFO Negative OS: -3.4073312461278418 --- ticker ANTM --- day 2018-12-19 --- time 52200
2023-04-20 06:48:00,131 INFO Negative OS: -0.061851622414097696 --- ticker ANTM --- day 2018-12-20 --- time 45000
2023-04-20 06:48:00,376 INFO Negative OS: -0.03775729598031807 --- ticker ANTM --- day 2018-12-20 --- time 46800
2023-04-20 06:48:07,111 INFO Negative OS: -0.24547545404463977 --- ticker ANTM --- day 2019-01-04 --- time 52200
2023-04-20 06:48:07,708 INFO Negative OS: -0.30057382961541923 --- ticker ANTM --- day 2019-01-07 --- time 43200
2023-04-20 06:48:08,415 INFO Negative OS: -0.4386664481739446 --- ticker ANTM --- day 2019-01-08 --- time 39600
2023-04-20 06:48:16,805 INFO Negative OS: -1.2221003833295359 --- ticker ANTM --- day 2019-01-31 --- time 41400
2023-04-20 06:48:18,677 INFO Negative OS: -0.2791664397767353 --- ticker ANTM --- day 2019-02-05 --- time 41400
2023-04-20 06:48:18,986 INFO Negative OS: -0.5900526649053146 --- ticker ANTM --- day 2019-02-07 --- time 37800
2023-04-20 06:48:38,930 INFO Negative OS: -2.758079855782481 --- ticker ANTM --- day 2019-05-07 --- time 50400
2023-04-20 06:48:42,923 INFO Negative OS: -0.007255578949715957 --- ticker ANTM --- day 2019-05-10 --- time 39600
2023-04-20 06:48:46,686 INFO Negative OS: -35.331058452057924 --- ticker ANTM --- day 2019-05-31 --- time 52200
2023-04-20 06:48:53,994 INFO Negative OS: -0.4925522132237503 --- ticker ANTM --- day 2019-07-01 --- time 36000
2023-04-20 06:48:56,434 INFO Negative OS: -0.3048594935837279 --- ticker ANTM --- day 2019-07-25 --- time 36000
2023-04-20 06:49:04,863 INFO Negative OS: -0.015520312968158922 --- ticker ANTM --- day 2019-08-05 --- time 39600
2023-04-20 06:49:15,235 INFO Negative OS: -0.7165044122227524 --- ticker ANTM --- day 2019-08-23 --- time 39600
2023-04-20 06:49:16,639 INFO Negative OS: -0.1302085688775887 --- ticker ANTM --- day 2019-09-04 --- time 36000
2023-04-20 06:49:16,857 INFO Negative OS: -6.627952035902628 --- ticker ANTM --- day 2019-09-05 --- time 36000
2023-04-20 06:49:18,967 INFO Negative OS: -0.6366642180185822 --- ticker ANTM --- day 2019-10-03 --- time 36000
2023-04-20 06:49:21,299 INFO Negative OS: -16.867505469044765 --- ticker ANTM --- day 2019-10-23 --- time 39600
2023-04-20 06:49:25,762 INFO Negative OS: -7.144431783244297 --- ticker ANTM --- day 2019-11-15 --- time 52200
2023-04-20 06:49:28,226 INFO t_ofi_cancel_7: 0.3396048568164718 , std 0.6419690656685164 
2023-04-20 06:49:28,226 INFO t_ofi_cancel_8: 0.2630346546775874 , std 0.6462064366619688 
2023-04-20 06:49:28,226 INFO t_ofi_cancel_9: 0.3396310556656336 , std 0.7030493259866287 
2023-04-20 06:49:28,226 INFO t_ofi_cancel_10: 0.4300981334271266 , std 0.7999534124889511 
2023-04-20 06:49:28,226 INFO t_ofi_trade_1: 1.1443199452020372 , std 1.243537412196228 
2023-04-20 06:49:28,226 INFO t_ofi_trade_2: 0.4487918728769896 , std 0.7635899181562807 
2023-04-20 06:49:28,226 INFO t_ofi_trade_3: 0.3890653646954967 , std 0.7027456289901637 
2023-04-20 06:49:28,226 INFO t_ofi_trade_4: 0.37268023706043446 , std 0.6568871831609189 
2023-04-20 06:49:28,226 INFO t_ofi_trade_5: 0.32056292239527445 , std 0.6232885633383337 
2023-04-20 06:49:28,226 INFO t_ofi_trade_6: 0.3546320547865982 , std 0.6414543483444757 
2023-04-20 06:49:28,226 INFO t_ofi_trade_7: 0.3334383972516792 , std 0.638637200365361 
2023-04-20 06:49:28,226 INFO t_ofi_trade_8: 0.384587282973943 , std 0.697974062347327 
2023-04-20 06:49:28,226 INFO t_ofi_trade_9: 0.4081063829397313 , std 0.7743842914843329 
2023-04-20 06:49:28,226 INFO t_ofi_trade_10: 0.6217341153111823 , std 0.934277065372623 
2023-04-20 06:49:28,226 INFO p_intercept: 0.4826891187368993 , std 0.30168972361231317 
2023-04-20 06:49:28,226 INFO p_ofi_add_1: 0.21176926167669885 , std 0.3155123586266909 
2023-04-20 06:49:28,226 INFO p_ofi_add_2: 0.29807600795229644 , std 0.3337753825642847 
2023-04-20 06:49:28,226 INFO p_ofi_add_3: 0.41133589839695234 , std 0.36948700149717234 
2023-04-20 06:49:28,226 INFO p_ofi_add_4: 0.5545884069863813 , std 0.3700490883871409 
2023-04-20 06:49:28,226 INFO p_ofi_add_5: 0.6558048215569425 , std 0.3438639940066593 
2023-04-20 06:49:28,226 INFO p_ofi_add_6: 0.6967021212277178 , std 0.31839379474017576 
2023-04-20 06:49:28,226 INFO p_ofi_add_7: 0.7087208305984533 , std 0.3224142196624998 
2023-04-20 06:49:28,226 INFO p_ofi_add_8: 0.7323075497649074 , std 0.30592068622458457 
2023-04-20 06:49:28,226 INFO p_ofi_add_9: 0.7284966824729399 , std 0.3159673180696035 
2023-04-20 06:49:28,226 INFO p_ofi_add_10: 0.7079047456789893 , std 0.32925423548063026 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_1: 0.2693319419958435 , std 0.3551877317318673 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_2: 0.3008170875315369 , std 0.35225971568344217 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_3: 0.4585009703207987 , std 0.3938383779920513 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_4: 0.6159114915026048 , std 0.3662364788976379 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_5: 0.6999370154402126 , std 0.3390999567392163 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_6: 0.7586945777037808 , std 0.3155345815886769 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_7: 0.744649497602023 , std 0.3102246623972335 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_8: 0.7689985704207014 , std 0.30092404146426616 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_9: 0.7489893129632225 , std 0.3059919791900894 
2023-04-20 06:49:28,226 INFO p_ofi_cancel_10: 0.6855809742715414 , std 0.3463557124228434 
2023-04-20 06:49:28,226 INFO p_ofi_trade_1: 0.4815938866641645 , std 0.410950207022619 
2023-04-20 06:49:28,226 INFO p_ofi_trade_2: 0.7161399654565971 , std 0.353145367658655 
2023-04-20 06:49:28,227 INFO p_ofi_trade_3: 0.740361743624718 , std 0.3365013424526027 
2023-04-20 06:49:28,227 INFO p_ofi_trade_4: 0.7644287626996256 , std 0.3264075733304892 
2023-04-20 06:49:28,227 INFO p_ofi_trade_5: 0.7830016883613691 , std 0.3170166391859646 
2023-04-20 06:49:28,227 INFO p_ofi_trade_6: 0.7642690413159209 , std 0.3291497321504311 
2023-04-20 06:49:28,227 INFO p_ofi_trade_7: 0.7761784136296553 , std 0.31946319648264726 
2023-04-20 06:49:28,227 INFO p_ofi_trade_8: 0.751912198398727 , std 0.338453235538297 
2023-04-20 06:49:28,227 INFO p_ofi_trade_9: 0.7467885470961884 , std 0.3415531469761108 
2023-04-20 06:49:28,227 INFO p_ofi_trade_10: 0.6467290090304897 , std 0.3855125289594702 
