2023-04-20 06:03:33,215 INFO Tickers: ['PM']
2023-04-20 06:05:14,008 INFO Negative OS: -0.12654824733679337 --- ticker PM --- day 2017-07-28 --- time 37800
2023-04-20 06:06:12,138 INFO Negative OS: -0.11536178556594967 --- ticker PM --- day 2017-11-30 --- time 41400
2023-04-20 06:06:12,371 INFO Negative OS: -0.11787200993102087 --- ticker PM --- day 2017-11-30 --- time 46800
2023-04-20 06:06:29,134 INFO Negative OS: -0.660592431902377 --- ticker PM --- day 2018-01-17 --- time 50400
2023-04-20 06:06:49,581 INFO Negative OS: -1.7528225774105048 --- ticker PM --- day 2018-02-08 --- time 46800
2023-04-20 06:07:00,136 INFO Negative OS: -1.5195544468275224 --- ticker PM --- day 2018-02-14 --- time 50400
2023-04-20 06:08:18,216 INFO Negative OS: -2.853332014378908 --- ticker PM --- day 2018-08-03 --- time 36000
2023-04-20 06:09:03,636 INFO Negative OS: -0.5239368807507234 --- ticker PM --- day 2018-11-06 --- time 41400
2023-04-20 06:09:07,431 INFO Negative OS: -0.8972893805891835 --- ticker PM --- day 2018-11-06 --- time 43200
2023-04-20 06:09:53,043 INFO Negative OS: -0.3543196449788706 --- ticker PM --- day 2019-02-07 --- time 43200
2023-04-20 06:11:15,719 INFO Negative OS: -0.5713142166861138 --- ticker PM --- day 2019-07-24 --- time 43200
2023-04-20 06:11:21,595 INFO Negative OS: -0.001330451888031492 --- ticker PM --- day 2019-07-24 --- time 45000
2023-04-20 06:11:55,073 INFO Negative OS: -4.142378971767304 --- ticker PM --- day 2019-09-06 --- time 41400
2023-04-20 06:12:41,087 INFO t_ofi_add_4: 1.3533361908660562 , std 1.035381174725272 
2023-04-20 06:12:41,087 INFO t_ofi_add_5: 1.0590093908784477 , std 0.9633058493835333 
2023-04-20 06:12:41,087 INFO t_ofi_add_6: 0.9920350772548455 , std 0.9501899787199936 
2023-04-20 06:12:41,087 INFO t_ofi_add_7: 0.7666827448321859 , std 0.8278935891768597 
2023-04-20 06:12:41,087 INFO t_ofi_add_8: 0.6432579018332067 , std 0.7916838294056787 
2023-04-20 06:12:41,087 INFO t_ofi_add_9: 0.5051044263454376 , std 0.7238018156058553 
2023-04-20 06:12:41,087 INFO t_ofi_add_10: 0.5541242670289356 , std 0.8574011927891757 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_1: 1.5303386681411293 , std 1.3128711213679145 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_2: 2.1904681812582436 , std 1.2331779178171656 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_3: 1.4108356401230717 , std 1.0405317790585318 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_4: 1.180016087574058 , std 0.9947684382583553 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_5: 0.8983137012648469 , std 0.9241031379506471 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_6: 0.792312663371743 , std 0.9066273789588344 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_7: 0.5890854638941448 , std 0.7966502576266019 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_8: 0.4858444353890145 , std 0.7428723157350947 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_9: 0.40787321588665826 , std 0.6895777255152157 
2023-04-20 06:12:41,088 INFO t_ofi_cancel_10: 0.5005421571750116 , std 0.8239358719457 
2023-04-20 06:12:41,088 INFO t_ofi_trade_1: 0.47151954493748066 , std 0.8452883975356198 
2023-04-20 06:12:41,088 INFO t_ofi_trade_2: 0.8716298715674503 , std 0.9615332405871823 
2023-04-20 06:12:41,088 INFO t_ofi_trade_3: 0.7915620358501999 , std 0.9072192605496111 
2023-04-20 06:12:41,088 INFO t_ofi_trade_4: 0.8289495634312033 , std 0.8765584454630962 
2023-04-20 06:12:41,088 INFO t_ofi_trade_5: 0.7352552800387262 , std 0.8648865761564408 
2023-04-20 06:12:41,088 INFO t_ofi_trade_6: 0.6765602917317536 , std 0.8426962066630943 
2023-04-20 06:12:41,088 INFO t_ofi_trade_7: 0.5409467209299179 , std 0.7572217805603577 
2023-04-20 06:12:41,088 INFO t_ofi_trade_8: 0.5344750820364276 , std 0.7489350531965161 
2023-04-20 06:12:41,088 INFO t_ofi_trade_9: 0.5159939800401614 , std 0.7572274850263602 
2023-04-20 06:12:41,088 INFO t_ofi_trade_10: 0.5601411342066573 , std 0.8484982868890437 
2023-04-20 06:12:41,088 INFO p_intercept: 0.5295081663610995 , std 0.2796650926807917 
2023-04-20 06:12:41,088 INFO p_ofi_add_1: 0.23865027990167043 , std 0.32029793332626527 
2023-04-20 06:12:41,088 INFO p_ofi_add_2: 0.15898941219927246 , std 0.2565900955073468 
2023-04-20 06:12:41,088 INFO p_ofi_add_3: 0.28072824308501393 , std 0.32099214584657876 
2023-04-20 06:12:41,088 INFO p_ofi_add_4: 0.3419309587149815 , std 0.337827993008311 
