2023-04-20 06:25:55,190 INFO Tickers: ['SBUX']
2023-04-20 06:28:46,438 INFO Negative OS: -1.7374534882191188 --- ticker SBUX --- day 2017-12-28 --- time 52200
2023-04-20 06:30:46,585 INFO Negative OS: -0.11200707136224586 --- ticker SBUX --- day 2018-08-24 --- time 52200
2023-04-20 06:30:51,707 INFO Negative OS: -0.024806986457410085 --- ticker SBUX --- day 2018-08-29 --- time 46800
2023-04-20 06:31:11,490 INFO Negative OS: -0.10092777883149107 --- ticker SBUX --- day 2018-10-09 --- time 45000
2023-04-20 06:31:23,374 INFO Negative OS: -1.265177600325035 --- ticker SBUX --- day 2018-10-29 --- time 45000
2023-04-20 06:32:37,571 INFO Negative OS: -0.45815113041801636 --- ticker SBUX --- day 2019-03-14 --- time 41400
2023-04-20 06:33:53,536 INFO Negative OS: -0.3660333769033999 --- ticker SBUX --- day 2019-08-05 --- time 46800
2023-04-20 06:34:18,257 INFO Negative OS: -0.00025237402245137375 --- ticker SBUX --- day 2019-08-20 --- time 48600
2023-04-20 06:35:26,342 INFO t_ofi_add_10: 2.3904728367818726 , std 2.401180439684116 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_1: 0.8240398408053776 , std 1.1804507891094493 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_2: 1.7590803719537411 , std 1.6542140238476335 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_3: 2.2008988008684205 , std 1.6972360019065025 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_4: 2.12717984860249 , std 1.6390687699818822 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_5: 2.2566563221607954 , std 1.8126010051537884 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_6: 2.3025754807308876 , std 1.8724600530709885 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_7: 1.8907367171113576 , std 1.678667780974996 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_8: 1.844425542533305 , std 1.7320723154665463 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_9: 1.763609804387412 , std 1.7563069155225361 
2023-04-20 06:35:26,342 INFO t_ofi_cancel_10: 1.6304025891863185 , std 1.8701012049895909 
