2023-04-20 05:53:35,003 INFO Tickers: ['MDT']
2023-04-20 05:56:07,937 INFO Negative OS: -0.07803150503329692 --- ticker MDT --- day 2017-11-28 --- time 36000
2023-04-20 05:56:38,973 INFO Negative OS: -0.028994086140172515 --- ticker MDT --- day 2018-02-06 --- time 46800
2023-04-20 05:56:55,879 INFO Negative OS: -0.2353267262639145 --- ticker MDT --- day 2018-03-08 --- time 43200
2023-04-20 06:01:07,650 INFO Negative OS: -0.6338575130198538 --- ticker MDT --- day 2019-08-06 --- time 43200
2023-04-20 06:01:21,447 INFO Negative OS: -6.724022854746456 --- ticker MDT --- day 2019-08-26 --- time 39600
2023-04-20 06:01:28,171 INFO Negative OS: -3.2577143510232105 --- ticker MDT --- day 2019-08-28 --- time 48600
2023-04-20 06:01:32,945 INFO Negative OS: -8.215590108758763 --- ticker MDT --- day 2019-09-03 --- time 50400
2023-04-20 06:02:08,087 INFO Negative OS: -9.230951727855512 --- ticker MDT --- day 2019-12-02 --- time 46800
2023-04-20 06:02:17,870 INFO t_ofi_add_10: 0.7055084657373777 , std 0.9246639327916041 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_1: 1.1294261891142665 , std 1.2873110342389473 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_2: 1.9043909941851065 , std 1.2958743020082497 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_3: 1.5447821368035208 , std 1.1409789903997796 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_4: 1.3249854882197507 , std 1.0980335845128588 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_5: 1.1076596250397626 , std 1.0542002324980582 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_6: 0.9508286873130962 , std 0.9967685893895147 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_7: 0.8109796278026722 , std 0.9667446072600592 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_8: 0.6503457819315676 , std 0.8590241319934163 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_9: 0.563658059523955 , std 0.8188516571830297 
2023-04-20 06:02:17,870 INFO t_ofi_cancel_10: 0.619523463093151 , std 0.9043868410324664 
2023-04-20 06:02:17,870 INFO t_ofi_trade_1: 0.4007865896019393 , std 0.8474242490350913 
2023-04-20 06:02:17,870 INFO t_ofi_trade_2: 0.8207445880602808 , std 0.969543892327393 
2023-04-20 06:02:17,870 INFO t_ofi_trade_3: 0.8634477413331196 , std 0.9540800860656665 
2023-04-20 06:02:17,870 INFO t_ofi_trade_4: 0.8807772669383729 , std 0.9498151300520334 
2023-04-20 06:02:17,870 INFO t_ofi_trade_5: 0.8279159937780349 , std 0.9106132481752011 
2023-04-20 06:02:17,870 INFO t_ofi_trade_6: 0.7398246179047625 , std 0.87367565612615 
2023-04-20 06:02:17,870 INFO t_ofi_trade_7: 0.7097705729609504 , std 0.8824837736382852 
2023-04-20 06:02:17,870 INFO t_ofi_trade_8: 0.6021747286549679 , std 0.7957417999298978 
2023-04-20 06:02:17,870 INFO t_ofi_trade_9: 0.5493102360873128 , std 0.768707282253213 
2023-04-20 06:02:17,870 INFO t_ofi_trade_10: 0.5683503347392976 , std 0.8155683036325178 
2023-04-20 06:02:17,870 INFO p_intercept: 0.5225780988342348 , std 0.2836239851508499 
2023-04-20 06:02:17,870 INFO p_ofi_add_1: 0.3199511499316237 , std 0.3555072097476583 
2023-04-20 06:02:17,870 INFO p_ofi_add_2: 0.23513178742825516 , std 0.3163726480058022 
2023-04-20 06:02:17,870 INFO p_ofi_add_3: 0.251604238577065 , std 0.30899235564840655 
2023-04-20 06:02:17,870 INFO p_ofi_add_4: 0.2998320655236137 , std 0.3290387005255066 
2023-04-20 06:02:17,870 INFO p_ofi_add_5: 0.37237395519038724 , std 0.35032926578858886 
2023-04-20 06:02:17,870 INFO p_ofi_add_6: 0.41368288422093596 , std 0.3524156561810043 
2023-04-20 06:02:17,870 INFO p_ofi_add_7: 0.44246903884742467 , std 0.36019397549151444 
2023-04-20 06:02:17,870 INFO p_ofi_add_8: 0.5427325129883549 , std 0.3627743351499372 
2023-04-20 06:02:17,870 INFO p_ofi_add_9: 0.6088463175481221 , std 0.35755486737952213 
2023-04-20 06:02:17,870 INFO p_ofi_add_10: 0.6010694420899215 , std 0.3687115894684361 
2023-04-20 06:02:17,870 INFO p_ofi_cancel_1: 0.4746670468655794 , std 0.40887878775141234 
2023-04-20 06:02:17,870 INFO p_ofi_cancel_2: 0.24100717499075486 , std 0.3235946923493101 
2023-04-20 06:02:17,870 INFO p_ofi_cancel_3: 0.3037279353046055 , std 0.3398317076145705 
2023-04-20 06:02:17,870 INFO p_ofi_cancel_4: 0.36180521947931343 , std 0.3549634014800156 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_5: 0.43507911852857356 , std 0.3690408021956961 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_6: 0.4877613858299961 , std 0.37112077548043404 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_7: 0.5493129568006188 , std 0.37813323047417063 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_8: 0.6173262720849569 , std 0.3658221607170099 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_9: 0.6618908868891111 , std 0.3576058263937742 
2023-04-20 06:02:17,871 INFO p_ofi_cancel_10: 0.6457837560293322 , std 0.3674301624092128 
2023-04-20 06:02:17,871 INFO p_ofi_trade_1: 0.7559554910025333 , std 0.3599299062882487 
2023-04-20 06:02:17,871 INFO p_ofi_trade_2: 0.5659128551384219 , std 0.39248251831403663 
2023-04-20 06:02:17,871 INFO p_ofi_trade_3: 0.529760506851394 , std 0.3846905578693896 
2023-04-20 06:02:17,871 INFO p_ofi_trade_4: 0.5204043112103461 , std 0.3835402431282424 
2023-04-20 06:02:17,871 INFO p_ofi_trade_5: 0.5367073866667642 , std 0.37658364130125166 
2023-04-20 06:02:17,871 INFO p_ofi_trade_6: 0.5764527560645469 , std 0.37313095843882393 
2023-04-20 06:02:17,871 INFO p_ofi_trade_7: 0.5991879261042998 , std 0.3754084990147574 
2023-04-20 06:02:17,871 INFO p_ofi_trade_8: 0.6462321334552191 , std 0.3654438598772764 
2023-04-20 06:02:17,871 INFO p_ofi_trade_9: 0.6712878960294254 , std 0.359317229384302 
2023-04-20 06:02:17,871 INFO p_ofi_trade_10: 0.671070166124097 , std 0.368155346151032 
