2023-04-20 05:51:29,096 INFO Tickers: ['WMT']
2023-04-20 05:52:28,617 INFO Negative OS: -1.7039864372649989 --- ticker WMT --- day 2017-04-18 --- time 48600
2023-04-20 05:54:25,080 INFO Negative OS: -6.339219098872445 --- ticker WMT --- day 2017-11-14 --- time 50400
2023-04-20 05:55:39,778 INFO Negative OS: -0.7363787759576252 --- ticker WMT --- day 2018-03-09 --- time 48600
2023-04-20 05:56:13,621 INFO Negative OS: -4.059537617530613 --- ticker WMT --- day 2018-05-08 --- time 52200
2023-04-20 06:00:40,860 INFO Negative OS: -1.5981681920244504 --- ticker WMT --- day 2019-08-22 --- time 46800
2023-04-20 06:01:15,401 INFO Negative OS: -1.4595943244817247 --- ticker WMT --- day 2019-10-01 --- time 50400
2023-04-20 06:01:27,443 INFO Negative OS: -0.019089723255969693 --- ticker WMT --- day 2019-10-22 --- time 48600
2023-04-20 06:01:28,716 INFO Negative OS: -9.531347227223135 --- ticker WMT --- day 2019-10-23 --- time 41400
2023-04-20 06:01:47,013 INFO Negative OS: -0.23516762250935264 --- ticker WMT --- day 2019-11-13 --- time 45000
2023-04-20 06:01:54,228 INFO Negative OS: -0.09524119179756707 --- ticker WMT --- day 2019-11-15 --- time 50400
2023-04-20 06:02:14,126 INFO in_r2: 0.948161365141582 , std 0.04088066343655984 
2023-04-20 06:02:14,126 INFO os_r2: 0.9150609301708768 , std 0.18010178714191613 
2023-04-20 06:02:14,126 INFO intercept: -5.280644724771543e-08 , std 3.84271348782438e-06 
2023-04-20 06:02:14,126 INFO ofi_add_1: 3.8005578598872826e-05 , std 3.7229254796766055e-05 
2023-04-20 06:02:14,126 INFO ofi_add_2: 5.9349016060856384e-05 , std 4.3361655958493686e-05 
2023-04-20 06:02:14,126 INFO ofi_add_3: 6.259429319378066e-05 , std 4.273797787309986e-05 
2023-04-20 06:02:14,126 INFO ofi_add_4: 5.4635972484461856e-05 , std 4.0185575831164546e-05 
2023-04-20 06:02:14,126 INFO ofi_add_5: 4.534372708000004e-05 , std 3.64770211149633e-05 
2023-04-20 06:02:14,126 INFO ofi_add_6: 4.8530877891648324e-05 , std 4.513156073706365e-05 
2023-04-20 06:02:14,126 INFO ofi_add_7: 6.074461920140376e-05 , std 5.4050677080858956e-05 
2023-04-20 06:02:14,126 INFO ofi_add_8: 5.2957089416616155e-05 , std 5.04088395963026e-05 
