2023-04-20 06:05:25,734 INFO Tickers: ['ABBV']
2023-04-20 06:08:28,592 INFO Negative OS: -0.30104321057514905 --- ticker ABBV --- day 2018-01-04 --- time 45000
2023-04-20 06:08:33,443 INFO Negative OS: -0.3725054527582874 --- ticker ABBV --- day 2018-01-22 --- time 36000
2023-04-20 06:08:34,408 INFO Negative OS: -0.5281014091216389 --- ticker ABBV --- day 2018-01-25 --- time 37800
2023-04-20 06:08:39,026 INFO Negative OS: -0.004412197977896382 --- ticker ABBV --- day 2018-01-25 --- time 52200
2023-04-20 06:08:39,571 INFO Negative OS: -0.35856548788691156 --- ticker ABBV --- day 2018-01-26 --- time 46800
2023-04-20 06:08:41,926 INFO Negative OS: -0.2873975309790031 --- ticker ABBV --- day 2018-01-29 --- time 43200
2023-04-20 06:08:43,105 INFO Negative OS: -1.4190994514859003 --- ticker ABBV --- day 2018-01-30 --- time 41400
2023-04-20 06:08:43,532 INFO Negative OS: -6.479314975174182 --- ticker ABBV --- day 2018-01-30 --- time 50400
2023-04-20 06:08:55,301 INFO Negative OS: -0.37546775553468126 --- ticker ABBV --- day 2018-01-31 --- time 41400
2023-04-20 06:08:55,987 INFO Negative OS: -0.5760030035894084 --- ticker ABBV --- day 2018-01-31 --- time 52200
2023-04-20 06:08:56,185 INFO Negative OS: -0.35633955548576934 --- ticker ABBV --- day 2018-02-01 --- time 37800
2023-04-20 06:08:59,034 INFO Negative OS: -0.03646223346141109 --- ticker ABBV --- day 2018-02-02 --- time 41400
2023-04-20 06:09:16,591 INFO Negative OS: -2.018164773842257 --- ticker ABBV --- day 2018-02-14 --- time 50400
2023-04-20 06:09:18,616 INFO Negative OS: -5.069720637742123 --- ticker ABBV --- day 2018-02-14 --- time 52200
2023-04-20 06:09:30,337 INFO Negative OS: -9.542903389437063 --- ticker ABBV --- day 2018-03-07 --- time 52200
2023-04-20 06:09:30,435 INFO Negative OS: -2.588948982448279 --- ticker ABBV --- day 2018-03-08 --- time 39600
2023-04-20 06:09:31,019 INFO Negative OS: -17.52329313121366 --- ticker ABBV --- day 2018-03-08 --- time 50400
2023-04-20 06:09:34,320 INFO Negative OS: -55.699857588185054 --- ticker ABBV --- day 2018-03-19 --- time 37800
2023-04-20 06:09:52,378 INFO Negative OS: -0.002619379006679745 --- ticker ABBV --- day 2018-03-19 --- time 39600
2023-04-20 06:10:13,611 INFO Negative OS: -0.1377514502841939 --- ticker ABBV --- day 2018-04-17 --- time 52200
2023-04-20 06:10:14,839 INFO Negative OS: -0.3685431571748312 --- ticker ABBV --- day 2018-04-24 --- time 39600
2023-04-20 06:10:15,350 INFO Negative OS: -0.011950984810283227 --- ticker ABBV --- day 2018-04-24 --- time 52200
2023-04-20 06:10:15,446 INFO Negative OS: -0.09609419775461747 --- ticker ABBV --- day 2018-04-25 --- time 36000
2023-04-20 06:10:15,853 INFO Negative OS: -2.3647012648597365 --- ticker ABBV --- day 2018-04-25 --- time 48600
2023-04-20 06:10:36,844 INFO Negative OS: -2.8429594742025976 --- ticker ABBV --- day 2018-06-05 --- time 41400
2023-04-20 06:10:43,726 INFO Negative OS: -0.010982731831507886 --- ticker ABBV --- day 2018-06-11 --- time 41400
2023-04-20 06:10:45,354 INFO Negative OS: -0.01611896582931549 --- ticker ABBV --- day 2018-06-11 --- time 52200
2023-04-20 06:11:52,603 INFO Negative OS: -0.6642332289949153 --- ticker ABBV --- day 2018-09-21 --- time 50400
2023-04-20 06:12:00,583 INFO Negative OS: -0.21117869031001524 --- ticker ABBV --- day 2018-09-25 --- time 36000
2023-04-20 06:12:05,554 INFO Negative OS: -1.7407829132251629 --- ticker ABBV --- day 2018-09-28 --- time 39600
2023-04-20 06:12:47,992 INFO Negative OS: -0.33481005469249303 --- ticker ABBV --- day 2018-12-06 --- time 43200
2023-04-20 06:12:57,149 INFO Negative OS: -0.47231532166584445 --- ticker ABBV --- day 2018-12-19 --- time 50400
2023-04-20 06:14:08,893 INFO Negative OS: -3.4213593525097528 --- ticker ABBV --- day 2019-04-18 --- time 37800
2023-04-20 06:14:20,948 INFO Negative OS: -0.02017491512331726 --- ticker ABBV --- day 2019-04-18 --- time 39600
2023-04-20 06:15:19,481 INFO Negative OS: -1.1257504806081382 --- ticker ABBV --- day 2019-07-23 --- time 46800
2023-04-20 06:16:09,516 INFO Negative OS: -6.179553057667491 --- ticker ABBV --- day 2019-09-27 --- time 41400
2023-04-20 06:16:15,576 INFO Negative OS: -1.1189672522448673 --- ticker ABBV --- day 2019-10-02 --- time 37800
2023-04-20 06:16:17,847 INFO Negative OS: -0.006834745837519529 --- ticker ABBV --- day 2019-10-02 --- time 39600
2023-04-20 06:17:03,524 INFO Negative OS: -1.4629144977392698 --- ticker ABBV --- day 2019-12-11 --- time 36000
2023-04-20 06:17:12,541 INFO t_ofi_cancel_2: 1.8979054053946018 , std 1.3053812568636982 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_3: 1.4856505051180997 , std 1.1232929939580394 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_4: 1.4061110080384405 , std 1.1590747895559648 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_5: 1.178149127662037 , std 1.100527112095437 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_6: 1.048327736979231 , std 1.0552440138078756 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_7: 0.8494899088766891 , std 1.0029847906145382 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_8: 0.7711875128568765 , std 0.9656557016658052 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_9: 0.6530436582835785 , std 0.8807915408126414 
2023-04-20 06:17:12,541 INFO t_ofi_cancel_10: 0.7854848389215677 , std 1.0692043023887832 
2023-04-20 06:17:12,541 INFO t_ofi_trade_1: 0.5072494811126752 , std 0.9225865191750939 
2023-04-20 06:17:12,541 INFO t_ofi_trade_2: 0.9384221886897101 , std 1.013391027017715 
2023-04-20 06:17:12,541 INFO t_ofi_trade_3: 0.9742599476543199 , std 1.0197158775800936 
2023-04-20 06:17:12,541 INFO t_ofi_trade_4: 0.9719349924177134 , std 1.034349262122189 
2023-04-20 06:17:12,541 INFO t_ofi_trade_5: 0.9155242157152884 , std 0.98415151927722 
2023-04-20 06:17:12,541 INFO t_ofi_trade_6: 0.86384135958195 , std 0.9545599541115735 
2023-04-20 06:17:12,541 INFO t_ofi_trade_7: 0.7882650952367516 , std 0.954371947287945 
2023-04-20 06:17:12,541 INFO t_ofi_trade_8: 0.7560441924248674 , std 0.924136151378798 
2023-04-20 06:17:12,541 INFO t_ofi_trade_9: 0.7084888205850919 , std 0.9024277530733763 
2023-04-20 06:17:12,541 INFO t_ofi_trade_10: 0.8092350640934153 , std 1.042462371943139 
2023-04-20 06:17:12,541 INFO p_intercept: 0.496321907195839 , std 0.2896151334878613 
2023-04-20 06:17:12,541 INFO p_ofi_add_1: 0.30245669171134826 , std 0.3485013930347606 
2023-04-20 06:17:12,541 INFO p_ofi_add_2: 0.2102102880632911 , std 0.29533214998802715 
2023-04-20 06:17:12,541 INFO p_ofi_add_3: 0.2709756069814659 , std 0.31495014028004475 
2023-04-20 06:17:12,541 INFO p_ofi_add_4: 0.2973240526891468 , std 0.33058256625588534 
2023-04-20 06:17:12,541 INFO p_ofi_add_5: 0.36286396088775835 , std 0.3522076023599126 
2023-04-20 06:17:12,541 INFO p_ofi_add_6: 0.4042840073264827 , std 0.3613179099856922 
2023-04-20 06:17:12,541 INFO p_ofi_add_7: 0.47292821213069647 , std 0.366761542773555 
2023-04-20 06:17:12,541 INFO p_ofi_add_8: 0.5155437252262245 , std 0.37228163839661277 
2023-04-20 06:17:12,541 INFO p_ofi_add_9: 0.5689995640070254 , std 0.3636200540903458 
2023-04-20 06:17:12,541 INFO p_ofi_add_10: 0.5430910593892828 , std 0.3805515129227946 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_1: 0.45075038098353504 , std 0.40657305261888593 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_2: 0.243079453676911 , std 0.3271051222410712 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_3: 0.31926276453792346 , std 0.34393133587460256 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_4: 0.3502888345746299 , std 0.3591104593543371 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_5: 0.42232144145244865 , std 0.3731851947674254 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_6: 0.462747697881185 , std 0.3783713234352688 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_7: 0.5398450209637982 , std 0.37905150400916254 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_8: 0.5748226317202476 , std 0.3743636734108415 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_9: 0.6150061474088883 , std 0.3662692650825478 
2023-04-20 06:17:12,541 INFO p_ofi_cancel_10: 0.5820805927765511 , std 0.38845594880860324 
2023-04-20 06:17:12,541 INFO p_ofi_trade_1: 0.7110243204455201 , std 0.3765669201987607 
2023-04-20 06:17:12,542 INFO p_ofi_trade_2: 0.52160955491589 , std 0.3972681801763956 
2023-04-20 06:17:12,542 INFO p_ofi_trade_3: 0.4950566012449194 , std 0.38662708242497945 
2023-04-20 06:17:12,542 INFO p_ofi_trade_4: 0.5012596762772077 , std 0.38494322131164377 
2023-04-20 06:17:12,542 INFO p_ofi_trade_5: 0.5155924596350484 , std 0.38392785655272454 
2023-04-20 06:17:12,542 INFO p_ofi_trade_6: 0.5353464643574724 , std 0.3808007138039457 
2023-04-20 06:17:12,542 INFO p_ofi_trade_7: 0.5727400798326062 , std 0.3849742435509152 
2023-04-20 06:17:12,542 INFO p_ofi_trade_8: 0.5874907629811887 , std 0.3814157481622755 
2023-04-20 06:17:12,542 INFO p_ofi_trade_9: 0.6123647153020667 , std 0.38065840984661814 
2023-04-20 06:17:12,542 INFO p_ofi_trade_10: 0.5881286272449111 , std 0.39687181947594763 
