2023-04-20 05:26:38,245 INFO Tickers: ['DIS']
2023-04-20 05:31:24,625 INFO Negative OS: -0.01064229056615651 --- ticker DIS --- day 2018-03-09 --- time 43200
2023-04-20 05:37:02,464 INFO Negative OS: -0.0008666680384936676 --- ticker DIS --- day 2019-07-09 --- time 52200
2023-04-20 05:39:05,954 INFO t_ofi_cancel_7: 0.6920989149585747 , std 0.8130415572639076 
2023-04-20 05:39:05,954 INFO t_ofi_cancel_8: 0.7131452933877543 , std 0.8306922225085327 
2023-04-20 05:39:05,954 INFO t_ofi_cancel_9: 0.6514951632714961 , std 0.8078580031709178 
2023-04-20 05:39:05,954 INFO t_ofi_cancel_10: 0.7371927130344808 , std 0.9404680660090599 
2023-04-20 05:39:05,954 INFO t_ofi_trade_1: 0.37838220285158286 , std 0.7464858347552376 
2023-04-20 05:39:05,954 INFO t_ofi_trade_2: 0.6459075382328775 , std 0.818907297643608 
2023-04-20 05:39:05,954 INFO t_ofi_trade_3: 0.7563400886225071 , std 0.8464458121741323 
2023-04-20 05:39:05,954 INFO t_ofi_trade_4: 0.8218109297320902 , std 0.84770215352004 
2023-04-20 05:39:05,954 INFO t_ofi_trade_5: 0.753591780271877 , std 0.8318527007638621 
2023-04-20 05:39:05,954 INFO t_ofi_trade_6: 0.7156588531230331 , std 0.8137228662880168 
2023-04-20 05:39:05,954 INFO t_ofi_trade_7: 0.6567454522617943 , std 0.793042780217137 
2023-04-20 05:39:05,954 INFO t_ofi_trade_8: 0.6963652740693657 , std 0.8125931514935641 
2023-04-20 05:39:05,954 INFO t_ofi_trade_9: 0.649973012766673 , std 0.7974245090214941 
2023-04-20 05:39:05,954 INFO t_ofi_trade_10: 0.7060328872886229 , std 0.8980188361727854 
2023-04-20 05:39:05,954 INFO p_intercept: 0.5279931518047652 , std 0.2803196764713267 
2023-04-20 05:39:05,954 INFO p_ofi_add_1: 0.31418735483496335 , std 0.3374608559237327 
