2023-04-20 05:28:06,356 INFO Tickers: ['MA']
2023-04-20 05:28:10,064 INFO Negative OS: -0.69563881324303 --- ticker MA --- day 2017-01-06 --- time 46800
2023-04-20 05:29:48,774 INFO Negative OS: -0.10180762862493431 --- ticker MA --- day 2017-12-04 --- time 48600
2023-04-20 05:29:57,492 INFO Negative OS: -0.01927065201060052 --- ticker MA --- day 2018-01-04 --- time 52200
2023-04-20 05:30:00,245 INFO Negative OS: -0.23487246245865845 --- ticker MA --- day 2018-01-18 --- time 37800
2023-04-20 05:30:11,919 INFO Negative OS: -0.10864532130382898 --- ticker MA --- day 2018-02-02 --- time 52200
2023-04-20 05:30:12,981 INFO Negative OS: -0.8081405535738888 --- ticker MA --- day 2018-02-05 --- time 48600
2023-04-20 05:30:15,337 INFO Negative OS: -0.29367492163442344 --- ticker MA --- day 2018-02-06 --- time 41400
2023-04-20 05:30:43,339 INFO Negative OS: -1.4536100426615524 --- ticker MA --- day 2018-02-21 --- time 41400
2023-04-20 05:31:00,616 INFO Negative OS: -0.08873426245612248 --- ticker MA --- day 2018-03-15 --- time 37800
2023-04-20 05:31:23,181 INFO Negative OS: -1.1675393563528975 --- ticker MA --- day 2018-04-02 --- time 50400
2023-04-20 05:31:58,458 INFO Negative OS: -0.8354470698822078 --- ticker MA --- day 2018-05-08 --- time 50400
2023-04-20 05:32:20,349 INFO Negative OS: -0.010762572439287021 --- ticker MA --- day 2018-06-20 --- time 36000
2023-04-20 05:32:38,804 INFO Negative OS: -1.6827074058470823 --- ticker MA --- day 2018-07-18 --- time 36000
2023-04-20 05:32:39,289 INFO Negative OS: -0.3944408872111522 --- ticker MA --- day 2018-07-18 --- time 41400
2023-04-20 05:33:43,043 INFO Negative OS: -0.034884102807362316 --- ticker MA --- day 2018-10-11 --- time 41400
2023-04-20 05:34:22,346 INFO Negative OS: -2.0392453788627596 --- ticker MA --- day 2018-11-06 --- time 41400
2023-04-20 05:35:08,834 INFO Negative OS: -0.4253326444636589 --- ticker MA --- day 2018-12-19 --- time 50400
2023-04-20 05:35:49,924 INFO Negative OS: -1.5792039898453165 --- ticker MA --- day 2019-01-30 --- time 36000
2023-04-20 05:36:20,651 INFO Negative OS: -1.1085734888977146 --- ticker MA --- day 2019-03-08 --- time 39600
2023-04-20 05:36:24,910 INFO Negative OS: -0.5559133863174439 --- ticker MA --- day 2019-03-12 --- time 50400
2023-04-20 05:37:36,081 INFO Negative OS: -0.7479215883746999 --- ticker MA --- day 2019-06-19 --- time 37800
2023-04-20 05:38:15,770 INFO Negative OS: -0.47939071447932924 --- ticker MA --- day 2019-06-20 --- time 36000
2023-04-20 05:38:18,860 INFO Negative OS: -18.298953516083273 --- ticker MA --- day 2019-06-20 --- time 43200
2023-04-20 05:38:25,165 INFO Negative OS: -0.7915642649389709 --- ticker MA --- day 2019-06-21 --- time 41400
2023-04-20 05:38:38,579 INFO Negative OS: -0.8213934063221964 --- ticker MA --- day 2019-07-01 --- time 48600
2023-04-20 05:39:37,882 INFO Negative OS: -4.606218075511919 --- ticker MA --- day 2019-09-04 --- time 46800
2023-04-20 05:40:02,159 INFO Negative OS: -0.013302116757767823 --- ticker MA --- day 2019-09-04 --- time 48600
2023-04-20 05:40:05,403 INFO Negative OS: -0.4601784970096061 --- ticker MA --- day 2019-09-10 --- time 37800
2023-04-20 05:40:09,446 INFO Negative OS: -0.34856139480976855 --- ticker MA --- day 2019-09-10 --- time 46800
2023-04-20 05:40:12,189 INFO Negative OS: -0.0066846301197827085 --- ticker MA --- day 2019-09-10 --- time 48600
2023-04-20 05:40:19,732 INFO Negative OS: -1.759998255985891 --- ticker MA --- day 2019-09-13 --- time 37800
2023-04-20 05:40:24,029 INFO Negative OS: -6.54662271729576 --- ticker MA --- day 2019-09-13 --- time 48600
2023-04-20 05:40:34,595 INFO Negative OS: -0.0006272323373115452 --- ticker MA --- day 2019-09-13 --- time 50400
2023-04-20 05:40:54,237 INFO Negative OS: -0.687112537367194 --- ticker MA --- day 2019-09-19 --- time 52200
2023-04-20 05:41:10,253 INFO Negative OS: -0.0103820215735686 --- ticker MA --- day 2019-10-01 --- time 41400
2023-04-20 05:41:11,975 INFO Negative OS: -0.16827985981628757 --- ticker MA --- day 2019-10-01 --- time 45000
2023-04-20 05:41:35,524 INFO Negative OS: -10.956946466397634 --- ticker MA --- day 2019-10-15 --- time 41400
2023-04-20 05:41:45,489 INFO Negative OS: -10.660295956266937 --- ticker MA --- day 2019-10-22 --- time 36000
2023-04-20 05:42:01,198 INFO Negative OS: -2.2658948341630043 --- ticker MA --- day 2019-10-25 --- time 45000
2023-04-20 05:42:22,124 INFO Negative OS: -0.268931166574367 --- ticker MA --- day 2019-10-28 --- time 39600
2023-04-20 05:42:45,333 INFO Negative OS: -0.0076894005465435455 --- ticker MA --- day 2019-10-28 --- time 41400
2023-04-20 05:42:45,557 INFO Negative OS: -0.19771428105249944 --- ticker MA --- day 2019-10-28 --- time 45000
2023-04-20 05:42:46,571 INFO Negative OS: -4.710315591149872e-05 --- ticker MA --- day 2019-10-28 --- time 46800
2023-04-20 05:42:46,646 INFO Negative OS: -0.8669858117111144 --- ticker MA --- day 2019-10-28 --- time 48600
2023-04-20 05:42:54,673 INFO Negative OS: -0.11648189364896422 --- ticker MA --- day 2019-11-07 --- time 52200
2023-04-20 05:43:01,982 INFO Negative OS: -5.304868143751476 --- ticker MA --- day 2019-11-11 --- time 37800
2023-04-20 05:43:09,411 INFO Negative OS: -3.7026133313872824 --- ticker MA --- day 2019-11-13 --- time 36000
2023-04-20 05:43:12,427 INFO Negative OS: -0.0002065293651849487 --- ticker MA --- day 2019-11-13 --- time 41400
2023-04-20 05:43:27,700 INFO t_ofi_cancel_10: 0.3655267949941074 , std 0.6634596945559709 
2023-04-20 05:43:27,700 INFO t_ofi_trade_1: 0.5971410029365511 , std 0.8876574964483359 
2023-04-20 05:43:27,700 INFO t_ofi_trade_2: 0.5598504645761452 , std 0.7738273186776564 
2023-04-20 05:43:27,700 INFO t_ofi_trade_3: 0.5009283915542085 , std 0.7173232282380358 
2023-04-20 05:43:27,700 INFO t_ofi_trade_4: 0.43503198042600927 , std 0.6718458840933279 
2023-04-20 05:43:27,700 INFO t_ofi_trade_5: 0.4010140572251799 , std 0.6371819905641528 
2023-04-20 05:43:27,700 INFO t_ofi_trade_6: 0.3888048435041082 , std 0.6147141897451602 
2023-04-20 05:43:27,700 INFO t_ofi_trade_7: 0.3916842845113002 , std 0.6282088565284077 
2023-04-20 05:43:27,700 INFO t_ofi_trade_8: 0.40405665232238946 , std 0.6391318897053783 
2023-04-20 05:43:27,700 INFO t_ofi_trade_9: 0.40867720649463934 , std 0.6342333461544968 
2023-04-20 05:43:27,700 INFO t_ofi_trade_10: 0.4721678006728586 , std 0.7203947328085243 
2023-04-20 05:43:27,700 INFO p_intercept: 0.49812947803923613 , std 0.29318025002672254 
2023-04-20 05:43:27,700 INFO p_ofi_add_1: 0.216703431351576 , std 0.3076285535919195 
2023-04-20 05:43:27,700 INFO p_ofi_add_2: 0.23148566064547293 , std 0.2994472448806325 
2023-04-20 05:43:27,700 INFO p_ofi_add_3: 0.3532074914303649 , std 0.33321241705131316 
2023-04-20 05:43:27,700 INFO p_ofi_add_4: 0.49171497861449837 , std 0.34630527449422094 
2023-04-20 05:43:27,700 INFO p_ofi_add_5: 0.575982202057976 , std 0.3357496761037939 
2023-04-20 05:43:27,700 INFO p_ofi_add_6: 0.6358624982674235 , std 0.3209717617642617 
2023-04-20 05:43:27,700 INFO p_ofi_add_7: 0.6781835491073931 , std 0.30774688614176426 
2023-04-20 05:43:27,700 INFO p_ofi_add_8: 0.7071647132493796 , std 0.29820957868528875 
2023-04-20 05:43:27,700 INFO p_ofi_add_9: 0.728481044611589 , std 0.28704179098265137 
2023-04-20 05:43:27,700 INFO p_ofi_add_10: 0.6801498659189955 , std 0.3185786147128264 
2023-04-20 05:43:27,700 INFO p_ofi_cancel_1: 0.2508777330285749 , std 0.3373929064098764 
2023-04-20 05:43:27,700 INFO p_ofi_cancel_2: 0.20821464279403099 , std 0.2887196037072506 
2023-04-20 05:43:27,700 INFO p_ofi_cancel_3: 0.39500933449032 , std 0.3509489976857081 
2023-04-20 05:43:27,700 INFO p_ofi_cancel_4: 0.5298950972986929 , std 0.3529980842155698 
2023-04-20 05:43:27,700 INFO p_ofi_cancel_5: 0.6283826019167268 , std 0.33603364848487877 
2023-04-20 05:43:27,701 INFO p_ofi_cancel_6: 0.6894887736386485 , std 0.31723757428837596 
2023-04-20 05:43:27,701 INFO p_ofi_cancel_7: 0.7249946133637449 , std 0.3019171279751061 
2023-04-20 05:43:27,701 INFO p_ofi_cancel_8: 0.7547316851468706 , std 0.28871893381544134 
2023-04-20 05:43:27,701 INFO p_ofi_cancel_9: 0.7770444230488636 , std 0.2747889452494672 
2023-04-20 05:43:27,701 INFO p_ofi_cancel_10: 0.7139905014308061 , std 0.31346116993049766 
2023-04-20 05:43:27,701 INFO p_ofi_trade_1: 0.6630097105876314 , std 0.3807353985825105 
2023-04-20 05:43:27,701 INFO p_ofi_trade_2: 0.6701129426060797 , std 0.3611077850006024 
2023-04-20 05:43:27,701 INFO p_ofi_trade_3: 0.6909503706789799 , std 0.35042932691051454 
2023-04-20 05:43:27,701 INFO p_ofi_trade_4: 0.7148822704780103 , std 0.3389895465315687 
2023-04-20 05:43:27,701 INFO p_ofi_trade_5: 0.7296847408551608 , std 0.3279172758256266 
2023-04-20 05:43:27,701 INFO p_ofi_trade_6: 0.741724032080719 , std 0.3225091883209648 
2023-04-20 05:43:27,701 INFO p_ofi_trade_7: 0.7386838068660698 , std 0.3267093356107 
2023-04-20 05:43:27,701 INFO p_ofi_trade_8: 0.7317808237204105 , std 0.32570391332171 
2023-04-20 05:43:27,701 INFO p_ofi_trade_9: 0.73310832316091 , std 0.325326635575889 
2023-04-20 05:43:27,701 INFO p_ofi_trade_10: 0.7101333767668268 , std 0.3466743985108522 
