2023-04-20 07:01:03,389 INFO Tickers: ['BSX']
2023-04-20 07:01:08,104 INFO Negative OS: -0.3167544286476547 --- ticker BSX --- day 2017-01-17 --- time 48600
2023-04-20 07:01:59,992 INFO Negative OS: -0.08640746460023774 --- ticker BSX --- day 2017-07-27 --- time 39600
2023-04-20 07:05:23,698 INFO Negative OS: -0.09959516136181179 --- ticker BSX --- day 2019-01-30 --- time 48600
2023-04-20 07:08:18,504 INFO t_ofi_cancel_7: 1.7648166502488563 , std 1.5594350066848033 
2023-04-20 07:08:18,504 INFO t_ofi_cancel_8: 1.3184390802884052 , std 1.4631009094303775 
2023-04-20 07:08:18,504 INFO t_ofi_cancel_9: 1.0656156199111528 , std 1.3781614783231821 
2023-04-20 07:08:18,504 INFO t_ofi_cancel_10: 1.0352113611582179 , std 1.4839452714977293 
2023-04-20 07:08:18,504 INFO t_ofi_trade_1: 0.33936183093964606 , std 0.8296367683492408 
2023-04-20 07:08:18,504 INFO t_ofi_trade_2: 2.007574634627113 , std 1.673835910249459 
2023-04-20 07:08:18,504 INFO t_ofi_trade_3: 2.152749210704935 , std 1.6849726988190605 
2023-04-20 07:08:18,504 INFO t_ofi_trade_4: 2.254630622136537 , std 1.7322872133469676 
2023-04-20 07:08:18,504 INFO t_ofi_trade_5: 2.1418875573895244 , std 1.6709838288420757 
2023-04-20 07:08:18,504 INFO t_ofi_trade_6: 1.7905334847581247 , std 1.5931878217379818 
2023-04-20 07:08:18,504 INFO t_ofi_trade_7: 1.367948800445194 , std 1.5308529811337879 
2023-04-20 07:08:18,504 INFO t_ofi_trade_8: 1.0892798580638698 , std 1.4211098547957415 
2023-04-20 07:08:18,504 INFO t_ofi_trade_9: 0.9555509077048298 , std 1.4613028684728848 
2023-04-20 07:08:18,504 INFO t_ofi_trade_10: 0.9207717467978151 , std 1.4870237303485314 
2023-04-20 07:08:18,504 INFO p_intercept: 0.48823122296623084 , std 0.29461924889875063 
2023-04-20 07:08:18,504 INFO p_ofi_add_1: 0.2711535174200952 , std 0.3254568811333519 
2023-04-20 07:08:18,504 INFO p_ofi_add_2: 0.09560406288527183 , std 0.20750321941405112 
2023-04-20 07:08:18,504 INFO p_ofi_add_3: 0.12729921687666076 , std 0.26567676184049593 
2023-04-20 07:08:18,504 INFO p_ofi_add_4: 0.12123366679012489 , std 0.2602939398150638 
2023-04-20 07:08:18,504 INFO p_ofi_add_5: 0.142507554147969 , std 0.2792774274156137 
