2023-04-20 06:12:13,597 INFO Tickers: ['PYPL']
2023-04-20 06:12:14,550 INFO Negative OS: -3.8787023675721874 --- ticker PYPL --- day 2017-01-04 --- time 41400
2023-04-20 06:12:21,016 INFO Negative OS: -0.06389724619498938 --- ticker PYPL --- day 2017-01-19 --- time 48600
2023-04-20 06:12:22,439 INFO Negative OS: -2.6563881128819897 --- ticker PYPL --- day 2017-01-23 --- time 52200
2023-04-20 06:12:31,204 INFO Negative OS: -0.746401461070751 --- ticker PYPL --- day 2017-02-09 --- time 46800
2023-04-20 06:12:36,461 INFO Negative OS: -3.217499598621071 --- ticker PYPL --- day 2017-02-21 --- time 48600
2023-04-20 06:12:42,008 INFO Negative OS: -0.021456538705737938 --- ticker PYPL --- day 2017-03-03 --- time 48600
2023-04-20 06:13:54,734 INFO Negative OS: -0.13651672463770437 --- ticker PYPL --- day 2017-07-21 --- time 46800
2023-04-20 06:16:50,236 INFO Negative OS: -0.5042283659895352 --- ticker PYPL --- day 2018-06-04 --- time 45000
2023-04-20 06:23:02,778 INFO Negative OS: -0.8267262954295957 --- ticker PYPL --- day 2019-11-20 --- time 43200
2023-04-20 06:23:18,167 INFO t_ofi_add_9: 1.4541859523871734 , std 1.5183245298188537 
2023-04-20 06:23:18,167 INFO t_ofi_add_10: 1.794649342886246 , std 1.6988366846016276 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_1: 0.8299537995085267 , std 1.058221063573187 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_2: 1.4268780565983838 , std 1.2924604865928069 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_3: 1.651709178755631 , std 1.4126299738947217 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_4: 1.6502007063454842 , std 1.509241199790998 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_5: 1.5383881923706635 , std 1.4771904690110795 
2023-04-20 06:23:18,167 INFO t_ofi_cancel_6: 1.461888745947133 , std 1.412096650184458 
2023-04-20 06:23:18,168 INFO t_ofi_cancel_7: 1.2551615715116775 , std 1.2726119344856106 
2023-04-20 06:23:18,168 INFO t_ofi_cancel_8: 1.2604199821578483 , std 1.2527042196667848 
2023-04-20 06:23:18,168 INFO t_ofi_cancel_9: 1.1733403750518843 , std 1.2416872117677638 
2023-04-20 06:23:18,168 INFO t_ofi_cancel_10: 1.4377796269653251 , std 1.4502684923179396 
2023-04-20 06:23:18,168 INFO t_ofi_trade_1: 0.44185393808331047 , std 0.89204669932166 
2023-04-20 06:23:18,168 INFO t_ofi_trade_2: 1.1447228485969547 , std 1.4434190797449926 
2023-04-20 06:23:18,168 INFO t_ofi_trade_3: 1.382464443292293 , std 1.547106003365937 
2023-04-20 06:23:18,168 INFO t_ofi_trade_4: 1.4776386689488608 , std 1.5955362931149826 
2023-04-20 06:23:18,168 INFO t_ofi_trade_5: 1.4453261182929993 , std 1.6233149558754991 
2023-04-20 06:23:18,168 INFO t_ofi_trade_6: 1.4469326205484792 , std 1.605226103661603 
2023-04-20 06:23:18,168 INFO t_ofi_trade_7: 1.2871295365913975 , std 1.5119660246303084 
2023-04-20 06:23:18,168 INFO t_ofi_trade_8: 1.3022724905595064 , std 1.5154967283226075 
2023-04-20 06:23:18,168 INFO t_ofi_trade_9: 1.2268864124474161 , std 1.437132854643513 
2023-04-20 06:23:18,168 INFO t_ofi_trade_10: 1.4706628473028323 , std 1.7026868887821285 
2023-04-20 06:23:18,168 INFO p_intercept: 0.5045026334925868 , std 0.2904778957934776 
2023-04-20 06:23:18,168 INFO p_ofi_add_1: 0.39077503391703533 , std 0.36599552181608114 
2023-04-20 06:23:18,168 INFO p_ofi_add_2: 0.29829524343808195 , std 0.33811176430990597 
2023-04-20 06:23:18,168 INFO p_ofi_add_3: 0.28300092968987123 , std 0.32614218870062966 
2023-04-20 06:23:18,168 INFO p_ofi_add_4: 0.2707543680063674 , std 0.3253351081609455 
2023-04-20 06:23:18,168 INFO p_ofi_add_5: 0.2970276776737301 , std 0.33052071323568877 
2023-04-20 06:23:18,168 INFO p_ofi_add_6: 0.29585933152959415 , std 0.33159247362713357 
2023-04-20 06:23:18,168 INFO p_ofi_add_7: 0.3354833656223088 , std 0.3467781484883569 
2023-04-20 06:23:18,168 INFO p_ofi_add_8: 0.350456373498235 , std 0.3530855507588453 
2023-04-20 06:23:18,168 INFO p_ofi_add_9: 0.3822025645553293 , std 0.36214845338248264 
2023-04-20 06:23:18,168 INFO p_ofi_add_10: 0.30867976464606023 , std 0.3516120716352284 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_1: 0.5463578657618376 , std 0.3883380398763748 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_2: 0.371903096611679 , std 0.3715811139809116 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_3: 0.3155614501803387 , std 0.3485868795650694 
2023-04-20 06:23:18,168 INFO p_ofi_cancel_4: 0.3250917178482691 , std 0.353460215959149 
