2023-04-20 05:25:14,307 INFO Tickers: ['T']
2023-04-20 05:26:30,548 INFO Negative OS: -0.3944518914088637 --- ticker T --- day 2017-06-23 --- time 37800
2023-04-20 05:27:04,034 INFO Negative OS: -0.1609868932325329 --- ticker T --- day 2017-09-11 --- time 39600
2023-04-20 05:27:33,396 INFO Negative OS: -0.03582936761239819 --- ticker T --- day 2017-11-08 --- time 41400
2023-04-20 05:27:50,961 INFO Negative OS: -3.2974023340916228 --- ticker T --- day 2017-12-13 --- time 48600
2023-04-20 05:29:30,172 INFO Negative OS: -0.278249982005069 --- ticker T --- day 2018-06-21 --- time 52200
2023-04-20 05:29:45,191 INFO Negative OS: -4.659890678546977 --- ticker T --- day 2018-07-23 --- time 46800
2023-04-20 05:29:47,964 INFO Negative OS: -1.0515510473249239 --- ticker T --- day 2018-07-26 --- time 48600
2023-04-20 05:29:50,246 INFO Negative OS: -0.656855807873044 --- ticker T --- day 2018-07-31 --- time 50400
2023-04-20 05:30:00,956 INFO Negative OS: -2.393031061820644 --- ticker T --- day 2018-08-16 --- time 41400
2023-04-20 05:30:26,805 INFO Negative OS: -0.6428477971910163 --- ticker T --- day 2018-10-09 --- time 46800
2023-04-20 05:32:46,094 INFO Negative OS: -0.01438806655344016 --- ticker T --- day 2019-07-18 --- time 52200
2023-04-20 05:32:59,473 INFO Negative OS: -1.0266049094088068 --- ticker T --- day 2019-08-13 --- time 52200
2023-04-20 05:33:01,488 INFO Negative OS: -1.5262274138940235 --- ticker T --- day 2019-08-16 --- time 45000
2023-04-20 05:33:10,856 INFO Negative OS: -0.285327889938076 --- ticker T --- day 2019-09-05 --- time 43200
2023-04-20 05:33:31,216 INFO Negative OS: -0.058674519367763134 --- ticker T --- day 2019-10-15 --- time 46800
2023-04-20 05:33:57,469 INFO t_ofi_add_3: 2.394851825748447 , std 2.4043111884545127 
2023-04-20 05:33:57,469 INFO t_ofi_add_4: 3.860434734797449 , std 2.907499965715045 
2023-04-20 05:33:57,469 INFO t_ofi_add_5: 3.1624610280093504 , std 2.7647537649158425 
2023-04-20 05:33:57,469 INFO t_ofi_add_6: 3.5870225965546902 , std 3.577064274965884 
2023-04-20 05:33:57,469 INFO t_ofi_add_7: 2.661555323537209 , std 3.2112178647610428 
2023-04-20 05:33:57,469 INFO t_ofi_add_8: 2.6409346421066062 , std 3.375515413475052 
2023-04-20 05:33:57,469 INFO t_ofi_add_9: 2.2605506858396764 , std 3.258214663148425 
2023-04-20 05:33:57,469 INFO t_ofi_add_10: 2.3701315616145817 , std 3.401178858517888 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_1: 1.1914622908126038 , std 1.4289970102152965 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_2: 1.7489268379854743 , std 1.9096191246129846 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_3: 2.018461023898368 , std 1.823312847939921 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_4: 2.0908824472408085 , std 2.096951237833204 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_5: 1.90443878380582 , std 2.0183450603964497 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_6: 1.7406993377841684 , std 2.2401909939824534 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_7: 1.329524751656894 , std 2.0577237611694605 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_8: 1.2360765678992258 , std 2.06715276158956 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_9: 0.9916461499574746 , std 1.8811125572276077 
2023-04-20 05:33:57,469 INFO t_ofi_cancel_10: 1.0868512838890998 , std 2.0794038032408912 
2023-04-20 05:33:57,469 INFO t_ofi_trade_1: 0.2901642671282735 , std 0.878912376089724 
2023-04-20 05:33:57,469 INFO t_ofi_trade_2: 3.1700053496515093 , std 2.528483031057977 
2023-04-20 05:33:57,470 INFO t_ofi_trade_3: 2.9060894410243563 , std 2.5178519763262353 
2023-04-20 05:33:57,470 INFO t_ofi_trade_4: 2.9972543028948784 , std 2.7865881497233875 
2023-04-20 05:33:57,470 INFO t_ofi_trade_5: 2.6174236776954505 , std 2.6951130128009764 
2023-04-20 05:33:57,470 INFO t_ofi_trade_6: 3.0647594825335145 , std 3.5996266421773604 
2023-04-20 05:33:57,470 INFO t_ofi_trade_7: 2.3033876876946553 , std 3.0277248896727453 
2023-04-20 05:33:57,470 INFO t_ofi_trade_8: 2.270538763875409 , std 3.1567838882792367 
2023-04-20 05:33:57,470 INFO t_ofi_trade_9: 2.1276933682443513 , std 3.2024119686121733 
2023-04-20 05:33:57,470 INFO t_ofi_trade_10: 2.2529078449764666 , std 3.3301240320649543 
2023-04-20 05:33:57,470 INFO p_intercept: 0.4411122445966021 , std 0.3039739294220848 
2023-04-20 05:33:57,470 INFO p_ofi_add_1: 0.21575928464001592 , std 0.2968707462141539 
2023-04-20 05:33:57,470 INFO p_ofi_add_2: 0.04107446619686129 , std 0.14711075643255592 
2023-04-20 05:33:57,470 INFO p_ofi_add_3: 0.2823300375558425 , std 0.3811074327204073 
2023-04-20 05:33:57,470 INFO p_ofi_add_4: 0.15751433769373058 , std 0.3149644586989276 
2023-04-20 05:33:57,470 INFO p_ofi_add_5: 0.22610429460924586 , std 0.3704075993110679 
2023-04-20 05:33:57,470 INFO p_ofi_add_6: 0.2401894922928028 , std 0.38181334991555854 
2023-04-20 05:33:57,470 INFO p_ofi_add_7: 0.35626734584694414 , std 0.42552588284857995 
2023-04-20 05:33:57,470 INFO p_ofi_add_8: 0.39410132188671676 , std 0.4416718783145781 
2023-04-20 05:33:57,470 INFO p_ofi_add_9: 0.4619110156007764 , std 0.45010060014726144 
2023-04-20 05:33:57,470 INFO p_ofi_add_10: 0.48799555452147353 , std 0.45718441764910456 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_1: 0.48984748140011375 , std 0.420998254916268 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_2: 0.4193227938072454 , std 0.4417550154545613 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_3: 0.3186357314463673 , std 0.39490554680516027 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_4: 0.3675068984577154 , std 0.4321814698955468 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_5: 0.4095598335546168 , std 0.4443664239617881 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_6: 0.4998555073963909 , std 0.45972520292453195 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_7: 0.59509264435126 , std 0.44899599027227455 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_8: 0.6334732373576056 , std 0.44390246756312374 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_9: 0.6918559188582076 , std 0.42271436291929154 
2023-04-20 05:33:57,470 INFO p_ofi_cancel_10: 0.7014487127712182 , std 0.42650711231469646 
2023-04-20 05:33:57,470 INFO p_ofi_trade_1: 0.8589683020962962 , std 0.30622555875805485 
2023-04-20 05:33:57,470 INFO p_ofi_trade_2: 0.194687674057224 , std 0.34231556875296243 
2023-04-20 05:33:57,470 INFO p_ofi_trade_3: 0.21507954213598424 , std 0.34858369578181053 
2023-04-20 05:33:57,470 INFO p_ofi_trade_4: 0.25347903803879446 , std 0.38424251757214234 
2023-04-20 05:33:57,470 INFO p_ofi_trade_5: 0.31062946486599197 , std 0.40907368020098706 
2023-04-20 05:33:57,470 INFO p_ofi_trade_6: 0.32745629929732845 , std 0.42316986556216285 
2023-04-20 05:33:57,470 INFO p_ofi_trade_7: 0.4257551539749596 , std 0.4457014449614676 
2023-04-20 05:33:57,470 INFO p_ofi_trade_8: 0.4574858492090068 , std 0.45456195757791695 
2023-04-20 05:33:57,470 INFO p_ofi_trade_9: 0.49351540560810575 , std 0.45658886469938453 
2023-04-20 05:33:57,470 INFO p_ofi_trade_10: 0.5156927924981931 , std 0.4638988952456082 
