2023-04-20 06:38:48,673 INFO Tickers: ['AXP']
2023-04-20 06:44:26,279 INFO Negative OS: -0.2008592969642058 --- ticker AXP --- day 2018-09-05 --- time 50400
2023-04-20 06:45:18,923 INFO Negative OS: -0.10578248419700276 --- ticker AXP --- day 2018-12-19 --- time 46800
2023-04-20 06:45:19,050 INFO Negative OS: -0.009161038147148526 --- ticker AXP --- day 2018-12-19 --- time 48600
2023-04-20 06:47:24,930 INFO Negative OS: -0.3441044498922834 --- ticker AXP --- day 2019-07-17 --- time 46800
2023-04-20 06:48:07,858 INFO Negative OS: -0.0654762398114086 --- ticker AXP --- day 2019-10-03 --- time 36000
2023-04-20 06:48:20,666 INFO Negative OS: -0.5698167677148973 --- ticker AXP --- day 2019-10-28 --- time 52200
2023-04-20 06:48:20,752 INFO Negative OS: -2.4028274692283853 --- ticker AXP --- day 2019-10-29 --- time 36000
2023-04-20 06:49:10,053 INFO t_ofi_cancel_1: 1.1245326110721272 , std 1.2284959090857739 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_2: 1.6943306753347291 , std 1.2513329354321205 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_3: 1.40281974538088 , std 1.0576423364013579 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_4: 1.1818358677075655 , std 0.9814013431604824 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_5: 1.0390811359588212 , std 0.9729296947153286 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_6: 0.9484556258957492 , std 0.9198521396132636 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_7: 0.7800462815050768 , std 0.9123961552521902 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_8: 0.6801364742207117 , std 0.8430036771761982 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_9: 0.5545096169033565 , std 0.7691463663675853 
2023-04-20 06:49:10,053 INFO t_ofi_cancel_10: 0.5701680385422901 , std 0.8423095514415598 
2023-04-20 06:49:10,053 INFO t_ofi_trade_1: 0.3086305674730528 , std 0.7138397972381196 
2023-04-20 06:49:10,053 INFO t_ofi_trade_2: 0.5952019841252876 , std 0.8199060995971327 
