2023-04-20 07:02:58,523 INFO Tickers: ['RTN']
2023-04-20 07:03:24,879 INFO Negative OS: -0.03877445105178645 --- ticker RTN --- day 2017-12-01 --- time 41400
2023-04-20 07:03:25,134 INFO Negative OS: -0.00012485706448650546 --- ticker RTN --- day 2017-12-01 --- time 43200
2023-04-20 07:03:26,544 INFO Negative OS: -0.358949544909007 --- ticker RTN --- day 2017-12-18 --- time 36000
2023-04-20 07:03:26,824 INFO Negative OS: -0.5181956168128055 --- ticker RTN --- day 2017-12-21 --- time 36000
2023-04-20 07:03:28,596 INFO Negative OS: -0.05455931476851417 --- ticker RTN --- day 2018-01-24 --- time 36000
2023-04-20 07:03:30,270 INFO Negative OS: -0.08949098383387777 --- ticker RTN --- day 2018-02-02 --- time 36000
2023-04-20 07:03:35,964 INFO Negative OS: -0.0866855535926212 --- ticker RTN --- day 2018-02-26 --- time 36000
2023-04-20 07:03:36,160 INFO Negative OS: -0.002241413164690176 --- ticker RTN --- day 2018-02-26 --- time 37800
2023-04-20 07:03:37,462 INFO Negative OS: -0.08608947181392512 --- ticker RTN --- day 2018-03-01 --- time 52200
2023-04-20 07:04:00,845 INFO Negative OS: -0.361630150823373 --- ticker RTN --- day 2018-09-07 --- time 39600
2023-04-20 07:04:06,354 INFO Negative OS: -0.007348520535455094 --- ticker RTN --- day 2018-10-02 --- time 52200
2023-04-20 07:04:09,685 INFO Negative OS: -0.6159205927206628 --- ticker RTN --- day 2018-10-11 --- time 41400
2023-04-20 07:04:12,945 INFO Negative OS: -2.530598516348828 --- ticker RTN --- day 2018-10-17 --- time 36000
2023-04-20 07:04:17,637 INFO Negative OS: -0.25523844432649656 --- ticker RTN --- day 2018-10-22 --- time 45000
2023-04-20 07:04:17,826 INFO Negative OS: -0.10211381026465993 --- ticker RTN --- day 2018-10-22 --- time 46800
2023-04-20 07:04:20,198 INFO Negative OS: -0.0005407474072465224 --- ticker RTN --- day 2018-10-22 --- time 52200
2023-04-20 07:04:21,226 INFO Negative OS: -0.03399108793177841 --- ticker RTN --- day 2018-10-23 --- time 46800
2023-04-20 07:04:21,406 INFO Negative OS: -0.37581514493226886 --- ticker RTN --- day 2018-10-23 --- time 48600
2023-04-20 07:04:24,863 INFO Negative OS: -0.8462506533394598 --- ticker RTN --- day 2018-10-25 --- time 41400
2023-04-20 07:04:25,738 INFO Negative OS: -0.7445719128296859 --- ticker RTN --- day 2018-10-25 --- time 48600
2023-04-20 07:04:30,183 INFO Negative OS: -0.018774947323499713 --- ticker RTN --- day 2018-10-29 --- time 39600
2023-04-20 07:04:36,631 INFO Negative OS: -0.046488204549943735 --- ticker RTN --- day 2018-11-02 --- time 50400
2023-04-20 07:04:42,183 INFO Negative OS: -0.1387958399423137 --- ticker RTN --- day 2018-11-06 --- time 37800
2023-04-20 07:04:47,521 INFO Negative OS: -0.07286893421413998 --- ticker RTN --- day 2018-11-06 --- time 50400
2023-04-20 07:04:48,371 INFO Negative OS: -0.30966769047311304 --- ticker RTN --- day 2018-11-08 --- time 50400
2023-04-20 07:04:49,494 INFO Negative OS: -0.009626929206051127 --- ticker RTN --- day 2018-11-09 --- time 48600
2023-04-20 07:04:52,368 INFO Negative OS: -0.14332098721493214 --- ticker RTN --- day 2018-11-16 --- time 37800
2023-04-20 07:04:56,889 INFO Negative OS: -1.0208109990893224 --- ticker RTN --- day 2018-11-27 --- time 36000
2023-04-20 07:04:57,430 INFO Negative OS: -0.41566182468856017 --- ticker RTN --- day 2018-11-27 --- time 48600
2023-04-20 07:04:59,406 INFO Negative OS: -0.049372157301472486 --- ticker RTN --- day 2018-12-03 --- time 48600
2023-04-20 07:05:12,881 INFO Negative OS: -0.13758370045546453 --- ticker RTN --- day 2018-12-18 --- time 50400
2023-04-20 07:05:15,999 INFO Negative OS: -0.12910274478120298 --- ticker RTN --- day 2018-12-20 --- time 36000
2023-04-20 07:05:18,131 INFO Negative OS: -0.3412215843338453 --- ticker RTN --- day 2018-12-21 --- time 52200
2023-04-20 07:05:33,401 INFO Negative OS: -0.09451413509368667 --- ticker RTN --- day 2019-01-10 --- time 36000
2023-04-20 07:05:37,022 INFO Negative OS: -0.19848183160669297 --- ticker RTN --- day 2019-01-15 --- time 39600
2023-04-20 07:05:37,428 INFO Negative OS: -0.12522269322830848 --- ticker RTN --- day 2019-01-16 --- time 45000
2023-04-20 07:06:00,288 INFO Negative OS: -2.468746219293055 --- ticker RTN --- day 2019-03-04 --- time 48600
2023-04-20 07:06:01,828 INFO Negative OS: -0.006614187914787406 --- ticker RTN --- day 2019-03-04 --- time 50400
2023-04-20 07:06:03,583 INFO Negative OS: -0.11890693171381295 --- ticker RTN --- day 2019-03-04 --- time 52200
2023-04-20 07:06:35,559 INFO Negative OS: -21.73472165113924 --- ticker RTN --- day 2019-10-22 --- time 36000
2023-04-20 07:06:37,738 INFO t_ofi_cancel_3: 1.2538640018069862 , std 1.0548056020862937 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_4: 0.7479485739506356 , std 0.8709128182819483 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_5: 0.4992243772157186 , std 0.7481986915726828 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_6: 0.36369983598556516 , std 0.6643036597506137 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_7: 0.3115877992293259 , std 0.6409380979982768 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_8: 0.2577506924637915 , std 0.6021449547871922 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_9: 0.2666925078747456 , std 0.6041578231890383 
2023-04-20 07:06:37,738 INFO t_ofi_cancel_10: 0.45217769536167746 , std 0.8261357837458659 
2023-04-20 07:06:37,738 INFO t_ofi_trade_1: 1.1048739122206737 , std 1.181341352801626 
2023-04-20 07:06:37,738 INFO t_ofi_trade_2: 0.6456153392268082 , std 0.8972141414166697 
2023-04-20 07:06:37,738 INFO t_ofi_trade_3: 0.500101009714555 , std 0.7936506568529949 
2023-04-20 07:06:37,738 INFO t_ofi_trade_4: 0.38659845472340904 , std 0.6825275094377734 
2023-04-20 07:06:37,738 INFO t_ofi_trade_5: 0.37669718119580864 , std 0.7431162976163528 
2023-04-20 07:06:37,738 INFO t_ofi_trade_6: 0.3932140941048664 , std 0.727269176711899 
2023-04-20 07:06:37,738 INFO t_ofi_trade_7: 0.4821235261382625 , std 0.7715950286296999 
2023-04-20 07:06:37,738 INFO t_ofi_trade_8: 0.5213488875414495 , std 0.7730593213304439 
2023-04-20 07:06:37,738 INFO t_ofi_trade_9: 0.5451798975763184 , std 0.8083542053813799 
2023-04-20 07:06:37,738 INFO t_ofi_trade_10: 0.6726544721154886 , std 0.9199055943461882 
2023-04-20 07:06:37,738 INFO p_intercept: 0.4768382644387642 , std 0.29747595968251855 
2023-04-20 07:06:37,738 INFO p_ofi_add_1: 0.2226023154665286 , std 0.32745603452430605 
2023-04-20 07:06:37,738 INFO p_ofi_add_2: 0.22639300949095667 , std 0.31087182833956045 
2023-04-20 07:06:37,738 INFO p_ofi_add_3: 0.35425926233183685 , std 0.3520196882100824 
2023-04-20 07:06:37,738 INFO p_ofi_add_4: 0.49598627314209764 , std 0.3583759096481362 
2023-04-20 07:06:37,738 INFO p_ofi_add_5: 0.6109920392164558 , std 0.3439931637051086 
2023-04-20 07:06:37,738 INFO p_ofi_add_6: 0.6580210778888524 , std 0.3277571618934792 
2023-04-20 07:06:37,738 INFO p_ofi_add_7: 0.6709763920530444 , std 0.32591355338096106 
2023-04-20 07:06:37,738 INFO p_ofi_add_8: 0.7091551020335036 , std 0.30895519715714953 
2023-04-20 07:06:37,738 INFO p_ofi_add_9: 0.7040525703067335 , std 0.31300432791052174 
2023-04-20 07:06:37,738 INFO p_ofi_add_10: 0.6632130296094927 , std 0.34178501803848427 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_1: 0.2347224320179551 , std 0.3401990444359384 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_2: 0.228047356802624 , std 0.3164529869903908 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_3: 0.3931253169434536 , std 0.37158286151180414 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_4: 0.5484749561143988 , std 0.36372401283372285 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_5: 0.6641082437872903 , std 0.33923266712574995 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_6: 0.7191575541406245 , std 0.3142213139357487 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_7: 0.7388843793738218 , std 0.3113860064556973 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_8: 0.7610210893754166 , std 0.29791140787063813 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_9: 0.7666007996547684 , std 0.29984884905509857 
2023-04-20 07:06:37,738 INFO p_ofi_cancel_10: 0.6853401572129584 , std 0.3423535368331814 
2023-04-20 07:06:37,738 INFO p_ofi_trade_1: 0.4891591056417895 , std 0.4110231846083627 
2023-04-20 07:06:37,738 INFO p_ofi_trade_2: 0.6274820649333563 , std 0.3781998726451966 
2023-04-20 07:06:37,738 INFO p_ofi_trade_3: 0.6902962161633566 , std 0.35944113096283464 
2023-04-20 07:06:37,738 INFO p_ofi_trade_4: 0.7357976814622815 , std 0.33454976483357285 
2023-04-20 07:06:37,738 INFO p_ofi_trade_5: 0.7374951739011384 , std 0.33994283511637347 
2023-04-20 07:06:37,738 INFO p_ofi_trade_6: 0.7332124605178298 , std 0.3388289122350569 
2023-04-20 07:06:37,738 INFO p_ofi_trade_7: 0.7116492712385238 , std 0.3576853220465673 
2023-04-20 07:06:37,738 INFO p_ofi_trade_8: 0.6929370435362412 , std 0.35712383394146663 
2023-04-20 07:06:37,738 INFO p_ofi_trade_9: 0.6760968842683073 , std 0.3654938181462789 
2023-04-20 07:06:37,738 INFO p_ofi_trade_10: 0.6355146461016837 , std 0.38451320222654944 
