2023-04-20 06:49:10,061 INFO Tickers: ['TJX']
2023-04-20 06:50:14,063 INFO Negative OS: -0.02280571432590972 --- ticker TJX --- day 2017-05-16 --- time 41400
2023-04-20 06:51:42,224 INFO Negative OS: -0.07578648890423012 --- ticker TJX --- day 2018-02-08 --- time 48600
2023-04-20 06:51:49,341 INFO Negative OS: -0.1178072472328564 --- ticker TJX --- day 2018-02-14 --- time 46800
2023-04-20 06:56:26,136 INFO Negative OS: -3.0437380945593606 --- ticker TJX --- day 2019-09-26 --- time 36000
2023-04-20 06:57:02,704 INFO Negative OS: -9.575868884553135 --- ticker TJX --- day 2019-10-30 --- time 48600
2023-04-20 06:57:48,272 INFO t_ofi_cancel_3: 2.2010614727093283 , std 1.6752579211775325 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_4: 2.2481200433239756 , std 1.930276683339775 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_5: 1.961693774528376 , std 1.878109670125754 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_6: 1.8990756395889168 , std 1.980334129756201 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_7: 1.5183841475940536 , std 1.6785927865706791 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_8: 1.1650327619546288 , std 1.469484820845729 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_9: 0.9350024197168808 , std 1.3003222079996468 
2023-04-20 06:57:48,272 INFO t_ofi_cancel_10: 0.8381102225084927 , std 1.3017152658192483 
2023-04-20 06:57:48,272 INFO t_ofi_trade_1: 0.40374041666371235 , std 0.8256283606802097 
2023-04-20 06:57:48,272 INFO t_ofi_trade_2: 1.5810106700266429 , std 1.6262412921349416 
2023-04-20 06:57:48,272 INFO t_ofi_trade_3: 1.636612249577756 , std 1.7115096696964693 
2023-04-20 06:57:48,272 INFO t_ofi_trade_4: 1.7368959168427194 , std 1.7918570971645653 
2023-04-20 06:57:48,272 INFO t_ofi_trade_5: 1.6367930186852078 , std 1.7160749718905615 
2023-04-20 06:57:48,272 INFO t_ofi_trade_6: 1.547521197323341 , std 1.6848170367892514 
2023-04-20 06:57:48,272 INFO t_ofi_trade_7: 1.367897314652518 , std 1.5647029701124064 
2023-04-20 06:57:48,272 INFO t_ofi_trade_8: 1.0540833926682256 , std 1.3113228457001462 
2023-04-20 06:57:48,272 INFO t_ofi_trade_9: 0.8655519372167797 , std 1.2260851297790196 
2023-04-20 06:57:48,272 INFO t_ofi_trade_10: 0.807407979437093 , std 1.2329437748253622 
