2023-04-20 06:30:03,378 INFO Tickers: ['CVS']
2023-04-20 06:31:10,204 INFO Negative OS: -245.17178968235015 --- ticker CVS --- day 2017-05-01 --- time 52200
2023-04-20 06:32:35,271 INFO Negative OS: -0.004393403507733318 --- ticker CVS --- day 2017-11-28 --- time 50400
2023-04-20 06:32:36,968 INFO Negative OS: -0.04149466465447782 --- ticker CVS --- day 2017-11-30 --- time 46800
2023-04-20 06:32:44,930 INFO Negative OS: -0.002120189792414351 --- ticker CVS --- day 2017-12-13 --- time 46800
2023-04-20 06:33:11,115 INFO Negative OS: -0.8901444577179616 --- ticker CVS --- day 2018-02-08 --- time 46800
2023-04-20 06:33:18,135 INFO Negative OS: -0.013292136033201674 --- ticker CVS --- day 2018-02-16 --- time 37800
2023-04-20 06:33:27,365 INFO Negative OS: -0.2965950022956372 --- ticker CVS --- day 2018-03-02 --- time 41400
2023-04-20 06:33:54,077 INFO Negative OS: -0.0011366125852136921 --- ticker CVS --- day 2018-04-19 --- time 43200
2023-04-20 06:34:08,620 INFO Negative OS: -0.5644675934769041 --- ticker CVS --- day 2018-05-22 --- time 36000
2023-04-20 06:34:08,702 INFO Negative OS: -1.3848983433675728 --- ticker CVS --- day 2018-05-22 --- time 37800
2023-04-20 06:34:10,417 INFO Negative OS: -0.004930410299065491 --- ticker CVS --- day 2018-05-29 --- time 39600
2023-04-20 06:36:30,901 INFO Negative OS: -0.7812958265664707 --- ticker CVS --- day 2019-02-06 --- time 50400
2023-04-20 06:39:16,161 INFO Negative OS: -0.7583966540891618 --- ticker CVS --- day 2019-10-30 --- time 36000
2023-04-20 06:39:49,214 INFO t_ofi_add_4: 2.2427563593828532 , std 1.762207072187554 
2023-04-20 06:39:49,214 INFO t_ofi_add_5: 2.110245745666133 , std 1.8854044036647757 
2023-04-20 06:39:49,214 INFO t_ofi_add_6: 2.1624140871820843 , std 1.9655095076128821 
2023-04-20 06:39:49,214 INFO t_ofi_add_7: 1.925495910472442 , std 1.783603411899341 
2023-04-20 06:39:49,214 INFO t_ofi_add_8: 1.6403411956379068 , std 1.7376606039703442 
2023-04-20 06:39:49,214 INFO t_ofi_add_9: 1.5322153427586418 , std 1.6785025610348767 
2023-04-20 06:39:49,214 INFO t_ofi_add_10: 1.6357613331367176 , std 1.8671395600776657 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_1: 1.147575534272784 , std 1.2770091109523627 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_2: 2.038578491711023 , std 1.3673807196112262 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_3: 2.0782977859324445 , std 1.5192079261023026 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_4: 2.0163162173282836 , std 1.6615524155926458 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_5: 1.861931628552234 , std 1.719809975616817 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_6: 1.8504733853798472 , std 1.7713490943255294 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_7: 1.5806685811866668 , std 1.6212836339016847 
2023-04-20 06:39:49,214 INFO t_ofi_cancel_8: 1.391417882223068 , std 1.536682189825663 
