2023-04-20 05:15:48,027 INFO Tickers: ['PG']
2023-04-20 05:22:37,373 INFO Negative OS: -0.06099368718007825 --- ticker PG --- day 2018-12-19 --- time 48600
2023-04-20 05:23:02,052 INFO Negative OS: -1.8643400852601064 --- ticker PG --- day 2019-01-30 --- time 48600
2023-04-20 05:25:24,393 INFO Negative OS: -2.5727175706175656 --- ticker PG --- day 2019-09-06 --- time 45000
2023-04-20 05:25:29,220 INFO Negative OS: -0.0008223586516802328 --- ticker PG --- day 2019-09-06 --- time 46800
2023-04-20 05:25:41,383 INFO Negative OS: -0.5772652636829161 --- ticker PG --- day 2019-09-26 --- time 48600
2023-04-20 05:25:57,366 INFO Negative OS: -13.571422964896461 --- ticker PG --- day 2019-10-24 --- time 48600
2023-04-20 05:26:05,607 INFO Negative OS: -0.07234269409177863 --- ticker PG --- day 2019-10-30 --- time 43200
2023-04-20 05:26:38,232 INFO t_ofi_cancel_1: 0.6592525559187843 , std 0.9520998880638745 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_2: 1.484268092369303 , std 1.1829724865694236 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_3: 1.7197348680176074 , std 1.2642382413466886 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_4: 1.631021779149815 , std 1.2572145157508718 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_5: 1.4877572704281916 , std 1.1810308706728294 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_6: 1.2622317370612002 , std 1.1278720851196353 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_7: 1.1471694051724621 , std 1.1436322699992105 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_8: 0.9695671786659695 , std 1.0626209599635508 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_9: 0.8321569385401784 , std 1.0152923233150755 
2023-04-20 05:26:38,232 INFO t_ofi_cancel_10: 0.7994561321210439 , std 1.1024249117198692 
2023-04-20 05:26:38,232 INFO t_ofi_trade_1: 0.21041641040707357 , std 0.6648059894849929 
2023-04-20 05:26:38,232 INFO t_ofi_trade_2: 0.8488360188807416 , std 1.0218282253851407 
2023-04-20 05:26:38,232 INFO t_ofi_trade_3: 1.151165658542776 , std 1.0850106320325024 
2023-04-20 05:26:38,232 INFO t_ofi_trade_4: 1.1712671735947433 , std 1.1159309268520183 
2023-04-20 05:26:38,232 INFO t_ofi_trade_5: 1.1168762422344982 , std 1.0908102269758384 
2023-04-20 05:26:38,232 INFO t_ofi_trade_6: 1.016652617534806 , std 1.0695491779315316 
2023-04-20 05:26:38,232 INFO t_ofi_trade_7: 1.021427077137398 , std 1.1012488149315012 
2023-04-20 05:26:38,232 INFO t_ofi_trade_8: 0.7840319494709879 , std 0.9654809933557569 
2023-04-20 05:26:38,232 INFO t_ofi_trade_9: 0.66581966505007 , std 0.9313818661512844 
2023-04-20 05:26:38,232 INFO t_ofi_trade_10: 0.6715695275647673 , std 1.0011703355200599 
2023-04-20 05:26:38,232 INFO p_intercept: 0.530805812000872 , std 0.27818358661810705 
2023-04-20 05:26:38,232 INFO p_ofi_add_1: 0.4287589540973008 , std 0.3578701748695491 
2023-04-20 05:26:38,232 INFO p_ofi_add_2: 0.3002047571874783 , std 0.33281211852546916 
2023-04-20 05:26:38,232 INFO p_ofi_add_3: 0.23360500360375772 , std 0.3068102989278722 
