2023-04-20 06:50:07,067 INFO Tickers: ['BDX']
2023-04-20 06:50:15,755 INFO Negative OS: -0.0007352147464212422 --- ticker BDX --- day 2017-03-22 --- time 39600
2023-04-20 06:50:32,221 INFO Negative OS: -0.40254632325001505 --- ticker BDX --- day 2017-12-01 --- time 39600
2023-04-20 06:50:36,721 INFO Negative OS: -0.1360580916276155 --- ticker BDX --- day 2018-02-09 --- time 52200
2023-04-20 06:50:37,631 INFO Negative OS: -0.7262862713518559 --- ticker BDX --- day 2018-03-01 --- time 52200
2023-04-20 06:50:41,850 INFO Negative OS: -1.1992655289829668 --- ticker BDX --- day 2018-05-21 --- time 52200
2023-04-20 06:50:48,186 INFO Negative OS: -0.31787427968080806 --- ticker BDX --- day 2018-08-22 --- time 36000
2023-04-20 06:50:53,147 INFO Negative OS: -0.2999970742451419 --- ticker BDX --- day 2018-10-08 --- time 45000
2023-04-20 06:50:53,474 INFO Negative OS: -0.46869641335617307 --- ticker BDX --- day 2018-10-08 --- time 50400
2023-04-20 06:50:56,144 INFO Negative OS: -0.23077408717986558 --- ticker BDX --- day 2018-10-12 --- time 52200
2023-04-20 06:50:59,058 INFO Negative OS: -1.395221618127343 --- ticker BDX --- day 2018-10-17 --- time 41400
2023-04-20 06:51:00,707 INFO Negative OS: -0.0067551639343761405 --- ticker BDX --- day 2018-10-19 --- time 50400
2023-04-20 06:51:15,205 INFO Negative OS: -0.003046832959623824 --- ticker BDX --- day 2018-10-26 --- time 41400
2023-04-20 06:51:17,569 INFO Negative OS: -1.619587975765925 --- ticker BDX --- day 2018-10-26 --- time 48600
2023-04-20 06:51:22,708 INFO Negative OS: -0.8789942309221088 --- ticker BDX --- day 2018-11-02 --- time 41400
2023-04-20 06:51:35,126 INFO Negative OS: -0.0821312440683557 --- ticker BDX --- day 2018-11-16 --- time 36000
2023-04-20 06:51:35,547 INFO Negative OS: -0.6696178118755081 --- ticker BDX --- day 2018-11-16 --- time 39600
2023-04-20 06:51:36,167 INFO Negative OS: -0.1607982670401784 --- ticker BDX --- day 2018-11-16 --- time 41400
2023-04-20 06:51:39,091 INFO Negative OS: -0.8302297856551566 --- ticker BDX --- day 2018-11-20 --- time 45000
2023-04-20 06:51:42,620 INFO Negative OS: -2.1035726436681137 --- ticker BDX --- day 2018-11-27 --- time 45000
2023-04-20 06:51:45,265 INFO Negative OS: -0.09428353678862056 --- ticker BDX --- day 2018-12-04 --- time 48600
2023-04-20 06:51:48,134 INFO Negative OS: -0.20038833534925438 --- ticker BDX --- day 2018-12-07 --- time 37800
2023-04-20 06:51:51,821 INFO Negative OS: -0.8164239048237176 --- ticker BDX --- day 2018-12-13 --- time 37800
2023-04-20 06:51:52,290 INFO Negative OS: -0.26746195687447893 --- ticker BDX --- day 2018-12-13 --- time 41400
2023-04-20 06:51:52,426 INFO Negative OS: -1.0238203153978915 --- ticker BDX --- day 2018-12-13 --- time 43200
2023-04-20 06:51:54,232 INFO Negative OS: -0.09193121805101656 --- ticker BDX --- day 2018-12-17 --- time 43200
2023-04-20 06:51:54,745 INFO Negative OS: -0.33721988244997503 --- ticker BDX --- day 2018-12-17 --- time 52200
2023-04-20 06:51:55,679 INFO Negative OS: -0.00984654488207326 --- ticker BDX --- day 2018-12-18 --- time 52200
2023-04-20 06:51:56,089 INFO Negative OS: -0.6472268789561249 --- ticker BDX --- day 2018-12-19 --- time 45000
2023-04-20 06:51:56,572 INFO Negative OS: -0.0020850736378261736 --- ticker BDX --- day 2018-12-19 --- time 46800
2023-04-20 06:52:00,695 INFO Negative OS: -0.08448104840711057 --- ticker BDX --- day 2018-12-20 --- time 41400
2023-04-20 06:52:02,798 INFO Negative OS: -0.3690998697956631 --- ticker BDX --- day 2018-12-20 --- time 50400
2023-04-20 06:52:07,201 INFO Negative OS: -0.61738962075673 --- ticker BDX --- day 2018-12-21 --- time 52200
2023-04-20 06:52:10,745 INFO Negative OS: -0.4777852407294718 --- ticker BDX --- day 2018-12-27 --- time 39600
2023-04-20 06:52:11,405 INFO Negative OS: -0.03931552233217839 --- ticker BDX --- day 2018-12-27 --- time 41400
2023-04-20 06:52:13,427 INFO Negative OS: -0.00317711493653694 --- ticker BDX --- day 2018-12-27 --- time 45000
2023-04-20 06:52:16,210 INFO Negative OS: -0.31364532436976855 --- ticker BDX --- day 2018-12-28 --- time 41400
2023-04-20 06:52:19,507 INFO Negative OS: -0.44616421037481224 --- ticker BDX --- day 2019-01-03 --- time 37800
2023-04-20 06:52:21,734 INFO Negative OS: -0.3314118492437754 --- ticker BDX --- day 2019-01-04 --- time 39600
2023-04-20 06:52:31,071 INFO Negative OS: -1.2759279947794555 --- ticker BDX --- day 2019-01-17 --- time 37800
2023-04-20 06:52:38,225 INFO Negative OS: -1.2997412803584054 --- ticker BDX --- day 2019-03-07 --- time 41400
2023-04-20 06:52:38,527 INFO Negative OS: -0.14689255368440457 --- ticker BDX --- day 2019-03-07 --- time 45000
2023-04-20 06:52:58,233 INFO Negative OS: -10.35270841412516 --- ticker BDX --- day 2019-06-21 --- time 37800
2023-04-20 06:53:10,222 INFO Negative OS: -0.7838197786146315 --- ticker BDX --- day 2019-08-22 --- time 39600
2023-04-20 06:53:17,505 INFO t_ofi_cancel_7: 0.27161017895454787 , std 0.6191841639365983 
2023-04-20 06:53:17,505 INFO t_ofi_cancel_8: 0.1783479300887828 , std 0.5631549797444311 
2023-04-20 06:53:17,505 INFO t_ofi_cancel_9: 0.22329979676148515 , std 0.6402995724460016 
2023-04-20 06:53:17,505 INFO t_ofi_cancel_10: 0.36979885270214685 , std 0.7433352432164547 
2023-04-20 06:53:17,505 INFO t_ofi_trade_1: 1.1015879525261316 , std 1.2141868273015202 
2023-04-20 06:53:17,505 INFO t_ofi_trade_2: 0.5234736309419129 , std 0.828732262981501 
2023-04-20 06:53:17,505 INFO t_ofi_trade_3: 0.4212932279999282 , std 0.7523791761442568 
2023-04-20 06:53:17,505 INFO t_ofi_trade_4: 0.3204958748676288 , std 0.6878821565241943 
2023-04-20 06:53:17,505 INFO t_ofi_trade_5: 0.33632423683166085 , std 0.6820621904233568 
2023-04-20 06:53:17,505 INFO t_ofi_trade_6: 0.35715966411990074 , std 0.6845915808346108 
2023-04-20 06:53:17,505 INFO t_ofi_trade_7: 0.3288067022425686 , std 0.7100325541516551 
2023-04-20 06:53:17,505 INFO t_ofi_trade_8: 0.3659120320334297 , std 0.7370133741025211 
2023-04-20 06:53:17,505 INFO t_ofi_trade_9: 0.4160578518660291 , std 0.7379408825773154 
2023-04-20 06:53:17,505 INFO t_ofi_trade_10: 0.5668994559271359 , std 0.8911467409056842 
2023-04-20 06:53:17,505 INFO p_intercept: 0.482124231010861 , std 0.28951112468433926 
2023-04-20 06:53:17,505 INFO p_ofi_add_1: 0.21183235117723637 , std 0.3075137291273877 
2023-04-20 06:53:17,505 INFO p_ofi_add_2: 0.24144915133658162 , std 0.3200961034959305 
2023-04-20 06:53:17,505 INFO p_ofi_add_3: 0.3588928775551278 , std 0.35895094091142876 
2023-04-20 06:53:17,505 INFO p_ofi_add_4: 0.5496449361011562 , std 0.36809462558618644 
2023-04-20 06:53:17,505 INFO p_ofi_add_5: 0.6379333109169586 , std 0.34828614413131287 
2023-04-20 06:53:17,505 INFO p_ofi_add_6: 0.6987141971946565 , std 0.31870122488979336 
2023-04-20 06:53:17,505 INFO p_ofi_add_7: 0.7116584919877017 , std 0.3195335195177903 
2023-04-20 06:53:17,505 INFO p_ofi_add_8: 0.7406275538855949 , std 0.2968950972846532 
2023-04-20 06:53:17,505 INFO p_ofi_add_9: 0.758070821967037 , std 0.2942357489266716 
2023-04-20 06:53:17,505 INFO p_ofi_add_10: 0.7171471574982946 , std 0.31875608627424745 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_1: 0.2809713137521204 , std 0.35328076247068674 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_2: 0.21034291202671007 , std 0.3015558794601272 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_3: 0.3924830113928468 , std 0.37392971670356334 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_4: 0.5799809768286818 , std 0.3785383819233924 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_5: 0.6880730419793124 , std 0.33909514427958654 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_6: 0.7306562197671647 , std 0.3184115811078605 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_7: 0.7572145993421064 , std 0.3052333353514056 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_8: 0.7994407128731287 , std 0.27634399999608905 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_9: 0.7805322430126284 , std 0.2924811313873189 
2023-04-20 06:53:17,505 INFO p_ofi_cancel_10: 0.7258435940486417 , std 0.32362130123671284 
2023-04-20 06:53:17,505 INFO p_ofi_trade_1: 0.48766605279821296 , std 0.4085868723206571 
2023-04-20 06:53:17,505 INFO p_ofi_trade_2: 0.6712539031803892 , std 0.3727531264840424 
2023-04-20 06:53:17,505 INFO p_ofi_trade_3: 0.727785825404238 , std 0.3500882636882944 
2023-04-20 06:53:17,505 INFO p_ofi_trade_4: 0.7577062433366385 , std 0.33356982965275084 
2023-04-20 06:53:17,505 INFO p_ofi_trade_5: 0.7584435073628625 , std 0.33019390401787 
2023-04-20 06:53:17,505 INFO p_ofi_trade_6: 0.7516800271954928 , std 0.33340064382742907 
2023-04-20 06:53:17,505 INFO p_ofi_trade_7: 0.7602493338071841 , std 0.3314069687074321 
2023-04-20 06:53:17,505 INFO p_ofi_trade_8: 0.7525794102130682 , std 0.3404131254819375 
2023-04-20 06:53:17,505 INFO p_ofi_trade_9: 0.7403320100865144 , std 0.3408712949747506 
2023-04-20 06:53:17,505 INFO p_ofi_trade_10: 0.6759571854838933 , std 0.3777225340207052 
