2023-04-20 06:35:26,354 INFO Tickers: ['MO']
2023-04-20 06:36:04,283 INFO Negative OS: -0.1533485741237992 --- ticker MO --- day 2017-03-15 --- time 48600
2023-04-20 06:39:02,722 INFO Negative OS: -0.03865832108692557 --- ticker MO --- day 2018-03-09 --- time 41400
2023-04-20 06:39:07,232 INFO Negative OS: -0.038778563333723426 --- ticker MO --- day 2018-03-09 --- time 43200
2023-04-20 06:44:59,129 INFO Negative OS: -2.1464597866843245 --- ticker MO --- day 2019-11-21 --- time 36000
2023-04-20 06:45:16,717 INFO in_r2: 0.9756666852304046 , std 0.02781056104440222 
2023-04-20 06:45:16,717 INFO os_r2: 0.9536952414857698 , std 0.066589992706286 
2023-04-20 06:45:16,717 INFO intercept: 1.5647794597518712e-07 , std 5.906840166268344e-06 
2023-04-20 06:45:16,717 INFO ofi_add_1: 4.1430766463206266e-05 , std 3.947213632095178e-05 
2023-04-20 06:45:16,717 INFO ofi_add_2: 7.924608978684275e-05 , std 4.8348715807568884e-05 
2023-04-20 06:45:16,717 INFO ofi_add_3: 9.142308238543385e-05 , std 5.13739139853988e-05 
2023-04-20 06:45:16,717 INFO ofi_add_4: 0.00010876520979783753 , std 6.03137620075608e-05 
2023-04-20 06:45:16,717 INFO ofi_add_5: 9.355296047315308e-05 , std 5.920200693494506e-05 
2023-04-20 06:45:16,717 INFO ofi_add_6: 9.903551312035681e-05 , std 6.230559275513707e-05 
2023-04-20 06:45:16,717 INFO ofi_add_7: 8.790561563372936e-05 , std 6.35932537777537e-05 
2023-04-20 06:45:16,717 INFO ofi_add_8: 7.044914316535335e-05 , std 6.158968042641558e-05 
2023-04-20 06:45:16,717 INFO ofi_add_9: 6.442631079970739e-05 , std 6.098850205321437e-05 
2023-04-20 06:45:16,717 INFO ofi_add_10: 6.080595040067113e-05 , std 6.220642725800466e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_1: 2.7870511199355618e-05 , std 3.8534738879680585e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_2: 7.15500103387792e-05 , std 5.105465902827831e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_3: 9.1449441604591e-05 , std 5.5030463524554046e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_4: 0.00010923067631936779 , std 6.656985968700837e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_5: 9.626078818470311e-05 , std 6.63746994854285e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_6: 0.00010006733778198216 , std 7.074755849133726e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_7: 8.320132483952433e-05 , std 7.060817594768901e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_8: 7.073321228211818e-05 , std 7.031836258294937e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_9: 6.337429118090714e-05 , std 6.952450876843738e-05 
2023-04-20 06:45:16,717 INFO ofi_cancel_10: 5.521458491207906e-05 , std 6.812619116024228e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_1: 2.1827090971395208e-05 , std 5.5133742496333374e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_2: 7.948394242120193e-05 , std 6.730534933481085e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_3: 9.745007989501177e-05 , std 7.209000380243293e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_4: 0.000101793854715082 , std 7.492782213345308e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_5: 9.706880315591496e-05 , std 7.549843735608875e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_6: 9.108593767313887e-05 , std 7.623340295916487e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_7: 8.232974827848569e-05 , std 8.03757959796533e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_8: 6.971600743951021e-05 , std 7.541847535011501e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_9: 6.0331685713350185e-05 , std 7.245059581582154e-05 
2023-04-20 06:45:16,717 INFO ofi_trade_10: 6.090815451187779e-05 , std 7.406129299320494e-05 
2023-04-20 06:45:16,717 INFO t_intercept: 0.020838655762744736 , std 1.0153452213050624 
2023-04-20 06:45:16,717 INFO t_ofi_add_1: 1.8337009810708487 , std 1.4497443730913686 
2023-04-20 06:45:16,717 INFO t_ofi_add_2: 2.863983507188258 , std 1.9025683841462957 
2023-04-20 06:45:16,717 INFO t_ofi_add_3: 3.151716224159602 , std 2.1207378906609167 
2023-04-20 06:45:16,718 INFO t_ofi_add_4: 3.400571206915928 , std 2.3585461338413998 
2023-04-20 06:45:16,718 INFO t_ofi_add_5: 2.8698913794915577 , std 2.40881792437643 
2023-04-20 06:45:16,718 INFO t_ofi_add_6: 2.830915108555465 , std 2.405819272769865 
2023-04-20 06:45:16,718 INFO t_ofi_add_7: 2.3902946147921584 , std 2.245791317981171 
2023-04-20 06:45:16,718 INFO t_ofi_add_8: 1.8887003436474008 , std 2.084269341286151 
2023-04-20 06:45:16,718 INFO t_ofi_add_9: 1.7252203763217342 , std 2.0208404252834 
2023-04-20 06:45:16,718 INFO t_ofi_add_10: 1.7533434092751172 , std 2.1672464047593762 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_1: 1.0339169178129777 , std 1.2241310475691194 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_2: 2.3939886786835722 , std 1.6839935879695114 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_3: 2.7217650440204313 , std 1.8319135792850578 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_4: 2.9480397459330603 , std 2.067148113623013 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_5: 2.481806196286577 , std 2.066587313228703 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_6: 2.432084334939676 , std 2.132977986014777 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_7: 1.964283869747881 , std 1.9868851142995192 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_8: 1.5723955334730824 , std 1.8080485711720642 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_9: 1.4144581085002785 , std 1.7443548472557127 
2023-04-20 06:45:16,718 INFO t_ofi_cancel_10: 1.388239807972617 , std 1.898530517795204 
2023-04-20 06:45:16,718 INFO t_ofi_trade_1: 0.40552130208994475 , std 0.9137157374844807 
2023-04-20 06:45:16,718 INFO t_ofi_trade_2: 1.885415507458377 , std 1.713154607776095 
2023-04-20 06:45:16,718 INFO t_ofi_trade_3: 2.281424168878493 , std 1.922992127994837 
2023-04-20 06:45:16,718 INFO t_ofi_trade_4: 2.3346664134733244 , std 2.0656816540084546 
2023-04-20 06:45:16,718 INFO t_ofi_trade_5: 2.1754373661056485 , std 2.116838149954898 
2023-04-20 06:45:16,718 INFO t_ofi_trade_6: 1.9751259725889563 , std 2.051501146955863 
2023-04-20 06:45:16,718 INFO t_ofi_trade_7: 1.6951173421839458 , std 1.898469759866372 
2023-04-20 06:45:16,718 INFO t_ofi_trade_8: 1.4445726109774084 , std 1.8081066182042875 
2023-04-20 06:45:16,718 INFO t_ofi_trade_9: 1.294090165345653 , std 1.735623118122501 
2023-04-20 06:45:16,718 INFO t_ofi_trade_10: 1.4068466668948851 , std 1.946716105176027 
2023-04-20 06:45:16,718 INFO p_intercept: 0.5014993520580768 , std 0.28823558211387873 
2023-04-20 06:45:16,718 INFO p_ofi_add_1: 0.2637780115923083 , std 0.32876876376609465 
2023-04-20 06:45:16,718 INFO p_ofi_add_2: 0.14365000784512866 , std 0.2637634851087449 
2023-04-20 06:45:16,718 INFO p_ofi_add_3: 0.12383278855300447 , std 0.24791237445137343 
2023-04-20 06:45:16,718 INFO p_ofi_add_4: 0.12735558301320024 , std 0.2561224104533556 
2023-04-20 06:45:16,718 INFO p_ofi_add_5: 0.18656352488252415 , std 0.30005842192737986 
2023-04-20 06:45:16,718 INFO p_ofi_add_6: 0.20198361977416207 , std 0.31472725325718204 
2023-04-20 06:45:16,718 INFO p_ofi_add_7: 0.27574824445539087 , std 0.3591949120475201 
2023-04-20 06:45:16,718 INFO p_ofi_add_8: 0.37632264179097047 , std 0.3969779625792647 
2023-04-20 06:45:16,718 INFO p_ofi_add_9: 0.413378717837804 , std 0.40231487041122105 
2023-04-20 06:45:16,718 INFO p_ofi_add_10: 0.42882435422135745 , std 0.4111249956384874 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_1: 0.4858397838863077 , std 0.39477759226547526 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_2: 0.19730913403060465 , std 0.3106955741880037 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_3: 0.15593130198188826 , std 0.2788377277937453 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_4: 0.15711845773090918 , std 0.28629336619976886 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_5: 0.22564460795744504 , std 0.33217255642609544 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_6: 0.2543834688758602 , std 0.3518574227854231 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_7: 0.3523472532556762 , std 0.39896175370183595 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_8: 0.4362668045763264 , std 0.41554689199466754 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_9: 0.4820172481197296 , std 0.42121367806920096 
2023-04-20 06:45:16,718 INFO p_ofi_cancel_10: 0.5173730329715808 , std 0.43196381449473453 
2023-04-20 06:45:16,718 INFO p_ofi_trade_1: 0.7613830109918717 , std 0.3598817605501979 
2023-04-20 06:45:16,718 INFO p_ofi_trade_2: 0.31737961713218654 , std 0.37939438714330526 
2023-04-20 06:45:16,719 INFO p_ofi_trade_3: 0.24941937631346248 , std 0.348179651862838 
2023-04-20 06:45:16,719 INFO p_ofi_trade_4: 0.26337374970507815 , std 0.35900587269313206 
2023-04-20 06:45:16,719 INFO p_ofi_trade_5: 0.297806133987127 , std 0.37416593780479496 
2023-04-20 06:45:16,719 INFO p_ofi_trade_6: 0.35104882528084297 , std 0.39813975735825735 
2023-04-20 06:45:16,719 INFO p_ofi_trade_7: 0.41411865240713436 , std 0.41643190916358525 
