2023-04-20 05:48:55,475 INFO Tickers: ['PEP']
2023-04-20 05:49:56,088 INFO Negative OS: -0.024574892048404795 --- ticker PEP --- day 2017-04-06 --- time 46800
2023-04-20 05:52:09,540 INFO Negative OS: -2.6448969800377893 --- ticker PEP --- day 2018-02-21 --- time 52200
2023-04-20 05:52:19,848 INFO Negative OS: -1.0703678055010286 --- ticker PEP --- day 2018-03-08 --- time 43200
2023-04-20 05:52:25,841 INFO Negative OS: -8.378975742112065 --- ticker PEP --- day 2018-03-15 --- time 37800
2023-04-20 05:52:49,985 INFO Negative OS: -0.31087002535891606 --- ticker PEP --- day 2018-04-26 --- time 50400
2023-04-20 05:53:29,012 INFO Negative OS: -0.026959314758829178 --- ticker PEP --- day 2018-07-17 --- time 50400
2023-04-20 05:56:54,224 INFO Negative OS: -0.0759436469751793 --- ticker PEP --- day 2019-07-22 --- time 45000
2023-04-20 05:57:36,328 INFO Negative OS: -0.13785105650309148 --- ticker PEP --- day 2019-10-02 --- time 52200
2023-04-20 05:58:25,893 INFO Negative OS: -0.14379468946019625 --- ticker PEP --- day 2019-12-06 --- time 46800
2023-04-20 05:58:39,995 INFO t_ofi_add_8: 0.9468341244601125 , std 0.9366212378403839 
2023-04-20 05:58:39,995 INFO t_ofi_add_9: 0.8618395749213201 , std 0.8914657986298611 
2023-04-20 05:58:39,995 INFO t_ofi_add_10: 0.9449634754716172 , std 1.0364927393375851 
2023-04-20 05:58:39,995 INFO t_ofi_cancel_1: 1.0367877790562028 , std 1.0802957396716022 
2023-04-20 05:58:39,995 INFO t_ofi_cancel_2: 1.462198572149735 , std 1.1628101305515837 
2023-04-20 05:58:39,995 INFO t_ofi_cancel_3: 1.24119794136495 , std 1.0179925783418082 
2023-04-20 05:58:39,995 INFO t_ofi_cancel_4: 1.1834893541895681 , std 0.9915086792577322 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_5: 0.9731372187342759 , std 0.9313713905808121 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_6: 0.8919911698404553 , std 0.9149004406001978 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_7: 0.7288102869724616 , std 0.8509718973274857 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_8: 0.7573035009288326 , std 0.8970712889683501 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_9: 0.70494107952045 , std 0.8642814984856201 
2023-04-20 05:58:39,996 INFO t_ofi_cancel_10: 0.8395471910018024 , std 1.0054851938713698 
2023-04-20 05:58:39,996 INFO t_ofi_trade_1: 0.4126906279148681 , std 0.801164032443187 
2023-04-20 05:58:39,996 INFO t_ofi_trade_2: 0.653939490141961 , std 0.8589310156098686 
2023-04-20 05:58:39,996 INFO t_ofi_trade_3: 0.7900501042699682 , std 0.8798687753638442 
2023-04-20 05:58:39,996 INFO t_ofi_trade_4: 0.8212850357539664 , std 0.8899433679450621 
2023-04-20 05:58:39,996 INFO t_ofi_trade_5: 0.8050565683933834 , std 0.8822255180287565 
2023-04-20 05:58:39,996 INFO t_ofi_trade_6: 0.7432322858770855 , std 0.8635961366727923 
2023-04-20 05:58:39,996 INFO t_ofi_trade_7: 0.7071751236408287 , std 0.8531097666953139 
2023-04-20 05:58:39,996 INFO t_ofi_trade_8: 0.762683698502951 , std 0.8807615169635546 
2023-04-20 05:58:39,996 INFO t_ofi_trade_9: 0.7073187013004706 , std 0.8595499758972825 
2023-04-20 05:58:39,996 INFO t_ofi_trade_10: 0.7621596837491986 , std 0.9384211798174187 
2023-04-20 05:58:39,996 INFO p_intercept: 0.5222523074424826 , std 0.28234800601330673 
2023-04-20 05:58:39,996 INFO p_ofi_add_1: 0.3418227877566457 , std 0.3515769279919872 
2023-04-20 05:58:39,996 INFO p_ofi_add_2: 0.33072200667660256 , std 0.3424243230892101 
2023-04-20 05:58:39,996 INFO p_ofi_add_3: 0.35142683886311776 , std 0.3449259955833027 
2023-04-20 05:58:39,996 INFO p_ofi_add_4: 0.3762683425546736 , std 0.34732940618658054 
2023-04-20 05:58:39,996 INFO p_ofi_add_5: 0.41556314150590695 , std 0.3524177910634005 
2023-04-20 05:58:39,996 INFO p_ofi_add_6: 0.4408595468888269 , std 0.35191653647263527 
2023-04-20 05:58:39,996 INFO p_ofi_add_7: 0.4842489122836484 , std 0.3527767087002156 
2023-04-20 05:58:39,996 INFO p_ofi_add_8: 0.48280613407993117 , std 0.3588411065017 
2023-04-20 05:58:39,996 INFO p_ofi_add_9: 0.5177687999269858 , std 0.35681136653663453 
2023-04-20 05:58:39,996 INFO p_ofi_add_10: 0.5093062871843334 , std 0.37924897020055154 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_1: 0.4847400247060278 , std 0.39172408463659875 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_2: 0.3400694644337206 , std 0.3581663756704395 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_3: 0.3802794203956499 , std 0.3568625630153027 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_4: 0.401347117723483 , std 0.35830489039407104 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_5: 0.46968522189085044 , std 0.3636844041247807 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_6: 0.4963247388138488 , std 0.36388245594857144 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_7: 0.5595349317165251 , std 0.36086700380740966 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_8: 0.5672010376469171 , std 0.37040658102804547 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_9: 0.5947238011269016 , std 0.36933394707686745 
2023-04-20 05:58:39,996 INFO p_ofi_cancel_10: 0.5569894241275671 , std 0.38824025291969494 
2023-04-20 05:58:39,996 INFO p_ofi_trade_1: 0.760107733970648 , std 0.35052709507971097 
2023-04-20 05:58:39,996 INFO p_ofi_trade_2: 0.6316838493152537 , std 0.37823250091983973 
2023-04-20 05:58:39,996 INFO p_ofi_trade_3: 0.5550335243890234 , std 0.376263682909873 
2023-04-20 05:58:39,996 INFO p_ofi_trade_4: 0.5423976255321186 , std 0.3743403318445279 
2023-04-20 05:58:39,996 INFO p_ofi_trade_5: 0.5426539295135385 , std 0.3728337597742827 
2023-04-20 05:58:39,996 INFO p_ofi_trade_6: 0.565344764529946 , std 0.37173436693565626 
2023-04-20 05:58:39,996 INFO p_ofi_trade_7: 0.5863595675386626 , std 0.3700773190294309 
2023-04-20 05:58:39,996 INFO p_ofi_trade_8: 0.5734566749056705 , std 0.3786014723198388 
2023-04-20 05:58:39,996 INFO p_ofi_trade_9: 0.6041608513261442 , std 0.3783344463866133 
2023-04-20 05:58:39,996 INFO p_ofi_trade_10: 0.5900141917787194 , std 0.3885557309497853 
