2023-04-20 05:03:02,893 INFO Tickers: ['MSFT']
2023-04-20 05:03:11,641 INFO Negative OS: -0.299949548842924 --- ticker MSFT --- day 2017-01-23 --- time 45000
2023-04-20 05:05:21,042 INFO Negative OS: -0.09552106527449888 --- ticker MSFT --- day 2017-10-20 --- time 48600
2023-04-20 05:05:30,509 INFO Negative OS: -1.8321734351642807 --- ticker MSFT --- day 2017-11-09 --- time 46800
2023-04-20 05:13:19,073 INFO Negative OS: -0.03742360888002971 --- ticker MSFT --- day 2019-09-11 --- time 48600
2023-04-20 05:14:21,223 INFO Negative OS: -0.015161285623687792 --- ticker MSFT --- day 2019-11-25 --- time 48600
2023-04-20 05:14:33,563 INFO t_ofi_cancel_3: 1.6963005887505058 , std 1.3271904804120076 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_4: 1.9228750798530807 , std 1.3973956691781044 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_5: 1.7617809381593466 , std 1.3170596788376523 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_6: 1.8525160916331467 , std 1.4594014577865457 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_7: 1.5282245442867308 , std 1.3640318587688804 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_8: 1.5362075783400573 , std 1.4263299148374733 
2023-04-20 05:14:33,563 INFO t_ofi_cancel_9: 1.47387965177174 , std 1.4261160783162596 
2023-04-20 05:14:33,564 INFO t_ofi_cancel_10: 1.8591920094082972 , std 1.8162237681038922 
2023-04-20 05:14:33,564 INFO t_ofi_trade_1: 0.2691965190730716 , std 0.8090777080696725 
2023-04-20 05:14:33,564 INFO t_ofi_trade_2: 1.346570561811604 , std 1.341650328297722 
2023-04-20 05:14:33,564 INFO t_ofi_trade_3: 1.648602004073383 , std 1.477485258115631 
2023-04-20 05:14:33,564 INFO t_ofi_trade_4: 1.7945330201073182 , std 1.5347046037941876 
2023-04-20 05:14:33,564 INFO t_ofi_trade_5: 1.7059661345437411 , std 1.490169710067298 
2023-04-20 05:14:33,564 INFO t_ofi_trade_6: 1.9024167828254588 , std 1.7091381334621691 
2023-04-20 05:14:33,564 INFO t_ofi_trade_7: 1.7799501356114966 , std 1.590182360866749 
2023-04-20 05:14:33,564 INFO t_ofi_trade_8: 1.731562960815878 , std 1.6234770740943745 
2023-04-20 05:14:33,564 INFO t_ofi_trade_9: 1.667173380008911 , std 1.618079311924404 
2023-04-20 05:14:33,564 INFO t_ofi_trade_10: 2.2186482280485977 , std 2.065390720902103 
2023-04-20 05:14:33,564 INFO p_intercept: 0.490935972987347 , std 0.29429738645208336 
2023-04-20 05:14:33,564 INFO p_ofi_add_1: 0.38713928231470074 , std 0.34322570409541714 
2023-04-20 05:14:33,564 INFO p_ofi_add_2: 0.3066768433346705 , std 0.337916644955435 
2023-04-20 05:14:33,564 INFO p_ofi_add_3: 0.25081021313948876 , std 0.32054842794333516 
2023-04-20 05:14:33,564 INFO p_ofi_add_4: 0.21010125725200632 , std 0.3007844888134916 
2023-04-20 05:14:33,564 INFO p_ofi_add_5: 0.23788300730535053 , std 0.31560161913631224 
2023-04-20 05:14:33,564 INFO p_ofi_add_6: 0.19912467731516803 , std 0.2927330936111984 
2023-04-20 05:14:33,564 INFO p_ofi_add_7: 0.2640667030364208 , std 0.3323269017174478 
2023-04-20 05:14:33,564 INFO p_ofi_add_8: 0.2907745508764098 , std 0.35393233373300476 
2023-04-20 05:14:33,564 INFO p_ofi_add_9: 0.3175527203787285 , std 0.36780347215777204 
2023-04-20 05:14:33,564 INFO p_ofi_add_10: 0.26002674865106207 , std 0.3589296370891778 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_1: 0.5837762080782855 , std 0.377007978988548 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_2: 0.40574632632478397 , std 0.38497429891573465 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_3: 0.2941693954505908 , std 0.34499553399725996 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_4: 0.24603235328264653 , std 0.32397570487274924 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_5: 0.2733821825914293 , std 0.333534946119449 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_6: 0.27710932218892587 , std 0.348519297409305 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_7: 0.36171185989558846 , std 0.3810215454971309 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_8: 0.3778828132561666 , std 0.3945745373871051 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_9: 0.3963415410934702 , std 0.3985287334122722 
2023-04-20 05:14:33,564 INFO p_ofi_cancel_10: 0.3650857074182981 , std 0.4156513821017678 
2023-04-20 05:14:33,564 INFO p_ofi_trade_1: 0.7901079520395967 , std 0.3301394444270341 
2023-04-20 05:14:33,564 INFO p_ofi_trade_2: 0.4104387825718207 , std 0.3874138935543524 
2023-04-20 05:14:33,564 INFO p_ofi_trade_3: 0.33299696125941236 , std 0.36846480602783366 
2023-04-20 05:14:33,564 INFO p_ofi_trade_4: 0.29245297081337573 , std 0.3521795261706142 
2023-04-20 05:14:33,564 INFO p_ofi_trade_5: 0.31212306049909805 , std 0.3609651218956652 
2023-04-20 05:14:33,564 INFO p_ofi_trade_6: 0.2949135267539081 , std 0.35908095341845714 
2023-04-20 05:14:33,564 INFO p_ofi_trade_7: 0.3150241182851706 , std 0.3659841802838669 
2023-04-20 05:14:33,564 INFO p_ofi_trade_8: 0.33860910500787356 , std 0.38089788357108556 
2023-04-20 05:14:33,564 INFO p_ofi_trade_9: 0.36049656417537546 , std 0.38952099014951824 
2023-04-20 05:14:33,564 INFO p_ofi_trade_10: 0.3038765776059118 , std 0.3929640423218717 
