2023-04-20 06:57:58,422 INFO Tickers: ['DUK']
2023-04-20 07:01:28,266 INFO Negative OS: -0.5242412812204238 --- ticker DUK --- day 2018-02-21 --- time 43200
2023-04-20 07:05:36,178 INFO Negative OS: -0.4691733960514417 --- ticker DUK --- day 2019-05-09 --- time 48600
2023-04-20 07:06:28,903 INFO Negative OS: -3.89684291146531 --- ticker DUK --- day 2019-09-03 --- time 50400
2023-04-20 07:07:12,067 INFO Negative OS: -0.15120913278593795 --- ticker DUK --- day 2019-12-02 --- time 37800
2023-04-20 07:07:23,506 INFO t_ofi_cancel_4: 1.4263557374293874 , std 1.1256416454322145 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_5: 1.258807289102869 , std 1.0881078333593681 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_6: 1.1212877211839447 , std 1.045149170786129 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_7: 0.9102597054561041 , std 0.984030984495442 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_8: 0.785997385571566 , std 0.9505288648960464 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_9: 0.7208828627942361 , std 0.9449880493742565 
2023-04-20 07:07:23,506 INFO t_ofi_cancel_10: 0.821714857518676 , std 1.0924383624101799 
2023-04-20 07:07:23,506 INFO t_ofi_trade_1: 0.26137927595298205 , std 0.6836490873976309 
2023-04-20 07:07:23,506 INFO t_ofi_trade_2: 0.6718145899831439 , std 0.8584795522904731 
2023-04-20 07:07:23,506 INFO t_ofi_trade_3: 0.8399836123383895 , std 0.902060119373077 
2023-04-20 07:07:23,506 INFO t_ofi_trade_4: 0.8744586405118361 , std 0.9064401766510216 
2023-04-20 07:07:23,506 INFO t_ofi_trade_5: 0.8615005332775786 , std 0.9115722577611097 
2023-04-20 07:07:23,506 INFO t_ofi_trade_6: 0.7779760421048176 , std 0.8677702188988271 
2023-04-20 07:07:23,506 INFO t_ofi_trade_7: 0.6680405126032242 , std 0.8479356960447959 
2023-04-20 07:07:23,506 INFO t_ofi_trade_8: 0.6360697706058009 , std 0.8372423981494573 
2023-04-20 07:07:23,506 INFO t_ofi_trade_9: 0.62002566424132 , std 0.8585174019849799 
2023-04-20 07:07:23,506 INFO t_ofi_trade_10: 0.6758152237593984 , std 0.944835724029171 
2023-04-20 07:07:23,506 INFO p_intercept: 0.5331652933855378 , std 0.28008610175985044 
2023-04-20 07:07:23,506 INFO p_ofi_add_1: 0.40582226669958066 , std 0.37152049442614155 
2023-04-20 07:07:23,506 INFO p_ofi_add_2: 0.28102567145646473 , std 0.3402097544624816 
2023-04-20 07:07:23,506 INFO p_ofi_add_3: 0.2530565964608682 , std 0.3105714569991962 
2023-04-20 07:07:23,506 INFO p_ofi_add_4: 0.27683495117364193 , std 0.3193553946575231 
2023-04-20 07:07:23,506 INFO p_ofi_add_5: 0.33949762889419255 , std 0.3416858957914318 
2023-04-20 07:07:23,506 INFO p_ofi_add_6: 0.37265904752935 , std 0.3504543241140691 
2023-04-20 07:07:23,506 INFO p_ofi_add_7: 0.44008252494582 , std 0.36193511297638825 
2023-04-20 07:07:23,506 INFO p_ofi_add_8: 0.5135439288548648 , std 0.37013451244270024 
2023-04-20 07:07:23,506 INFO p_ofi_add_9: 0.5640114509547676 , std 0.373193468445063 
2023-04-20 07:07:23,506 INFO p_ofi_add_10: 0.5427162566767209 , std 0.38033437375241913 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_1: 0.5516424794392008 , std 0.3931499595297849 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_2: 0.27907981135471455 , std 0.3400891014489215 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_3: 0.2837885836266859 , std 0.3291703182261084 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_4: 0.33893907560837516 , std 0.3508707732844334 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_5: 0.3895122502290883 , std 0.36304223657614076 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_6: 0.43315786141337276 , std 0.3710416644075029 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_7: 0.514528760490227 , std 0.376167223187712 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_8: 0.5643802469823561 , std 0.37373756774354233 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_9: 0.5948016649557228 , std 0.3717134895847569 
2023-04-20 07:07:23,506 INFO p_ofi_cancel_10: 0.5759673040447942 , std 0.3846961147153736 
2023-04-20 07:07:23,506 INFO p_ofi_trade_1: 0.8270609038245028 , std 0.31283905862919115 
2023-04-20 07:07:23,506 INFO p_ofi_trade_2: 0.6266801621744417 , std 0.38208763672218354 
2023-04-20 07:07:23,507 INFO p_ofi_trade_3: 0.5401918509493716 , std 0.3819110062487304 
2023-04-20 07:07:23,507 INFO p_ofi_trade_4: 0.5234971710870746 , std 0.377076189015676 
2023-04-20 07:07:23,507 INFO p_ofi_trade_5: 0.5322540723727784 , std 0.3773806997872237 
2023-04-20 07:07:23,507 INFO p_ofi_trade_6: 0.5665427988927397 , std 0.3765323728030526 
2023-04-20 07:07:23,507 INFO p_ofi_trade_7: 0.6211105415739729 , std 0.37226744583434823 
2023-04-20 07:07:23,507 INFO p_ofi_trade_8: 0.6376207270912813 , std 0.3703609594394866 
2023-04-20 07:07:23,507 INFO p_ofi_trade_9: 0.6567672127338199 , std 0.37004837195952595 
2023-04-20 07:07:23,507 INFO p_ofi_trade_10: 0.6430291314778055 , std 0.3809141759902645 
