2023-04-20 06:46:04,045 INFO Tickers: ['TFC']
2023-04-20 06:46:05,756 INFO t_ofi_trade_7: 1.4253399643981564 , std 1.198711451566641 
2023-04-20 06:46:05,756 INFO t_ofi_trade_8: 0.7582699317046169 , std 0.9643534310237761 
2023-04-20 06:46:05,756 INFO t_ofi_trade_9: 0.786426376042853 , std 0.9654448860035013 
2023-04-20 06:46:05,756 INFO t_ofi_trade_10: 1.081464969371148 , std 1.3555763498472015 
2023-04-20 06:46:05,756 INFO p_intercept: 0.4919979304703077 , std 0.2990784667976404 
2023-04-20 06:46:05,756 INFO p_ofi_add_1: 0.23336465207970392 , std 0.3041958663917378 
2023-04-20 06:46:05,756 INFO p_ofi_add_2: 0.03707641101959059 , std 0.06872986629771524 
2023-04-20 06:46:05,756 INFO p_ofi_add_3: 0.1173125847424152 , std 0.23365987383095368 
2023-04-20 06:46:05,756 INFO p_ofi_add_4: 0.09363362730429958 , std 0.19502902208995088 
2023-04-20 06:46:05,756 INFO p_ofi_add_5: 0.0766366681383906 , std 0.2056552266454063 
2023-04-20 06:46:05,756 INFO p_ofi_add_6: 0.14228722465212293 , std 0.2558794069888227 
2023-04-20 06:46:05,756 INFO p_ofi_add_7: 0.2375786332330256 , std 0.32378613241908966 
2023-04-20 06:46:05,756 INFO p_ofi_add_8: 0.48102629220078247 , std 0.39331760827651585 
2023-04-20 06:46:05,756 INFO p_ofi_add_9: 0.5544157372485522 , std 0.3800502196540936 
2023-04-20 06:46:05,756 INFO p_ofi_add_10: 0.5206311989832842 , std 0.4480826630836831 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_1: 0.3736911006250954 , std 0.3622023026542421 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_2: 0.22758495330835746 , std 0.3197421836642632 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_3: 0.13057516844473796 , std 0.25649695335761524 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_4: 0.05452470387203132 , std 0.1193708708577619 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_5: 0.12967694440385483 , std 0.2500204193757844 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_6: 0.3640929206622374 , std 0.4082865940306003 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_7: 0.4878812706425703 , std 0.4154337925813571 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_8: 0.5083170768561952 , std 0.40351098254081624 
2023-04-20 06:46:05,756 INFO p_ofi_cancel_9: 0.686639763145522 , std 0.37344647255974106 
2023-04-20 06:46:05,757 INFO p_ofi_cancel_10: 0.5269850502110717 , std 0.442098324832044 
2023-04-20 06:46:05,757 INFO p_ofi_trade_1: 0.7140944122557521 , std 0.3809386615494697 
2023-04-20 06:46:05,757 INFO p_ofi_trade_2: 0.38724124552509576 , std 0.3941437393588434 
2023-04-20 06:46:05,757 INFO p_ofi_trade_3: 0.21239496541647443 , std 0.2981627485865216 
2023-04-20 06:46:05,757 INFO p_ofi_trade_4: 0.2792389383603549 , std 0.3744864944558395 
2023-04-20 06:46:05,757 INFO p_ofi_trade_5: 0.10380655836887097 , std 0.21472353165877853 
2023-04-20 06:46:05,757 INFO p_ofi_trade_6: 0.17470632370484984 , std 0.3021011345257168 
2023-04-20 06:46:05,757 INFO p_ofi_trade_7: 0.36287695413088494 , std 0.3769385693160315 
2023-04-20 06:46:05,757 INFO p_ofi_trade_8: 0.6183961970357797 , std 0.40491599241076376 
2023-04-20 06:46:05,757 INFO p_ofi_trade_9: 0.5996039159705672 , std 0.3787466711397262 
2023-04-20 06:46:05,757 INFO p_ofi_trade_10: 0.5493002719206256 , std 0.40549322566605295 
